Stimulus_Side,Congruency,ITI,Priming_Interval,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order
RIGHT,CONGRUENT,616.6666679,50.0000001,,,,,RIGHT,406.7177000000015,2019-10-08 16:02:56.932646,2019-10-08 16:02:57.565742,1
RIGHT,CONGRUENT,833.333335,683.3333347,,,RIGHT,-191.112,RIGHT,326.7755999999622,2019-10-08 16:02:59.122790,2019-10-08 16:02:59.672184,2
LEFT,INCONGRUENT,1283.3333359,266.6666672,,,,,LEFT,532.238800000016,2019-10-08 16:03:01.269007,2019-10-08 16:03:02.026593,3
LEFT,INCONGRUENT,616.6666679,150.0000003,,,,,LEFT,413.27400000000125,2019-10-08 16:03:02.840361,2019-10-08 16:03:03.468883,4
RIGHT,CONGRUENT,1050.0000021,583.3333345,,,,,RIGHT,262.3065000000224,2019-10-08 16:03:05.143809,2019-10-08 16:03:05.633035,5
RIGHT,CONGRUENT,716.6666681,366.6666674,,,,,RIGHT,325.15129999995906,2019-10-08 16:03:06.771139,2019-10-08 16:03:07.312219,6
RIGHT,CONGRUENT,1283.3333359,466.6666676,,,,,RIGHT,46.24319999999216,2019-10-08 16:03:09.111473,2019-10-08 16:03:09.381235,7
LEFT,INCONGRUENT,1500.000003,466.6666676,,,LEFT,-21.127,LEFT,517.2919999999976,2019-10-08 16:03:11.383453,2019-10-08 16:03:12.116670,8
LEFT,INCONGRUENT,1166.666669,900.0000018000001,,,LEFT,-269.38800000000003,LEFT,159.06830000000127,2019-10-08 16:03:14.215576,2019-10-08 16:03:14.590986,9
RIGHT,CONGRUENT,950.0000019,783.3333349000001,,,,,RIGHT,335.8124000000089,2019-10-08 16:03:16.359985,2019-10-08 16:03:16.912301,10
LEFT,INCONGRUENT,950.0000019,683.3333347,,,,,LEFT,244.37890000001516,2019-10-08 16:03:18.585769,2019-10-08 16:03:19.048547,11
RIGHT,CONGRUENT,500.000001,266.6666672,,,,,RIGHT,462.5037000000134,2019-10-08 16:03:19.845572,2019-10-08 16:03:20.524735,12
RIGHT,CONGRUENT,1500.000003,900.0000018000001,,,,,RIGHT,272.75489999999536,2019-10-08 16:03:22.979720,2019-10-08 16:03:23.479406,13
LEFT,INCONGRUENT,833.333335,583.3333345,,,,,LEFT,7.450199999993856,2019-10-08 16:03:24.949824,2019-10-08 16:03:25.187124,14
RIGHT,CONGRUENT,1383.3333361,150.0000003,,,,,RIGHT,405.33820000001697,2019-10-08 16:03:26.773701,2019-10-08 16:03:27.404665,15
LEFT,INCONGRUENT,716.6666681,366.6666674,,,,,LEFT,344.7332000000074,2019-10-08 16:03:28.527646,2019-10-08 16:03:29.086564,16
LEFT,INCONGRUENT,1050.0000021,50.0000001,,,,,LEFT,453.1418000000258,2019-10-08 16:03:30.222518,2019-10-08 16:03:30.892837,17
LEFT,INCONGRUENT,1383.3333361,783.3333349000001,,,,,LEFT,261.9245999999862,2019-10-08 16:03:33.109759,2019-10-08 16:03:33.598467,18
LEFT,INCONGRUENT,500.000001,1000.000002,,,,,LEFT,300.31589999998687,2019-10-08 16:03:35.140665,2019-10-08 16:03:35.651783,19
RIGHT,CONGRUENT,1166.666669,1000.000002,,,,,RIGHT,294.1816000000017,2019-10-08 16:03:37.865455,2019-10-08 16:03:38.376039,20
