Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order
RIGHT,1428,,,DOWN,676.4244840000089,2019-03-26 16:58:41.711855,2019-03-26 16:58:42.622012,1
LEFT,556,,,DOWN,418.45070200000123,2019-03-26 16:58:43.188498,2019-03-26 16:58:43.840532,2
LEFT,1838,,,DOWN,288.21929200000795,2019-03-26 16:58:45.688153,2019-03-26 16:58:46.210932,3
RIGHT,2094,,,DOWN,321.24694000000886,2019-03-26 16:58:48.314238,2019-03-26 16:58:48.869564,4
LEFT,351,,,DOWN,465.25919500000157,2019-03-26 16:58:49.230608,2019-03-26 16:58:49.929275,5
LEFT,658,,,DOWN,293.03783299999964,2019-03-26 16:58:50.597071,2019-03-26 16:58:51.123728,6
RIGHT,915,,,DOWN,391.24425999999346,2019-03-26 16:58:52.048203,2019-03-26 16:58:52.672734,7
RIGHT,1582,,,DOWN,374.6576239999939,2019-03-26 16:58:54.264783,2019-03-26 16:58:54.871476,8
RIGHT,1992,,,DOWN,294.5483230000008,2019-03-26 16:58:56.874124,2019-03-26 16:58:57.401077,9
LEFT,2094,,,DOWN,293.21452899999656,2019-03-26 16:58:59.504517,2019-03-26 16:59:00.031787,10
RIGHT,966,,,DOWN,375.4288689999896,2019-03-26 16:59:01.007782,2019-03-26 16:59:01.616642,11
RIGHT,1838,,,DOWN,357.1318590000061,2019-03-26 16:59:03.464327,2019-03-26 16:59:04.055073,12
LEFT,1479,,,DOWN,357.4300619999917,2019-03-26 16:59:05.543765,2019-03-26 16:59:06.134108,13
RIGHT,1069,,,DOWN,312.84486900000275,2019-03-26 16:59:07.213027,2019-03-26 16:59:07.758398,14
LEFT,402,,,DOWN,505.71314900000175,2019-03-26 16:59:08.169932,2019-03-26 16:59:08.909881,15
LEFT,1017,,,DOWN,328.79336100000955,2019-03-26 16:59:09.936450,2019-03-26 16:59:10.498848,16
RIGHT,812,,,DOWN,404.5098580000115,2019-03-26 16:59:11.320415,2019-03-26 16:59:11.958518,17
RIGHT,2197,,,DOWN,293.8011940000109,2019-03-26 16:59:14.165429,2019-03-26 16:59:14.692436,18
LEFT,1941,,,DOWN,265.6379999999956,2019-03-26 16:59:16.642907,2019-03-26 16:59:17.143000,19
RIGHT,710,,,DOWN,420.7741759999948,2019-03-26 16:59:17.862739,2019-03-26 16:59:18.516974,20
LEFT,300,,,DOWN,361.50193900000716,2019-03-26 16:59:18.827146,2019-03-26 16:59:19.421883,21
RIGHT,658,,,DOWN,403.19739699999957,2019-03-26 16:59:20.090317,2019-03-26 16:59:20.726704,22
LEFT,1376,,,DOWN,489.9682499999898,2019-03-26 16:59:22.112413,2019-03-26 16:59:22.835600,23
