Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order
LEFT,1500,,,LEFT,292.98960100000215,2019-03-28 11:57:40.498626,2019-03-28 11:57:41.008963,1
RIGHT,2357,,,RIGHT,504.69471599998883,2019-03-28 11:57:43.376114,2019-03-28 11:57:44.098256,2
RIGHT,2500,LEFT,-1060.738,RIGHT,275.55287999999223,2019-03-28 11:57:46.609574,2019-03-28 11:57:47.101905,3
LEFT,1214,,,LEFT,248.19107599999768,2019-03-28 11:57:48.325672,2019-03-28 11:57:48.791399,4
LEFT,2071,,,LEFT,290.73198199999695,2019-03-28 11:57:50.872316,2019-03-28 11:57:51.380955,5
LEFT,785,LEFT,-784.903,LEFT,313.6031279999969,2019-03-28 11:57:52.175833,2019-03-28 11:57:52.706847,6
RIGHT,642,,,LEFT,323.3552270000075,2019-03-28 11:57:53.359028,2019-03-28 11:57:53.898943,7
RIGHT,1214,,,RIGHT,298.581243000001,2019-03-28 11:57:55.122869,2019-03-28 11:57:55.638883,8
LEFT,1928,,,LEFT,253.43211000000565,2019-03-28 11:57:57.577502,2019-03-28 11:57:58.047668,9
RIGHT,785,,,RIGHT,276.92145700000026,2019-03-28 11:57:58.843206,2019-03-28 11:57:59.336885,10
LEFT,2500,,,LEFT,256.3074669999992,2019-03-28 11:58:01.847432,2019-03-28 11:58:02.322481,11
RIGHT,1357,,,RIGHT,378.73831200001007,2019-03-28 11:58:03.689553,2019-03-28 11:58:04.284767,12
RIGHT,1785,,,LEFT,82.7982229999975,2019-03-28 11:58:06.079984,2019-03-28 11:58:06.380181,13
LEFT,928,,,RIGHT,273.56563700000436,2019-03-28 11:58:07.318692,2019-03-28 11:58:07.809453,14
RIGHT,1928,,,RIGHT,308.5086450000034,2019-03-28 11:58:09.747313,2019-03-28 11:58:10.272906,15
RIGHT,1071,,,RIGHT,296.48640599999965,2019-03-28 11:58:11.353636,2019-03-28 11:58:11.868027,16
LEFT,2357,,,LEFT,314.39246099999707,2019-03-28 11:58:14.234873,2019-03-28 11:58:14.766632,17
RIGHT,1642,,,LEFT,345.26451800000757,2019-03-28 11:58:16.418728,2019-03-28 11:58:16.980159,18
LEFT,500,,,LEFT,313.1208100000009,2019-03-28 11:58:17.490299,2019-03-28 11:58:18.019882,19
RIGHT,1500,,,RIGHT,253.34816800000226,2019-03-28 11:58:19.529358,2019-03-28 11:58:20.001095,20
RIGHT,2214,,,RIGHT,312.09078300000215,2019-03-28 11:58:22.225158,2019-03-28 11:58:22.754424,21
LEFT,2214,,,LEFT,317.592454000021,2019-03-28 11:58:24.979020,2019-03-28 11:58:25.512925,22
LEFT,1642,,,LEFT,300.43399399997384,2019-03-28 11:58:27.165557,2019-03-28 11:58:27.682678,23
LEFT,1071,,,LEFT,276.6135150000082,2019-03-28 11:58:28.763795,2019-03-28 11:58:29.257019,24
LEFT,1357,,,LEFT,300.3333559999817,2019-03-28 11:58:30.623861,2019-03-28 11:58:31.142214,25
RIGHT,928,,,RIGHT,269.0619929999798,2019-03-28 11:58:32.079716,2019-03-28 11:58:32.566413,26
RIGHT,500,,,RIGHT,307.3023860000035,2019-03-28 11:58:33.076555,2019-03-28 11:58:33.601162,27
LEFT,1785,,,LEFT,396.6847140000027,2019-03-28 11:58:35.395885,2019-03-28 11:58:36.010207,28
LEFT,642,,,LEFT,295.27829299999553,2019-03-28 11:58:36.661813,2019-03-28 11:58:37.175438,29
RIGHT,2071,,,RIGHT,295.449423000008,2019-03-28 11:58:39.256452,2019-03-28 11:58:39.769090,30
