Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,1050.0000021,,,DOWN,890.5077999999946,2019-11-12 11:11:23.592624,2019-11-12 11:11:24.708423,1,1.8261529833333334,P1,Processing_Speed
RIGHT,1466.6666696,,,DOWN,348.83460000000355,2019-11-12 11:11:26.189305,2019-11-12 11:11:26.745313,2,1.8261529833333334,P1,Processing_Speed
LEFT,916.6666685,,,DOWN,356.22739999999453,2019-11-12 11:11:27.678153,2019-11-12 11:11:28.240985,3,1.8261529833333334,P1,Processing_Speed
RIGHT,533.3333344,,,DOWN,309.339499999993,2019-11-12 11:11:28.784613,2019-11-12 11:11:29.300597,4,1.8261529833333334,P1,Processing_Speed
LEFT,500.000001,,,DOWN,345.0198000000029,2019-11-12 11:11:29.814208,2019-11-12 11:11:30.366776,5,1.8261529833333334,P1,Processing_Speed
LEFT,733.3333348,,,DOWN,348.76239999999825,2019-11-12 11:11:31.113787,2019-11-12 11:11:31.669902,6,1.8261529833333334,P1,Processing_Speed
LEFT,566.6666678,,,DOWN,329.0209000000033,2019-11-12 11:11:32.250619,2019-11-12 11:11:32.786859,7,1.8261529833333334,P1,Processing_Speed
LEFT,1466.6666696,,,DOWN,344.75260000000674,2019-11-12 11:11:34.262685,2019-11-12 11:11:34.814670,8,1.8261529833333334,P1,Processing_Speed
LEFT,1266.6666692000001,,,DOWN,326.105400000003,2019-11-12 11:11:36.095067,2019-11-12 11:11:36.627481,9,1.8261529833333334,P1,Processing_Speed
LEFT,1400.0000028,,,DOWN,289.6070999999978,2019-11-12 11:11:38.040268,2019-11-12 11:11:38.536307,10,1.8261529833333334,P1,Processing_Speed
LEFT,533.3333344,,,DOWN,329.80870000000095,2019-11-12 11:11:39.084026,2019-11-12 11:11:39.621870,11,1.8261529833333334,P1,Processing_Speed
RIGHT,1366.6666694,,,DOWN,362.32649999999467,2019-11-12 11:11:41.001672,2019-11-12 11:11:41.570649,12,1.8261529833333334,P1,Processing_Speed
LEFT,1183.3333357000001,,,DOWN,324.3006999999949,2019-11-12 11:11:42.766807,2019-11-12 11:11:43.297787,13,1.8261529833333334,P1,Processing_Speed
LEFT,666.6666680000001,,,DOWN,348.32850000000803,2019-11-12 11:11:43.978018,2019-11-12 11:11:44.533756,14,1.8261529833333334,P1,Processing_Speed
RIGHT,1333.3333360000001,,,DOWN,329.39990000001274,2019-11-12 11:11:45.880142,2019-11-12 11:11:46.416575,15,1.8261529833333334,P1,Processing_Speed
RIGHT,1433.3333362,,,DOWN,401.1490999999978,2019-11-12 11:11:47.856173,2019-11-12 11:11:48.464101,16,1.8261529833333334,P1,Processing_Speed
RIGHT,633.3333346000001,,,DOWN,361.9033000000087,2019-11-12 11:11:49.111394,2019-11-12 11:11:49.680876,17,1.8261529833333334,P1,Processing_Speed
RIGHT,500.000001,,,DOWN,376.28389999999,2019-11-12 11:11:50.195054,2019-11-12 11:11:50.778819,18,1.8261529833333334,P1,Processing_Speed
LEFT,983.3333353,,,DOWN,317.7935000000076,2019-11-12 11:11:51.776295,2019-11-12 11:11:52.302009,19,1.8261529833333334,P1,Processing_Speed
LEFT,1083.3333355,,,DOWN,358.747699999995,2019-11-12 11:11:53.393333,2019-11-12 11:11:53.959835,20,1.8261529833333334,P1,Processing_Speed
RIGHT,883.3333351,,,DOWN,291.98269999999127,2019-11-12 11:11:54.851344,2019-11-12 11:11:55.349152,21,1.8261529833333334,P1,Processing_Speed
RIGHT,600.0000012,,,DOWN,361.80989999999724,2019-11-12 11:11:55.962573,2019-11-12 11:11:56.532006,22,1.8261529833333334,P1,Processing_Speed
