Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,533.3333344,,,RIGHT,451.7124999999851,2019-11-12 11:13:21.938586,2019-11-12 11:13:22.597206,1,2.5822399333333332,P1,Response_Selection
LEFT,1366.6666694,,,LEFT,302.14580000000524,2019-11-12 11:13:23.971049,2019-11-12 11:13:24.485760,2,2.5822399333333332,P1,Response_Selection
RIGHT,866.6666684,,,RIGHT,361.7155999999966,2019-11-12 11:13:25.359466,2019-11-12 11:13:25.928856,3,2.5822399333333332,P1,Response_Selection
RIGHT,1216.6666691,,,RIGHT,394.43239999999946,2019-11-12 11:13:27.152822,2019-11-12 11:13:27.754824,4,2.5822399333333332,P1,Response_Selection
LEFT,1216.6666691,,,LEFT,567.2505000000001,2019-11-12 11:13:28.984314,2019-11-12 11:13:29.758920,5,2.5822399333333332,P1,Response_Selection
LEFT,683.3333347,,,LEFT,427.72589999998445,2019-11-12 11:13:30.456344,2019-11-12 11:13:31.090121,6,2.5822399333333332,P1,Response_Selection
LEFT,533.3333344,,,LEFT,343.6917999999878,2019-11-12 11:13:31.637676,2019-11-12 11:13:32.188944,7,2.5822399333333332,P1,Response_Selection
RIGHT,600.0000012,,,RIGHT,330.680000000001,2019-11-12 11:13:32.802927,2019-11-12 11:13:33.339086,8,2.5822399333333332,P1,Response_Selection
LEFT,583.3333345,,,LEFT,485.8940000000018,2019-11-12 11:13:33.930996,2019-11-12 11:13:34.623882,9,2.5822399333333332,P1,Response_Selection
RIGHT,633.3333346000001,,,RIGHT,278.6885999999811,2019-11-12 11:13:35.269227,2019-11-12 11:13:35.754642,10,2.5822399333333332,P1,Response_Selection
RIGHT,1500.000003,,,RIGHT,318.1022999999925,2019-11-12 11:13:37.261760,2019-11-12 11:13:37.785511,11,2.5822399333333332,P1,Response_Selection
RIGHT,550.0000011,,,RIGHT,434.5954000000063,2019-11-12 11:13:38.350127,2019-11-12 11:13:38.990335,12,2.5822399333333332,P1,Response_Selection
LEFT,1350.0000027,,,LEFT,522.9547000000139,2019-11-12 11:13:40.354681,2019-11-12 11:13:41.084569,13,2.5822399333333332,P1,Response_Selection
LEFT,966.6666686,,,LEFT,394.14309999997954,2019-11-12 11:13:42.067454,2019-11-12 11:13:42.668868,14,2.5822399333333332,P1,Response_Selection
LEFT,633.3333346000001,,,LEFT,515.3877000000193,2019-11-12 11:13:43.316409,2019-11-12 11:13:44.038550,15,2.5822399333333332,P1,Response_Selection
RIGHT,1400.0000028,,,RIGHT,372.0023999999853,2019-11-12 11:13:45.451430,2019-11-12 11:13:46.030668,16,2.5822399333333332,P1,Response_Selection
LEFT,1416.6666695000001,,,LEFT,325.13969999999404,2019-11-12 11:13:47.460554,2019-11-12 11:13:47.992497,17,2.5822399333333332,P1,Response_Selection
RIGHT,833.333335,,,RIGHT,457.13779999999815,2019-11-12 11:13:48.838402,2019-11-12 11:13:49.502779,18,2.5822399333333332,P1,Response_Selection
LEFT,1466.6666696,,,LEFT,253.63740000000234,2019-11-12 11:13:50.983386,2019-11-12 11:13:51.443901,19,2.5822399333333332,P1,Response_Selection
LEFT,1250.0000025,,,LEFT,416.4871000000119,2019-11-12 11:13:52.707918,2019-11-12 11:13:53.331960,20,2.5822399333333332,P1,Response_Selection
LEFT,1266.6666692000001,,,LEFT,351.81049999999914,2019-11-12 11:13:54.606410,2019-11-12 11:13:55.165137,21,2.5822399333333332,P1,Response_Selection
RIGHT,1016.6666687000001,,,RIGHT,437.30220000000486,2019-11-12 11:13:56.189753,2019-11-12 11:13:56.833813,22,2.5822399333333332,P1,Response_Selection
RIGHT,1166.666669,,,RIGHT,378.2950000000085,2019-11-12 11:13:58.013945,2019-11-12 11:13:58.599893,23,2.5822399333333332,P1,Response_Selection
LEFT,833.333335,,,RIGHT,378.00069999997277,2019-11-12 11:13:59.444596,2019-11-12 11:14:00.030955,24,2.5822399333333332,P1,Response_Selection
RIGHT,700.0000014,,,RIGHT,625.4969999999958,2019-11-12 11:14:00.738414,2019-11-12 11:14:01.571041,25,2.5822399333333332,P1,Response_Selection
RIGHT,933.3333352,,,RIGHT,496.37290000001144,2019-11-12 11:14:02.519780,2019-11-12 11:14:03.222169,26,2.5822399333333332,P1,Response_Selection
RIGHT,983.3333353,,,RIGHT,526.0365999999976,2019-11-12 11:14:04.212603,2019-11-12 11:14:04.945485,27,2.5822399333333332,P1,Response_Selection
RIGHT,1083.3333355,,,RIGHT,374.1924999999924,2019-11-12 11:14:06.040081,2019-11-12 11:14:06.620338,28,2.5822399333333332,P1,Response_Selection
LEFT,783.3333349000001,,,LEFT,307.74739999998246,2019-11-12 11:14:07.417075,2019-11-12 11:14:07.931582,29,2.5822399333333332,P1,Response_Selection
