Conflict,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
False,RIGHT,1033.3333354000001,,,,,RIGHT,553.11819100001,2019-11-19 11:04:02.623823,2019-11-19 11:04:03.383787,1,5.1913861,S12,Conflict_Resolution
False,LEFT,1300.0000026,,,,,LEFT,449.84449600002563,2019-11-19 11:04:04.701416,2019-11-19 11:04:05.358403,2,5.1913861,S12,Conflict_Resolution
False,LEFT,1316.6666693,,,,,LEFT,509.893720999969,2019-11-19 11:04:06.692904,2019-11-19 11:04:07.409004,3,5.1913861,S12,Conflict_Resolution
True,RIGHT,783.3333349000001,,,,,RIGHT,721.1298549999583,2019-11-19 11:04:08.210109,2019-11-19 11:04:09.137391,4,5.1913861,S12,Conflict_Resolution
False,LEFT,733.3333348,,,,,LEFT,460.8136979999813,2019-11-19 11:04:09.888395,2019-11-19 11:04:10.556652,5,5.1913861,S12,Conflict_Resolution
True,LEFT,1266.6666692000001,,,,,LEFT,507.2438060000195,2019-11-19 11:04:11.841600,2019-11-19 11:04:12.555768,6,5.1913861,S12,Conflict_Resolution
True,LEFT,1466.6666696,,,,,LEFT,445.0355089999789,2019-11-19 11:04:14.040625,2019-11-19 11:04:14.692093,7,5.1913861,S12,Conflict_Resolution
True,RIGHT,733.3333348,,,,,RIGHT,488.7476459999789,2019-11-19 11:04:15.444087,2019-11-19 11:04:16.140442,8,5.1913861,S12,Conflict_Resolution
False,RIGHT,1233.3333358,,,,,RIGHT,406.9416140000044,2019-11-19 11:04:17.392324,2019-11-19 11:04:18.006307,9,5.1913861,S12,Conflict_Resolution
True,RIGHT,1133.3333356,,,,,RIGHT,562.7555590000384,2019-11-19 11:04:19.158728,2019-11-19 11:04:19.928957,10,5.1913861,S12,Conflict_Resolution
True,LEFT,616.6666679,,,,,LEFT,514.3412770000282,2019-11-19 11:04:20.564259,2019-11-19 11:04:21.285374,11,5.1913861,S12,Conflict_Resolution
True,RIGHT,750.0000015,,,,,RIGHT,520.0427369999829,2019-11-19 11:04:22.052827,2019-11-19 11:04:22.778888,12,5.1913861,S12,Conflict_Resolution
False,LEFT,616.6666679,,,,,LEFT,431.06447899998557,2019-11-19 11:04:23.414017,2019-11-19 11:04:24.053648,13,5.1913861,S12,Conflict_Resolution
False,RIGHT,1433.3333362,,,,,RIGHT,384.80715399998644,2019-11-19 11:04:25.505761,2019-11-19 11:04:26.097254,14,5.1913861,S12,Conflict_Resolution
True,LEFT,816.6666683,,,,,LEFT,483.7062850000393,2019-11-19 11:04:26.930558,2019-11-19 11:04:27.621614,15,5.1913861,S12,Conflict_Resolution
False,RIGHT,600.0000012,,,,,RIGHT,453.4923169999274,2019-11-19 11:04:28.240487,2019-11-19 11:04:28.900554,16,5.1913861,S12,Conflict_Resolution
True,LEFT,1166.666669,,,,,LEFT,556.6718620000302,2019-11-19 11:04:30.086174,2019-11-19 11:04:30.848984,17,5.1913861,S12,Conflict_Resolution
True,LEFT,950.0000019,,,,,LEFT,495.0358610000194,2019-11-19 11:04:31.817193,2019-11-19 11:04:32.520028,18,5.1913861,S12,Conflict_Resolution
