Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,983.3333353,,,RIGHT,533.3602000000042,2019-11-19 11:16:25.608235,2019-11-19 11:16:26.350050,1,2.46198855,S13,Response_Selection
LEFT,650.0000013,,,LEFT,307.2264999999845,2019-11-19 11:16:27.015772,2019-11-19 11:16:27.530570,2,2.46198855,S13,Response_Selection
LEFT,1450.0000029,,,LEFT,358.20480000001,2019-11-19 11:16:28.988728,2019-11-19 11:16:29.554874,3,2.46198855,S13,Response_Selection
LEFT,933.3333352,,,LEFT,309.91079999998306,2019-11-19 11:16:30.502341,2019-11-19 11:16:31.020216,4,2.46198855,S13,Response_Selection
RIGHT,550.0000011,,,RIGHT,336.564199999998,2019-11-19 11:16:31.578309,2019-11-19 11:16:32.123962,5,2.46198855,S13,Response_Selection
LEFT,983.3333353,,,LEFT,297.06659999999374,2019-11-19 11:16:33.122837,2019-11-19 11:16:33.627239,6,2.46198855,S13,Response_Selection
LEFT,1350.0000027,,,LEFT,359.30360000000405,2019-11-19 11:16:34.985856,2019-11-19 11:16:35.552468,7,2.46198855,S13,Response_Selection
LEFT,916.6666685,,,LEFT,358.19060000000036,2019-11-19 11:16:36.478396,2019-11-19 11:16:37.044524,8,2.46198855,S13,Response_Selection
RIGHT,1116.6666689,,,LEFT,312.7696999999898,2019-11-19 11:16:38.176002,2019-11-19 11:16:38.698158,9,2.46198855,S13,Response_Selection
RIGHT,1450.0000029,,,RIGHT,304.84559999999306,2019-11-19 11:16:40.157447,2019-11-19 11:16:40.670639,10,2.46198855,S13,Response_Selection
RIGHT,583.3333345,,,RIGHT,418.79330000000436,2019-11-19 11:16:41.262084,2019-11-19 11:16:41.889693,11,2.46198855,S13,Response_Selection
LEFT,1300.0000026,,,LEFT,392.7784999999915,2019-11-19 11:16:43.197884,2019-11-19 11:16:43.798226,12,2.46198855,S13,Response_Selection
LEFT,1316.6666693,,,LEFT,339.57620000001043,2019-11-19 11:16:45.130687,2019-11-19 11:16:45.679153,13,2.46198855,S13,Response_Selection
LEFT,1066.6666688,,,LEFT,413.7955000000204,2019-11-19 11:16:46.761485,2019-11-19 11:16:47.383193,14,2.46198855,S13,Response_Selection
LEFT,800.0000016,,,LEFT,386.363700000004,2019-11-19 11:16:48.200510,2019-11-19 11:16:48.794796,15,2.46198855,S13,Response_Selection
LEFT,966.6666686,,,LEFT,294.3205999999918,2019-11-19 11:16:49.776835,2019-11-19 11:16:50.278585,16,2.46198855,S13,Response_Selection
LEFT,733.3333348,,,LEFT,324.78900000000976,2019-11-19 11:16:51.027646,2019-11-19 11:16:51.560472,17,2.46198855,S13,Response_Selection
LEFT,1133.3333356,,,LEFT,292.2810000000027,2019-11-19 11:16:52.708433,2019-11-19 11:16:53.209754,18,2.46198855,S13,Response_Selection
LEFT,1500.000003,,,LEFT,365.0429999999858,2019-11-19 11:16:54.723024,2019-11-19 11:16:55.296042,19,2.46198855,S13,Response_Selection
RIGHT,1350.0000027,,,RIGHT,306.8973999999969,2019-11-19 11:16:56.661564,2019-11-19 11:16:57.176134,20,2.46198855,S13,Response_Selection
RIGHT,916.6666685,,,RIGHT,352.831000000009,2019-11-19 11:16:58.109964,2019-11-19 11:16:58.671710,21,2.46198855,S13,Response_Selection
RIGHT,1400.0000028,,,RIGHT,361.3349000000028,2019-11-19 11:17:00.087931,2019-11-19 11:17:00.657632,22,2.46198855,S13,Response_Selection
LEFT,583.3333345,,,LEFT,421.22410000001764,2019-11-19 11:17:01.249489,2019-11-19 11:17:01.879606,23,2.46198855,S13,Response_Selection
LEFT,500.000001,,,LEFT,359.9324999999851,2019-11-19 11:17:02.388376,2019-11-19 11:17:02.956428,24,2.46198855,S13,Response_Selection
RIGHT,1466.6666696,,,RIGHT,329.01449999999954,2019-11-19 11:17:04.430407,2019-11-19 11:17:04.967559,25,2.46198855,S13,Response_Selection
LEFT,1216.6666691,,,LEFT,335.5475000000183,2019-11-19 11:17:06.202280,2019-11-19 11:17:06.745517,26,2.46198855,S13,Response_Selection
LEFT,550.0000011,,,LEFT,323.3108999999956,2019-11-19 11:17:07.314461,2019-11-19 11:17:07.846129,27,2.46198855,S13,Response_Selection
RIGHT,1250.0000025,,,RIGHT,379.1921000000116,2019-11-19 11:17:09.104469,2019-11-19 11:17:09.690506,28,2.46198855,S13,Response_Selection
LEFT,1116.6666689,,,LEFT,338.70080000002645,2019-11-19 11:17:10.825017,2019-11-19 11:17:11.373089,29,2.46198855,S13,Response_Selection
RIGHT,1133.3333356,,,RIGHT,369.80259999998566,2019-11-19 11:17:12.522641,2019-11-19 11:17:13.101035,30,2.46198855,S13,Response_Selection
RIGHT,600.0000012,,,RIGHT,445.1551999999879,2019-11-19 11:17:13.714897,2019-11-19 11:17:14.367593,31,2.46198855,S13,Response_Selection
LEFT,633.3333346000001,,,RIGHT,365.3402000000199,2019-11-19 11:17:15.008998,2019-11-19 11:17:15.581272,32,2.46198855,S13,Response_Selection
RIGHT,1216.6666691,,,RIGHT,350.37589999998886,2019-11-19 11:17:16.815566,2019-11-19 11:17:17.374747,33,2.46198855,S13,Response_Selection
LEFT,883.3333351,,,LEFT,368.5085999999842,2019-11-19 11:17:18.273471,2019-11-19 11:17:18.850689,34,2.46198855,S13,Response_Selection
LEFT,1016.6666687000001,,,LEFT,400.988400000017,2019-11-19 11:17:19.885002,2019-11-19 11:17:20.493339,35,2.46198855,S13,Response_Selection
LEFT,533.3333344,,,LEFT,399.63270000001216,2019-11-19 11:17:21.040712,2019-11-19 11:17:21.647565,36,2.46198855,S13,Response_Selection
LEFT,1166.666669,,,LEFT,310.3279000000043,2019-11-19 11:17:22.831811,2019-11-19 11:17:23.349652,37,2.46198855,S13,Response_Selection
LEFT,750.0000015,,,LEFT,374.59840000002487,2019-11-19 11:17:24.114737,2019-11-19 11:17:24.697449,38,2.46198855,S13,Response_Selection
RIGHT,1083.3333355,,,RIGHT,451.94000000000756,2019-11-19 11:17:25.789213,2019-11-19 11:17:26.449645,39,2.46198855,S13,Response_Selection
RIGHT,1500.000003,,,RIGHT,418.6845000000119,2019-11-19 11:17:27.957808,2019-11-19 11:17:28.584412,40,2.46198855,S13,Response_Selection
RIGHT,750.0000015,,,RIGHT,496.729600000009,2019-11-19 11:17:29.351077,2019-11-19 11:17:30.055633,41,2.46198855,S13,Response_Selection
RIGHT,1066.6666688,,,RIGHT,400.61560000000895,2019-11-19 11:17:31.138759,2019-11-19 11:17:31.746326,42,2.46198855,S13,Response_Selection
RIGHT,1366.6666694,,,RIGHT,354.0110999999797,2019-11-19 11:17:33.131077,2019-11-19 11:17:33.692845,43,2.46198855,S13,Response_Selection
RIGHT,883.3333351,,,RIGHT,398.26170000000616,2019-11-19 11:17:34.592012,2019-11-19 11:17:35.198747,44,2.46198855,S13,Response_Selection
LEFT,1400.0000028,,,LEFT,445.693800000015,2019-11-19 11:17:36.606683,2019-11-19 11:17:37.259720,45,2.46198855,S13,Response_Selection
RIGHT,783.3333349000001,,,RIGHT,299.9429000000191,2019-11-19 11:17:38.057895,2019-11-19 11:17:38.567150,46,2.46198855,S13,Response_Selection
LEFT,1366.6666694,,,LEFT,351.115099999987,2019-11-19 11:17:39.945339,2019-11-19 11:17:40.504956,47,2.46198855,S13,Response_Selection
RIGHT,733.3333348,,,RIGHT,316.0869999999818,2019-11-19 11:17:41.253465,2019-11-19 11:17:41.779247,48,2.46198855,S13,Response_Selection
LEFT,1083.3333355,,,LEFT,307.0458000000258,2019-11-19 11:17:42.872768,2019-11-19 11:17:43.387700,49,2.46198855,S13,Response_Selection
RIGHT,933.3333352,,,RIGHT,259.3146000000104,2019-11-19 11:17:44.331176,2019-11-19 11:17:44.798709,50,2.46198855,S13,Response_Selection
RIGHT,966.6666686,,,RIGHT,594.5157999999822,2019-11-19 11:17:45.773553,2019-11-19 11:17:46.575669,51,2.46198855,S13,Response_Selection
LEFT,700.0000014,,,LEFT,349.93140000000267,2019-11-19 11:17:47.292254,2019-11-19 11:17:47.850313,52,2.46198855,S13,Response_Selection
RIGHT,1416.6666695000001,,,RIGHT,346.33730000001606,2019-11-19 11:17:49.274374,2019-11-19 11:17:49.829243,53,2.46198855,S13,Response_Selection
RIGHT,833.333335,,,RIGHT,377.05880000001457,2019-11-19 11:17:50.677971,2019-11-19 11:17:51.262370,54,2.46198855,S13,Response_Selection
RIGHT,866.6666684,,,RIGHT,338.29620000000205,2019-11-19 11:17:52.137092,2019-11-19 11:17:52.683232,55,2.46198855,S13,Response_Selection
LEFT,1416.6666695000001,,,LEFT,457.99919999998906,2019-11-19 11:17:54.116018,2019-11-19 11:17:54.781799,56,2.46198855,S13,Response_Selection
RIGHT,1200.0000024,,,RIGHT,608.9788999999826,2019-11-19 11:17:55.996783,2019-11-19 11:17:56.814257,57,2.46198855,S13,Response_Selection
LEFT,600.0000012,,,LEFT,575.9368999999879,2019-11-19 11:17:57.429193,2019-11-19 11:17:58.212621,58,2.46198855,S13,Response_Selection
LEFT,1200.0000024,,,LEFT,518.2106000000317,2019-11-19 11:17:59.421483,2019-11-19 11:18:00.147446,59,2.46198855,S13,Response_Selection
LEFT,1250.0000025,,,LEFT,399.9350000000277,2019-11-19 11:18:01.405173,2019-11-19 11:18:02.012632,60,2.46198855,S13,Response_Selection
RIGHT,1316.6666693,,,RIGHT,321.0075999999731,2019-11-19 11:18:03.345136,2019-11-19 11:18:03.879193,61,2.46198855,S13,Response_Selection
RIGHT,1166.666669,,,RIGHT,310.82650000001877,2019-11-19 11:18:05.053896,2019-11-19 11:18:05.572755,62,2.46198855,S13,Response_Selection
LEFT,1033.3333354000001,,,LEFT,301.5206999999691,2019-11-19 11:18:06.625310,2019-11-19 11:18:07.134402,63,2.46198855,S13,Response_Selection
LEFT,783.3333349000001,,,LEFT,416.25479999999015,2019-11-19 11:18:07.932909,2019-11-19 11:18:08.558165,64,2.46198855,S13,Response_Selection
LEFT,833.333335,,,LEFT,293.5271000000057,2019-11-19 11:18:09.400992,2019-11-19 11:18:09.901997,65,2.46198855,S13,Response_Selection
RIGHT,500.000001,,,RIGHT,339.8861000000011,2019-11-19 11:18:10.416137,2019-11-19 11:18:10.965022,66,2.46198855,S13,Response_Selection
RIGHT,650.0000013,,,RIGHT,329.9599999999714,2019-11-19 11:18:11.630254,2019-11-19 11:18:12.168730,67,2.46198855,S13,Response_Selection
LEFT,1466.6666696,,,LEFT,294.46609999996554,2019-11-19 11:18:13.651667,2019-11-19 11:18:14.153304,68,2.46198855,S13,Response_Selection
RIGHT,683.3333347,,,RIGHT,274.39789999999675,2019-11-19 11:18:14.847755,2019-11-19 11:18:15.330172,69,2.46198855,S13,Response_Selection
RIGHT,1016.6666687000001,,,RIGHT,327.4336000000062,2019-11-19 11:18:16.362423,2019-11-19 11:18:16.897730,70,2.46198855,S13,Response_Selection
RIGHT,1300.0000026,,,RIGHT,365.1064999999676,2019-11-19 11:18:18.205750,2019-11-19 11:18:18.779382,71,2.46198855,S13,Response_Selection
