Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,966.6666686,False,,,,LEFT,294.1962809999836,2019-11-22 11:27:01.798374,2019-11-22 11:27:02.299828,1,5.7524296999999995,S14,Response_Inhibition
RIGHT,833.333335,False,,,,RIGHT,271.44544700001916,2019-11-22 11:27:03.139368,2019-11-22 11:27:03.618233,2,5.7524296999999995,S14,Response_Inhibition
RIGHT,633.3333346000001,False,,,,RIGHT,300.6347109999865,2019-11-22 11:27:04.260950,2019-11-22 11:27:04.769313,3,5.7524296999999995,S14,Response_Inhibition
RIGHT,1050.0000021,False,,,,RIGHT,301.9619600000283,2019-11-22 11:27:05.828319,2019-11-22 11:27:06.337426,4,5.7524296999999995,S14,Response_Inhibition
RIGHT,533.3333344,True,200.0000004,,,RIGHT,341.7512364000046,2019-11-22 11:27:06.879975,2019-11-22 11:27:07.431606,5,5.7524296999999995,S14,Response_Inhibition
LEFT,516.6666677000001,True,133.3333336,,,LEFT,336.2311385999637,2019-11-22 11:27:07.955576,2019-11-22 11:27:08.501710,6,5.7524296999999995,S14,Response_Inhibition
LEFT,1166.666669,True,33.3333334,,,Time_Max_Exceeded,1500.0600623999585,2019-11-22 11:27:09.675286,2019-11-22 11:27:11.178596,7,5.7524296999999995,S14,Response_Inhibition
LEFT,500.000001,True,216.6666671,,,LEFT,489.92103709996104,2019-11-22 11:27:11.685244,2019-11-22 11:27:12.385024,8,5.7524296999999995,S14,Response_Inhibition
RIGHT,1150.0000023,False,,,,RIGHT,290.4303339999501,2019-11-22 11:27:13.544104,2019-11-22 11:27:14.040720,9,5.7524296999999995,S14,Response_Inhibition
LEFT,1000.000002,False,,,,LEFT,318.5892509999917,2019-11-22 11:27:15.046866,2019-11-22 11:27:15.572359,10,5.7524296999999995,S14,Response_Inhibition
RIGHT,516.6666677000001,False,,,,RIGHT,295.72628500000064,2019-11-22 11:27:16.098968,2019-11-22 11:27:16.601507,11,5.7524296999999995,S14,Response_Inhibition
RIGHT,1316.6666693,False,,,,LEFT,277.40537500000073,2019-11-22 11:27:17.927155,2019-11-22 11:27:18.410496,12,5.7524296999999995,S14,Response_Inhibition
RIGHT,1100.0000022,False,,,,RIGHT,300.3293440000334,2019-11-22 11:27:19.518715,2019-11-22 11:27:20.024974,13,5.7524296999999995,S14,Response_Inhibition
LEFT,850.0000017,True,83.33333350000001,,,LEFT,270.7417415000102,2019-11-22 11:27:20.884941,2019-11-22 11:27:21.365751,14,5.7524296999999995,S14,Response_Inhibition
LEFT,1466.6666696,False,,,,LEFT,369.20350899998766,2019-11-22 11:27:22.841700,2019-11-22 11:27:23.416537,15,5.7524296999999995,S14,Response_Inhibition
LEFT,1300.0000026,False,,,,LEFT,331.469989000027,2019-11-22 11:27:24.724056,2019-11-22 11:27:25.263204,16,5.7524296999999995,S14,Response_Inhibition
LEFT,900.0000018000001,False,,,,LEFT,265.1367800000344,2019-11-22 11:27:26.171496,2019-11-22 11:27:26.643585,17,5.7524296999999995,S14,Response_Inhibition
RIGHT,1366.6666694,False,,,,RIGHT,290.14259799998854,2019-11-22 11:27:28.018605,2019-11-22 11:27:28.516273,18,5.7524296999999995,S14,Response_Inhibition
LEFT,850.0000017,True,116.6666669,,,LEFT,298.28440190003164,2019-11-22 11:27:29.374487,2019-11-22 11:27:29.884136,19,5.7524296999999995,S14,Response_Inhibition
LEFT,1350.0000027,False,,,,LEFT,315.77748500001235,2019-11-22 11:27:31.241551,2019-11-22 11:27:31.766264,20,5.7524296999999995,S14,Response_Inhibition
LEFT,1183.3333357000001,False,,,,LEFT,257.4617230000058,2019-11-22 11:27:32.958862,2019-11-22 11:27:33.423556,21,5.7524296999999995,S14,Response_Inhibition
LEFT,700.0000014,True,166.66666700000002,,,LEFT,363.68035500002685,2019-11-22 11:27:34.133860,2019-11-22 11:27:34.707855,22,5.7524296999999995,S14,Response_Inhibition
LEFT,1150.0000023,False,,,,LEFT,339.10026299997753,2019-11-22 11:27:35.866788,2019-11-22 11:27:36.413045,23,5.7524296999999995,S14,Response_Inhibition
LEFT,866.6666684,False,,,,LEFT,310.222006999993,2019-11-22 11:27:37.287640,2019-11-22 11:27:37.804500,24,5.7524296999999995,S14,Response_Inhibition
RIGHT,1350.0000027,False,,,,RIGHT,419.13298600002236,2019-11-22 11:27:39.165099,2019-11-22 11:27:39.790494,25,5.7524296999999995,S14,Response_Inhibition
RIGHT,766.6666682,True,116.6666669,,,RIGHT,409.0131198999933,2019-11-22 11:27:40.566970,2019-11-22 11:27:41.186179,26,5.7524296999999995,S14,Response_Inhibition
LEFT,1366.6666694,True,216.6666671,,,LEFT,333.31828810001684,2019-11-22 11:27:42.560771,2019-11-22 11:27:43.106856,27,5.7524296999999995,S14,Response_Inhibition
