Stimulus_Side,ITI,Priming_Interval,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,1500.000003,900.0000018000001,,,RIGHT,-414.735,RIGHT,1243.0086670000264,2019-11-22 11:37:58.977228,2019-11-22 11:38:00.427406,1,0.9368659,S14,Attention_Priming
LEFT,1383.3333361,583.3333345,,,LEFT,-57.389,LEFT,488.5346659999641,2019-11-22 11:38:02.410741,2019-11-22 11:38:03.106422,2,0.9368659,S14,Attention_Priming
RIGHT,616.6666679,366.6666674,,,,,RIGHT,68.6897460000182,2019-11-22 11:38:04.105958,2019-11-22 11:38:04.381349,3,0.9368659,S14,Attention_Priming
LEFT,500.000001,266.6666672,RIGHT,-356.047,,,LEFT,159.60986499999308,2019-11-22 11:38:05.165432,2019-11-22 11:38:05.531284,4,0.9368659,S14,Attention_Priming
RIGHT,1166.666669,683.3333347,,,RIGHT,-281.249,RIGHT,398.85470100000475,2019-11-22 11:38:07.398125,2019-11-22 11:38:08.003982,5,0.9368659,S14,Attention_Priming
LEFT,1166.666669,1000.000002,,,,,LEFT,261.09896499997376,2019-11-22 11:38:10.182448,2019-11-22 11:38:10.650712,6,0.9368659,S14,Attention_Priming
RIGHT,1283.3333359,583.3333345,,,RIGHT,-163.499,RIGHT,429.17339600001014,2019-11-22 11:38:12.533966,2019-11-22 11:38:13.170263,7,0.9368659,S14,Attention_Priming
LEFT,950.0000019,783.3333349000001,,,,,LEFT,252.5846810000303,2019-11-22 11:38:14.916520,2019-11-22 11:38:15.376350,8,0.9368659,S14,Attention_Priming
LEFT,616.6666679,366.6666674,,,,,LEFT,55.35624900005587,2019-11-22 11:38:16.377776,2019-11-22 11:38:16.639589,9,0.9368659,S14,Attention_Priming
LEFT,716.6666681,50.0000001,,,,,LEFT,348.5976430000619,2019-11-22 11:38:17.422353,2019-11-22 11:38:17.976814,10,0.9368659,S14,Attention_Priming
LEFT,1500.000003,466.6666676,,,,,LEFT,19.73314000008486,2019-11-22 11:38:19.959591,2019-11-22 11:38:20.184822,11,0.9368659,S14,Attention_Priming
LEFT,1283.3333359,150.0000003,,,,,LEFT,256.57841799989,2019-11-22 11:38:21.634431,2019-11-22 11:38:22.098272,12,0.9368659,S14,Attention_Priming
RIGHT,1383.3333361,1000.000002,,,RIGHT,-348.022,RIGHT,311.31229799996163,2019-11-22 11:38:24.499426,2019-11-22 11:38:25.017365,13,0.9368659,S14,Attention_Priming
LEFT,1050.0000021,900.0000018000001,,,LEFT,-518.1909999999999,LEFT,35.328673999970306,2019-11-22 11:38:26.982743,2019-11-22 11:38:27.226146,14,0.9368659,S14,Attention_Priming
RIGHT,950.0000019,783.3333349000001,,,,,RIGHT,258.565061000013,2019-11-22 11:38:28.974973,2019-11-22 11:38:29.439665,15,0.9368659,S14,Attention_Priming
RIGHT,716.6666681,50.0000001,,,,,RIGHT,440.19372800005385,2019-11-22 11:38:30.222652,2019-11-22 11:38:30.870300,16,0.9368659,S14,Attention_Priming
RIGHT,1050.0000021,266.6666672,,,,,RIGHT,168.18550399989363,2019-11-22 11:38:32.204632,2019-11-22 11:38:32.578564,17,0.9368659,S14,Attention_Priming
RIGHT,833.333335,466.6666676,,,,,RIGHT,273.2779960001608,2019-11-22 11:38:33.895361,2019-11-22 11:38:34.374635,18,0.9368659,S14,Attention_Priming
LEFT,833.333335,683.3333347,,,,,LEFT,290.51778300004116,2019-11-22 11:38:35.906577,2019-11-22 11:38:36.404240,19,0.9368659,S14,Attention_Priming
RIGHT,500.000001,150.0000003,,,,,RIGHT,549.9576859999706,2019-11-22 11:38:37.070289,2019-11-22 11:38:37.827256,20,0.9368659,S14,Attention_Priming
