Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1400.0000028,False,,,,LEFT,322.4083000000064,2019-12-13 12:50:53.134904,2019-12-13 12:50:53.665261,1,5.168220416666667,S18,Response_Inhibition
LEFT,900.0000018000001,False,,,,LEFT,258.582199999978,2019-12-13 12:50:54.574930,2019-12-13 12:50:55.040495,2,5.168220416666667,S18,Response_Inhibition
LEFT,833.333335,False,,,,LEFT,254.96859999998378,2019-12-13 12:50:55.882036,2019-12-13 12:50:56.344638,3,5.168220416666667,S18,Response_Inhibition
RIGHT,950.0000019,False,,,,RIGHT,290.4104000000416,2019-12-13 12:50:57.302582,2019-12-13 12:50:57.800986,4,5.168220416666667,S18,Response_Inhibition
LEFT,1250.0000025,False,,,,LEFT,277.527799999973,2019-12-13 12:50:59.059409,2019-12-13 12:50:59.544522,5,5.168220416666667,S18,Response_Inhibition
RIGHT,1000.000002,True,183.3333337,,,RIGHT,236.79893369998135,2019-12-13 12:51:00.553524,2019-12-13 12:51:01.000994,6,5.168220416666667,S18,Response_Inhibition
LEFT,500.000001,True,183.3333337,,,LEFT,311.45223370000406,2019-12-13 12:51:01.510623,2019-12-13 12:51:02.033326,7,5.168220416666667,S18,Response_Inhibition
LEFT,966.6666686,False,,,,LEFT,408.9061999999899,2019-12-13 12:51:03.008686,2019-12-13 12:51:03.625724,8,5.168220416666667,S18,Response_Inhibition
LEFT,1216.6666691,False,,,,LEFT,302.0093000000088,2019-12-13 12:51:04.851108,2019-12-13 12:51:05.360577,9,5.168220416666667,S18,Response_Inhibition
RIGHT,1416.6666695000001,False,,,,RIGHT,247.45470000004843,2019-12-13 12:51:06.786022,2019-12-13 12:51:07.241014,10,5.168220416666667,S18,Response_Inhibition
RIGHT,1100.0000022,False,,,,RIGHT,283.619500000043,2019-12-13 12:51:08.349143,2019-12-13 12:51:08.841145,11,5.168220416666667,S18,Response_Inhibition
RIGHT,833.333335,True,200.0000004,,,RIGHT,314.92790039999784,2019-12-13 12:51:09.682899,2019-12-13 12:51:10.209118,12,5.168220416666667,S18,Response_Inhibition
RIGHT,1066.6666688,False,,,,RIGHT,323.0924000000073,2019-12-13 12:51:11.285743,2019-12-13 12:51:11.817376,13,5.168220416666667,S18,Response_Inhibition
RIGHT,683.3333347,False,,,,RIGHT,371.5915000000223,2019-12-13 12:51:12.510030,2019-12-13 12:51:13.089406,14,5.168220416666667,S18,Response_Inhibition
RIGHT,733.3333348,False,,,,RIGHT,321.8812000000071,2019-12-13 12:51:13.830938,2019-12-13 12:51:14.360806,15,5.168220416666667,S18,Response_Inhibition
RIGHT,1350.0000027,False,,,,RIGHT,737.7279000000385,2019-12-13 12:51:15.719169,2019-12-13 12:51:16.664833,16,5.168220416666667,S18,Response_Inhibition
RIGHT,583.3333345,False,,,,RIGHT,304.2197999999985,2019-12-13 12:51:17.256865,2019-12-13 12:51:17.769997,17,5.168220416666667,S18,Response_Inhibition
LEFT,1116.6666689,False,,,,LEFT,458.03949999998395,2019-12-13 12:51:18.895532,2019-12-13 12:51:19.561045,18,5.168220416666667,S18,Response_Inhibition
