Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1033.3333354000001,,,LEFT,365.6522999999936,2019-12-13 12:48:27.123242,2019-12-13 12:48:27.697350,1,2.4752809,S18,Response_Selection
LEFT,1366.6666694,,,LEFT,384.5093999999847,2019-12-13 12:48:29.072767,2019-12-13 12:48:29.665740,2,2.4752809,S18,Response_Selection
LEFT,1083.3333355,,,LEFT,243.762299999986,2019-12-13 12:48:30.757433,2019-12-13 12:48:31.209955,3,2.4752809,S18,Response_Selection
LEFT,1450.0000029,,,LEFT,236.4757999999938,2019-12-13 12:48:32.668593,2019-12-13 12:48:33.112940,4,2.4752809,S18,Response_Selection
LEFT,733.3333348,,,LEFT,266.41349999999875,2019-12-13 12:48:33.855008,2019-12-13 12:48:34.329326,5,2.4752809,S18,Response_Selection
RIGHT,966.6666686,,,RIGHT,296.15619999998444,2019-12-13 12:48:35.305141,2019-12-13 12:48:35.810379,6,2.4752809,S18,Response_Selection
LEFT,1066.6666688,,,LEFT,267.664400000001,2019-12-13 12:48:36.885614,2019-12-13 12:48:37.362038,7,2.4752809,S18,Response_Selection
RIGHT,583.3333345,,,RIGHT,303.13200000000506,2019-12-13 12:48:37.954333,2019-12-13 12:48:38.465160,8,2.4752809,S18,Response_Selection
RIGHT,650.0000013,,,RIGHT,293.8617000000079,2019-12-13 12:48:39.124095,2019-12-13 12:48:39.626209,9,2.4752809,S18,Response_Selection
LEFT,1300.0000026,,,LEFT,258.5006999999848,2019-12-13 12:48:40.935234,2019-12-13 12:48:41.401850,10,2.4752809,S18,Response_Selection
LEFT,1500.000003,,,LEFT,306.6718000000037,2019-12-13 12:48:42.910050,2019-12-13 12:48:43.424961,11,2.4752809,S18,Response_Selection
RIGHT,600.0000012,,,RIGHT,327.08339999999225,2019-12-13 12:48:44.034318,2019-12-13 12:48:44.570164,12,2.4752809,S18,Response_Selection
RIGHT,550.0000011,,,RIGHT,320.09240000002137,2019-12-13 12:48:45.128704,2019-12-13 12:48:45.657104,13,2.4752809,S18,Response_Selection
RIGHT,1116.6666689,,,RIGHT,290.5346999999949,2019-12-13 12:48:46.783085,2019-12-13 12:48:47.282032,14,2.4752809,S18,Response_Selection
LEFT,1016.6666687000001,,,LEFT,269.84820000001264,2019-12-13 12:48:48.307301,2019-12-13 12:48:48.785073,15,2.4752809,S18,Response_Selection
RIGHT,983.3333353,,,RIGHT,368.1401000000051,2019-12-13 12:48:49.776927,2019-12-13 12:48:50.354329,16,2.4752809,S18,Response_Selection
LEFT,866.6666684,,,LEFT,235.3362000000061,2019-12-13 12:48:51.229999,2019-12-13 12:48:51.673181,17,2.4752809,S18,Response_Selection
LEFT,583.3333345,,,LEFT,320.30740000001856,2019-12-13 12:48:52.265395,2019-12-13 12:48:52.793390,18,2.4752809,S18,Response_Selection
RIGHT,833.333335,,,RIGHT,261.6448999999932,2019-12-13 12:48:53.635293,2019-12-13 12:48:54.104949,19,2.4752809,S18,Response_Selection
RIGHT,633.3333346000001,,,RIGHT,262.1744999999862,2019-12-13 12:48:54.746783,2019-12-13 12:48:55.216837,20,2.4752809,S18,Response_Selection
LEFT,783.3333349000001,,,LEFT,256.33510000000115,2019-12-13 12:48:56.008886,2019-12-13 12:48:56.472511,21,2.4752809,S18,Response_Selection
RIGHT,500.000001,,,RIGHT,212.05710000000977,2019-12-13 12:48:56.980670,2019-12-13 12:48:57.402363,22,2.4752809,S18,Response_Selection
LEFT,650.0000013,,,LEFT,228.31160000001205,2019-12-13 12:48:58.060369,2019-12-13 12:48:58.497116,23,2.4752809,S18,Response_Selection
RIGHT,1200.0000024,,,RIGHT,239.1819000000055,2019-12-13 12:48:59.705474,2019-12-13 12:49:00.153080,24,2.4752809,S18,Response_Selection
RIGHT,1033.3333354000001,,,RIGHT,294.19749999999567,2019-12-13 12:49:01.194898,2019-12-13 12:49:01.697722,25,2.4752809,S18,Response_Selection
RIGHT,1300.0000026,,,RIGHT,217.94820000002346,2019-12-13 12:49:03.007244,2019-12-13 12:49:03.433714,26,2.4752809,S18,Response_Selection
RIGHT,1016.6666687000001,,,RIGHT,253.81349999997838,2019-12-13 12:49:04.458983,2019-12-13 12:49:04.921467,27,2.4752809,S18,Response_Selection
RIGHT,1083.3333355,,,RIGHT,259.4665999999961,2019-12-13 12:49:06.014061,2019-12-13 12:49:06.482049,28,2.4752809,S18,Response_Selection
LEFT,966.6666686,,,LEFT,383.80270000004657,2019-12-13 12:49:07.457452,2019-12-13 12:49:08.048624,29,2.4752809,S18,Response_Selection
LEFT,916.6666685,,,LEFT,251.34379999997236,2019-12-13 12:49:08.974218,2019-12-13 12:49:09.434279,30,2.4752809,S18,Response_Selection
RIGHT,1416.6666695000001,,,RIGHT,260.9062999999878,2019-12-13 12:49:10.860494,2019-12-13 12:49:11.328927,31,2.4752809,S18,Response_Selection
RIGHT,1400.0000028,,,RIGHT,295.646099999999,2019-12-13 12:49:12.737770,2019-12-13 12:49:13.240939,32,2.4752809,S18,Response_Selection
RIGHT,750.0000015,,,RIGHT,272.9262999999946,2019-12-13 12:49:14.000557,2019-12-13 12:49:14.480814,33,2.4752809,S18,Response_Selection
RIGHT,933.3333352,,,RIGHT,306.61750000001575,2019-12-13 12:49:15.422308,2019-12-13 12:49:15.936952,34,2.4752809,S18,Response_Selection
RIGHT,916.6666685,,,RIGHT,234.98959999994895,2019-12-13 12:49:16.862457,2019-12-13 12:49:17.304586,35,2.4752809,S18,Response_Selection
RIGHT,533.3333344,,,RIGHT,266.2081000000285,2019-12-13 12:49:17.846643,2019-12-13 12:49:18.320940,36,2.4752809,S18,Response_Selection
