Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,566.6666678,,,Time_Max_Exceeded,1500.0634000000018,2019-12-19 13:00:16.933808,2019-12-19 13:00:18.439165,1,1.9425184,S19,Processing_Speed
LEFT,733.3333348,,,Time_Max_Exceeded,1500.0605999999975,2019-12-19 13:00:19.182056,2019-12-19 13:00:20.688277,2,1.9425184,S19,Processing_Speed
LEFT,916.6666685,,,DOWN,2447.4693999999886,2019-12-19 13:00:21.613871,2019-12-19 13:00:24.268463,3,1.9425184,S19,Processing_Speed
LEFT,1083.3333355,,,DOWN,380.69109999999284,2019-12-19 13:00:25.360809,2019-12-19 13:00:25.948881,4,1.9425184,S19,Processing_Speed
RIGHT,850.0000017,,,DOWN,253.6340999999993,2019-12-19 13:00:26.807486,2019-12-19 13:00:27.268792,5,1.9425184,S19,Processing_Speed
LEFT,633.3333346000001,,,DOWN,254.066899999998,2019-12-19 13:00:27.911712,2019-12-19 13:00:28.374035,6,1.9425184,S19,Processing_Speed
LEFT,850.0000017,,,DOWN,340.3966000000054,2019-12-19 13:00:29.233166,2019-12-19 13:00:29.782239,7,1.9425184,S19,Processing_Speed
RIGHT,1266.6666692000001,DOWN,-168.27100000000002,DOWN,491.16139999999575,2019-12-19 13:00:31.058135,2019-12-19 13:00:31.757294,8,1.9425184,S19,Processing_Speed
RIGHT,666.6666680000001,,,DOWN,323.81319999998937,2019-12-19 13:00:32.433188,2019-12-19 13:00:32.968863,9,1.9425184,S19,Processing_Speed
LEFT,1266.6666692000001,,,DOWN,254.71059999999568,2019-12-19 13:00:34.246849,2019-12-19 13:00:34.709837,10,1.9425184,S19,Processing_Speed
LEFT,600.0000012,,,DOWN,327.27479999999787,2019-12-19 13:00:35.318121,2019-12-19 13:00:35.854290,11,1.9425184,S19,Processing_Speed
LEFT,950.0000019,,,DOWN,279.5559999999995,2019-12-19 13:00:36.813392,2019-12-19 13:00:37.300405,12,1.9425184,S19,Processing_Speed
RIGHT,1083.3333355,,,DOWN,268.99039999999275,2019-12-19 13:00:38.392186,2019-12-19 13:00:38.868505,13,1.9425184,S19,Processing_Speed
LEFT,1333.3333360000001,,,DOWN,250.3487999999976,2019-12-19 13:00:40.211025,2019-12-19 13:00:40.668430,14,1.9425184,S19,Processing_Speed
LEFT,700.0000014,,,DOWN,339.87380000000655,2019-12-19 13:00:41.376829,2019-12-19 13:00:41.925172,15,1.9425184,S19,Processing_Speed
RIGHT,1433.3333362,,,DOWN,260.95610000000136,2019-12-19 13:00:43.368089,2019-12-19 13:00:43.836436,16,1.9425184,S19,Processing_Speed
RIGHT,600.0000012,,,DOWN,343.9422999999948,2019-12-19 13:00:44.445468,2019-12-19 13:00:44.996998,17,1.9425184,S19,Processing_Speed
LEFT,883.3333351,,,DOWN,284.0809000000206,2019-12-19 13:00:45.888979,2019-12-19 13:00:46.382231,18,1.9425184,S19,Processing_Speed
RIGHT,1183.3333357000001,,,DOWN,240.05149999999276,2019-12-19 13:00:47.573791,2019-12-19 13:00:48.024995,19,1.9425184,S19,Processing_Speed
LEFT,500.000001,,,DOWN,350.5554999999845,2019-12-19 13:00:48.534636,2019-12-19 13:00:49.092745,20,1.9425184,S19,Processing_Speed
LEFT,533.3333344,,,DOWN,289.74759999999833,2019-12-19 13:00:49.635809,2019-12-19 13:00:50.133110,21,1.9425184,S19,Processing_Speed
LEFT,566.6666678,,,DOWN,304.82280000001083,2019-12-19 13:00:50.708078,2019-12-19 13:00:51.222043,22,1.9425184,S19,Processing_Speed
LEFT,1116.6666689,,,DOWN,305.62129999998433,2019-12-19 13:00:52.347256,2019-12-19 13:00:52.861958,23,1.9425184,S19,Processing_Speed
RIGHT,1333.3333360000001,,,DOWN,352.9775000000086,2019-12-19 13:00:54.203895,2019-12-19 13:00:54.765071,24,1.9425184,S19,Processing_Speed
LEFT,1500.000003,,,DOWN,282.23299999999085,2019-12-19 13:00:56.274769,2019-12-19 13:00:56.765102,25,1.9425184,S19,Processing_Speed
RIGHT,883.3333351,,,DOWN,451.9971999999939,2019-12-19 13:00:57.656811,2019-12-19 13:00:58.318101,26,1.9425184,S19,Processing_Speed
RIGHT,1400.0000028,,,DOWN,302.4983999999904,2019-12-19 13:00:59.727008,2019-12-19 13:01:00.237900,27,1.9425184,S19,Processing_Speed
RIGHT,1216.6666691,,,DOWN,294.04300000001626,2019-12-19 13:01:01.462734,2019-12-19 13:01:01.964607,28,1.9425184,S19,Processing_Speed
LEFT,1300.0000026,,,DOWN,314.87390000000914,2019-12-19 13:01:03.274211,2019-12-19 13:01:03.797777,29,1.9425184,S19,Processing_Speed
LEFT,1400.0000028,,,DOWN,238.40020000000095,2019-12-19 13:01:05.206689,2019-12-19 13:01:05.652320,30,1.9425184,S19,Processing_Speed
