Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
INCONGRUENT,RIGHT,816.6666683,"('Time_Max_Exceeded', 816.7204000000083)",0,,,Time_Max_Exceeded,1500.0879,52:01.5,52:03.0,1,s4,ConflictResolution
INCONGRUENT,LEFT,966.6666686,"('Time_Max_Exceeded', 1.0435000000370565)",0,,,LEFT,904.9076,52:04.0,52:05.1,2,s4,ConflictResolution
INCONGRUENT,LEFT,1000.000002,"('Time_Max_Exceeded', 1000.2551999999696)",0,,,LEFT,802.1859,52:06.1,52:07.1,3,s4,ConflictResolution
INCONGRUENT,LEFT,1150.000002,"('Time_Max_Exceeded', 1150.1637000000073)",0,,,LEFT,692.8141,52:08.3,52:09.2,4,s4,ConflictResolution
CONGRUENT,LEFT,1316.666669,"('Time_Max_Exceeded', 1316.9957999999724)",0,,,LEFT,773.7402,52:10.6,52:11.5,5,s4,ConflictResolution
CONGRUENT,RIGHT,1000.000002,"('Time_Max_Exceeded', 1000.3321999998889)",0,,,RIGHT,413.0845,52:12.6,52:13.2,6,s4,ConflictResolution
INCONGRUENT,RIGHT,1333.333336,"('Time_Max_Exceeded', 1333.628900000008)",0,,,RIGHT,703.6406,52:14.5,52:15.4,7,s4,ConflictResolution
INCONGRUENT,RIGHT,683.3333347,"('Time_Max_Exceeded', 683.494200000041)",0,,,RIGHT,572.6692,52:16.1,52:16.9,8,s4,ConflictResolution
INCONGRUENT,LEFT,1083.333336,"('Time_Max_Exceeded', 1083.6606000000302)",0,,,LEFT,487.2302,52:18.0,52:18.7,9,s4,ConflictResolution
CONGRUENT,LEFT,1216.666669,"('Time_Max_Exceeded', 0.4195000000208893)",0,,,LEFT,638.4568,52:20.0,52:20.8,10,s4,ConflictResolution
INCONGRUENT,LEFT,1400.000003,"('Time_Max_Exceeded', 1400.9251999999606)",0,,,LEFT,540.7669,52:22.2,52:23.0,11,s4,ConflictResolution
INCONGRUENT,LEFT,1216.666669,"('Time_Max_Exceeded', 1216.9863999999961)",0,,,LEFT,466.181,52:24.2,52:24.9,12,s4,ConflictResolution
INCONGRUENT,RIGHT,900.0000018,"('Time_Max_Exceeded', 0.34190000008038623)",0,,,RIGHT,561.8261,52:25.8,52:26.6,13,s4,ConflictResolution
INCONGRUENT,RIGHT,600.0000012,"('Time_Max_Exceeded', 600.3071000000091)",0,,,RIGHT,488.9318,52:27.2,52:27.9,14,s4,ConflictResolution
INCONGRUENT,LEFT,816.6666683,"('Time_Max_Exceeded', 816.9500999999855)",0,,,LEFT,501.3436,52:28.8,52:29.5,15,s4,ConflictResolution
