Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,666.6666680000001,,,Time_Max_Exceeded,2702.6946000000007,2019-11-07 18:35:15.220662,2019-11-07 18:35:17.962481,1,1.9159050499999999,S7,Processing_Speed
RIGHT,1016.6666687000001,,,Time_Max_Exceeded,1863.8435000000015,2019-11-07 18:35:19.013296,2019-11-07 18:35:20.893374,2,1.9159050499999999,S7,Processing_Speed
RIGHT,1266.6666692000001,,,Time_Max_Exceeded,1500.1345000000015,2019-11-07 18:35:22.178161,2019-11-07 18:35:23.695228,3,1.9159050499999999,S7,Processing_Speed
LEFT,1216.6666691,,,Time_Max_Exceeded,2278.441600000008,2019-11-07 18:35:24.928855,2019-11-07 18:35:27.230237,4,1.9159050499999999,S7,Processing_Speed
RIGHT,1466.6666696,,,Time_Max_Exceeded,2214.3728000000065,2019-11-07 18:35:28.716352,2019-11-07 18:35:30.947890,5,1.9159050499999999,S7,Processing_Speed
LEFT,1433.3333362,,,Time_Max_Exceeded,1500.161399999996,2019-11-07 18:35:32.400675,2019-11-07 18:35:33.914188,6,1.9159050499999999,S7,Processing_Speed
LEFT,1400.0000028,,,Time_Max_Exceeded,1500.1179999999863,2019-11-07 18:35:35.328327,2019-11-07 18:35:36.844603,7,1.9159050499999999,S7,Processing_Speed
LEFT,1083.3333355,,,DOWN,3854.4483999999957,2019-11-07 18:35:37.945304,2019-11-07 18:35:42.019334,8,1.9159050499999999,S7,Processing_Speed
LEFT,850.0000017,,,DOWN,39.649700000012444,2019-11-07 18:35:42.899828,2019-11-07 18:35:43.157484,9,1.9159050499999999,S7,Processing_Speed
LEFT,600.0000012,,,DOWN,587.0891000000142,2019-11-07 18:35:43.783299,2019-11-07 18:35:44.589137,10,1.9159050499999999,S7,Processing_Speed
LEFT,1500.000003,,,DOWN,361.0919999999851,2019-11-07 18:35:46.114495,2019-11-07 18:35:46.689249,11,1.9159050499999999,S7,Processing_Speed
RIGHT,600.0000012,,,Time_Max_Exceeded,1500.1106999999934,2019-11-07 18:35:47.311870,2019-11-07 18:35:48.830297,12,1.9159050499999999,S7,Processing_Speed
LEFT,1466.6666696,UP,-887.882,DOWN,541.9124999999951,2019-11-07 18:35:50.313396,2019-11-07 18:35:51.080349,13,1.9159050499999999,S7,Processing_Speed
RIGHT,666.6666680000001,,,DOWN,252.22030000000473,2019-11-07 18:35:51.774728,2019-11-07 18:35:52.241196,14,1.9159050499999999,S7,Processing_Speed
LEFT,1333.3333360000001,,,DOWN,311.86639999998533,2019-11-07 18:35:53.600532,2019-11-07 18:35:54.134365,15,1.9159050499999999,S7,Processing_Speed
RIGHT,1366.6666694,,,DOWN,432.4260999999865,2019-11-07 18:35:55.527277,2019-11-07 18:35:56.191375,16,1.9159050499999999,S7,Processing_Speed
