Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,683.3333347,,,RIGHT,402.218199999993,2019-11-19 10:53:31.647782,2019-11-19 10:53:32.257071,1,2.67752925,Pilot3,Response_Selection
RIGHT,1416.6666695000001,,,RIGHT,311.37290000000917,2019-11-19 10:53:33.687782,2019-11-19 10:53:34.205979,2,2.67752925,Pilot3,Response_Selection
LEFT,583.3333345,,,LEFT,402.5765000000092,2019-11-19 10:53:34.804384,2019-11-19 10:53:35.413542,3,2.67752925,Pilot3,Response_Selection
LEFT,1316.6666693,,,LEFT,357.8510000000108,2019-11-19 10:53:36.738358,2019-11-19 10:53:37.302667,4,2.67752925,Pilot3,Response_Selection
LEFT,1366.6666694,,,LEFT,359.71549999999297,2019-11-19 10:53:38.675694,2019-11-19 10:53:39.243745,5,2.67752925,Pilot3,Response_Selection
RIGHT,883.3333351,,,RIGHT,297.10309999998685,2019-11-19 10:53:40.134539,2019-11-19 10:53:40.637684,6,2.67752925,Pilot3,Response_Selection
RIGHT,1250.0000025,,,RIGHT,483.5140999999794,2019-11-19 10:53:41.902105,2019-11-19 10:53:42.594054,7,2.67752925,Pilot3,Response_Selection
RIGHT,633.3333346000001,,,RIGHT,391.4668999999833,2019-11-19 10:53:43.242505,2019-11-19 10:53:43.840457,8,2.67752925,Pilot3,Response_Selection
LEFT,1216.6666691,,,LEFT,325.3313000000162,2019-11-19 10:53:45.071999,2019-11-19 10:53:45.604533,9,2.67752925,Pilot3,Response_Selection
LEFT,700.0000014,,,LEFT,495.2209999999866,2019-11-19 10:53:46.319094,2019-11-19 10:53:47.022177,10,2.67752925,Pilot3,Response_Selection
LEFT,800.0000016,,,LEFT,349.6058000000062,2019-11-19 10:53:47.838771,2019-11-19 10:53:48.395579,11,2.67752925,Pilot3,Response_Selection
RIGHT,1066.6666688,,,RIGHT,312.91219999999953,2019-11-19 10:53:49.476812,2019-11-19 10:53:49.997888,12,2.67752925,Pilot3,Response_Selection
RIGHT,1466.6666696,,,RIGHT,367.7337000000023,2019-11-19 10:53:51.478180,2019-11-19 10:53:52.053090,13,2.67752925,Pilot3,Response_Selection
LEFT,783.3333349000001,,,LEFT,309.5072999999786,2019-11-19 10:53:52.849810,2019-11-19 10:53:53.366947,14,2.67752925,Pilot3,Response_Selection
RIGHT,933.3333352,,,RIGHT,321.96089999999344,2019-11-19 10:53:54.316013,2019-11-19 10:53:54.846230,15,2.67752925,Pilot3,Response_Selection
RIGHT,1316.6666693,,,RIGHT,350.2249999999947,2019-11-19 10:53:56.176596,2019-11-19 10:53:56.734767,16,2.67752925,Pilot3,Response_Selection
RIGHT,1166.666669,,,RIGHT,306.5489000000241,2019-11-19 10:53:57.916467,2019-11-19 10:53:58.429615,17,2.67752925,Pilot3,Response_Selection
