Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,700.0000014,,,DOWN,482.71366799999527,2019-11-19 10:56:41.846778,2019-11-19 10:56:42.547083,1,1.80556215,Pilot4,Processing_Speed
RIGHT,783.3333349000001,,,DOWN,395.87508900000046,2019-11-19 10:56:43.338610,2019-11-19 10:56:43.940158,2,1.80556215,Pilot4,Processing_Speed
RIGHT,1500.000003,,,DOWN,367.00318000000465,2019-11-19 10:56:45.450126,2019-11-19 10:56:46.024358,3,1.80556215,Pilot4,Processing_Speed
LEFT,566.6666678,,,DOWN,507.20995500000043,2019-11-19 10:56:46.601400,2019-11-19 10:56:47.316078,4,1.80556215,Pilot4,Processing_Speed
LEFT,1266.6666692000001,,,DOWN,466.3928009999978,2019-11-19 10:56:48.588491,2019-11-19 10:56:49.261636,5,1.80556215,Pilot4,Processing_Speed
LEFT,983.3333353,,,DOWN,441.8471479999937,2019-11-19 10:56:50.255027,2019-11-19 10:56:50.904552,6,1.80556215,Pilot4,Processing_Speed
LEFT,600.0000012,,,DOWN,354.4405029999993,2019-11-19 10:56:51.514171,2019-11-19 10:56:52.075052,7,1.80556215,Pilot4,Processing_Speed
LEFT,916.6666685,,,DOWN,407.0840709999999,2019-11-19 10:56:53.003109,2019-11-19 10:56:53.617477,8,1.80556215,Pilot4,Processing_Speed
LEFT,733.3333348,,,DOWN,382.0472230000007,2019-11-19 10:56:54.361437,2019-11-19 10:56:54.949692,9,1.80556215,Pilot4,Processing_Speed
RIGHT,1116.6666689,,,DOWN,362.8013989999985,2019-11-19 10:56:56.076980,2019-11-19 10:56:56.646561,10,1.80556215,Pilot4,Processing_Speed
LEFT,883.3333351,,,DOWN,361.8838899999943,2019-11-19 10:56:57.540310,2019-11-19 10:56:58.109269,11,1.80556215,Pilot4,Processing_Speed
LEFT,1050.0000021,,,DOWN,400.4263140000006,2019-11-19 10:56:59.170336,2019-11-19 10:56:59.777128,12,1.80556215,Pilot4,Processing_Speed
LEFT,1500.000003,,,DOWN,424.81752099999426,2019-11-19 10:57:01.287088,2019-11-19 10:57:01.919022,13,1.80556215,Pilot4,Processing_Speed
LEFT,1433.3333362,,,DOWN,399.894921000012,2019-11-19 10:57:03.362484,2019-11-19 10:57:03.967928,14,1.80556215,Pilot4,Processing_Speed
RIGHT,983.3333353,,,DOWN,372.40985300000773,2019-11-19 10:57:04.960777,2019-11-19 10:57:05.539786,15,1.80556215,Pilot4,Processing_Speed
LEFT,850.0000017,,,DOWN,300.5987439999984,2019-11-19 10:57:06.398485,2019-11-19 10:57:06.905988,16,1.80556215,Pilot4,Processing_Speed
RIGHT,1466.6666696,,,DOWN,383.34308899999314,2019-11-19 10:57:08.379688,2019-11-19 10:57:08.969528,17,1.80556215,Pilot4,Processing_Speed
LEFT,533.3333344,,,DOWN,366.95310899999356,2019-11-19 10:57:09.512077,2019-11-19 10:57:10.086321,18,1.80556215,Pilot4,Processing_Speed
RIGHT,1150.0000023,,,DOWN,308.0964330000029,2019-11-19 10:57:11.246578,2019-11-19 10:57:11.762589,19,1.80556215,Pilot4,Processing_Speed
LEFT,1466.6666696,,,DOWN,325.6578069999989,2019-11-19 10:57:13.239865,2019-11-19 10:57:13.772361,20,1.80556215,Pilot4,Processing_Speed
RIGHT,566.6666678,,,DOWN,380.6240609999918,2019-11-19 10:57:14.349856,2019-11-19 10:57:14.937299,21,1.80556215,Pilot4,Processing_Speed
LEFT,666.6666680000001,,,DOWN,314.1078440000058,2019-11-19 10:57:15.610238,2019-11-19 10:57:16.130131,22,1.80556215,Pilot4,Processing_Speed
LEFT,783.3333349000001,,,DOWN,357.2512119999942,2019-11-19 10:57:16.925180,2019-11-19 10:57:17.488852,23,1.80556215,Pilot4,Processing_Speed
LEFT,1333.3333360000001,,,DOWN,365.33036699999855,2019-11-19 10:57:18.833274,2019-11-19 10:57:19.405513,24,1.80556215,Pilot4,Processing_Speed
RIGHT,1333.3333360000001,,,DOWN,343.8880939999933,2019-11-19 10:57:20.745509,2019-11-19 10:57:21.294846,25,1.80556215,Pilot4,Processing_Speed
RIGHT,533.3333344,,,DOWN,416.99718599998903,2019-11-19 10:57:21.838971,2019-11-19 10:57:22.463562,26,1.80556215,Pilot4,Processing_Speed
