Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1116.6666689,,,DOWN,400.2930000000049,2019-12-10 13:05:02.214397,2019-12-10 13:05:02.851173,1,2.217677516666667,S191210,Processing_Speed
RIGHT,816.6666683,,,DOWN,246.6196000000025,2019-12-10 13:05:03.687859,2019-12-10 13:05:04.157427,2,2.217677516666667,S191210,Processing_Speed
LEFT,950.0000019,,,DOWN,236.9056999999941,2019-12-10 13:05:05.130016,2019-12-10 13:05:05.588868,3,2.217677516666667,S191210,Processing_Speed
LEFT,1183.3333357000001,,,DOWN,260.177399999975,2019-12-10 13:05:06.794781,2019-12-10 13:05:07.279995,4,2.217677516666667,S191210,Processing_Speed
RIGHT,1300.0000026,,,DOWN,237.9765999999961,2019-12-10 13:05:08.602023,2019-12-10 13:05:09.062182,5,2.217677516666667,S191210,Processing_Speed
RIGHT,533.3333344,,,DOWN,389.05189999999834,2019-12-10 13:05:09.618007,2019-12-10 13:05:10.228895,6,2.217677516666667,S191210,Processing_Speed
LEFT,1016.6666687000001,,,DOWN,276.0389000000032,2019-12-10 13:05:11.267041,2019-12-10 13:05:11.765887,7,2.217677516666667,S191210,Processing_Speed
LEFT,600.0000012,,,DOWN,257.996200000008,2019-12-10 13:05:12.388890,2019-12-10 13:05:12.862747,8,2.217677516666667,S191210,Processing_Speed
LEFT,733.3333348,,,DOWN,235.85710000000404,2019-12-10 13:05:13.619214,2019-12-10 13:05:14.078524,9,2.217677516666667,S191210,Processing_Speed
LEFT,1300.0000026,,,DOWN,302.1671999999853,2019-12-10 13:05:15.400816,2019-12-10 13:05:15.918164,10,2.217677516666667,S191210,Processing_Speed
RIGHT,850.0000017,,,DOWN,236.12090000000308,2019-12-10 13:05:16.787261,2019-12-10 13:05:17.247950,11,2.217677516666667,S191210,Processing_Speed
LEFT,1266.6666692000001,,,DOWN,269.72269999998844,2019-12-10 13:05:18.536931,2019-12-10 13:05:19.028918,12,2.217677516666667,S191210,Processing_Speed
