Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,816.6666683,False,,,,LEFT,330.4057999999941,2019-12-10 13:09:35.492599,2019-12-10 13:09:36.043982,1,5.3468711,S191210,Response_Inhibition
LEFT,700.0000014,False,,,,LEFT,309.2495999999869,2019-12-10 13:09:36.761965,2019-12-10 13:09:37.292725,2,5.3468711,S191210,Response_Inhibition
LEFT,500.000001,False,,,,LEFT,312.7106000000026,2019-12-10 13:09:37.813839,2019-12-10 13:09:38.349769,3,5.3468711,S191210,Response_Inhibition
LEFT,1100.0000022,False,,,,LEFT,279.5510000000263,2019-12-10 13:09:39.471232,2019-12-10 13:09:39.973120,4,5.3468711,S191210,Response_Inhibition
LEFT,1300.0000026,True,250.0000005,,,LEFT,259.8259005000098,2019-12-10 13:09:41.298293,2019-12-10 13:09:41.790003,5,5.3468711,S191210,Response_Inhibition
LEFT,1083.3333355,True,266.6666672,,,LEFT,280.0635671999752,2019-12-10 13:09:42.896168,2019-12-10 13:09:43.407184,6,5.3468711,S191210,Response_Inhibition
LEFT,666.6666680000001,False,,,,LEFT,335.05700000000616,2019-12-10 13:09:44.095884,2019-12-10 13:09:44.654153,7,5.3468711,S191210,Response_Inhibition
RIGHT,1383.3333361,False,,,,RIGHT,259.9846000000525,2019-12-10 13:09:46.059009,2019-12-10 13:09:46.541223,8,5.3468711,S191210,Response_Inhibition
LEFT,1266.6666692000001,False,,,,LEFT,273.12849999998434,2019-12-10 13:09:47.829938,2019-12-10 13:09:48.325877,9,5.3468711,S191210,Response_Inhibition
LEFT,1333.3333360000001,True,16.6666667,,,LEFT,293.5489666999543,2019-12-10 13:09:49.679911,2019-12-10 13:09:50.204806,10,5.3468711,S191210,Response_Inhibition
RIGHT,1066.6666688,False,,,,RIGHT,450.3308999999831,2019-12-10 13:09:51.292730,2019-12-10 13:09:51.966927,11,5.3468711,S191210,Response_Inhibition
LEFT,950.0000019,False,,,,LEFT,379.7491000000264,2019-12-10 13:09:52.939111,2019-12-10 13:09:53.542453,12,5.3468711,S191210,Response_Inhibition
RIGHT,533.3333344,False,,,,RIGHT,325.2555999999913,2019-12-10 13:09:54.097979,2019-12-10 13:09:54.647057,13,5.3468711,S191210,Response_Inhibition
RIGHT,583.3333345,False,,,,RIGHT,330.3907000000095,2019-12-10 13:09:55.252732,2019-12-10 13:09:55.808006,14,5.3468711,S191210,Response_Inhibition
LEFT,1283.3333359,False,,,,LEFT,349.85560000001215,2019-12-10 13:09:57.113020,2019-12-10 13:09:57.684919,15,5.3468711,S191210,Response_Inhibition
LEFT,1366.6666694,True,233.3333338,,,LEFT,278.13713380001104,2019-12-10 13:09:59.072842,2019-12-10 13:09:59.580754,16,5.3468711,S191210,Response_Inhibition
LEFT,516.6666677000001,False,,,,LEFT,475.71449999998094,2019-12-10 13:10:00.115040,2019-12-10 13:10:00.812855,17,5.3468711,S191210,Response_Inhibition
RIGHT,733.3333348,True,150.0000003,,,RIGHT,355.8986003000118,2019-12-10 13:10:01.569007,2019-12-10 13:10:02.156154,18,5.3468711,S191210,Response_Inhibition
RIGHT,950.0000019,False,,,,RIGHT,487.2048999999947,2019-12-10 13:10:03.127332,2019-12-10 13:10:03.836817,19,5.3468711,S191210,Response_Inhibition
RIGHT,1233.3333358,False,,,,RIGHT,507.42569999999887,2019-12-10 13:10:05.091977,2019-12-10 13:10:05.820957,20,5.3468711,S191210,Response_Inhibition
LEFT,550.0000011,False,,,,LEFT,606.7654000000289,2019-12-10 13:10:06.391931,2019-12-10 13:10:07.221931,21,5.3468711,S191210,Response_Inhibition
LEFT,1150.0000023,False,,,,LEFT,486.02239999996755,2019-12-10 13:10:08.393308,2019-12-10 13:10:09.100159,22,5.3468711,S191210,Response_Inhibition
LEFT,1383.3333361,False,,,,LEFT,325.8846999999605,2019-12-10 13:10:10.505133,2019-12-10 13:10:11.052524,23,5.3468711,S191210,Response_Inhibition
RIGHT,1366.6666694,False,,,,RIGHT,541.7609000000425,2019-12-10 13:10:12.440843,2019-12-10 13:10:13.203945,24,5.3468711,S191210,Response_Inhibition
RIGHT,833.333335,True,50.0000001,,,Time_Max_Exceeded,1500.2479001000222,2019-12-10 13:10:14.059166,2019-12-10 13:10:15.569713,25,5.3468711,S191210,Response_Inhibition
RIGHT,1350.0000027,False,,,,RIGHT,526.5246000000161,2019-12-10 13:10:16.937048,2019-12-10 13:10:17.685920,26,5.3468711,S191210,Response_Inhibition
RIGHT,1450.0000029,False,,,,RIGHT,329.3024000000173,2019-12-10 13:10:19.157732,2019-12-10 13:10:19.708917,27,5.3468711,S191210,Response_Inhibition
RIGHT,1316.6666693,False,,,,RIGHT,511.9197000000213,2019-12-10 13:10:21.047197,2019-12-10 13:10:21.783262,28,5.3468711,S191210,Response_Inhibition
RIGHT,1183.3333357000001,False,,,,RIGHT,362.28219999998146,2019-12-10 13:10:22.988304,2019-12-10 13:10:23.566295,29,5.3468711,S191210,Response_Inhibition
RIGHT,1400.0000028,True,266.6666672,,,RIGHT,323.5194672000015,2019-12-10 13:10:24.986980,2019-12-10 13:10:25.541826,30,5.3468711,S191210,Response_Inhibition
RIGHT,1216.6666691,False,,,,RIGHT,491.54289999995626,2019-12-10 13:10:26.778947,2019-12-10 13:10:27.493172,31,5.3468711,S191210,Response_Inhibition
RIGHT,1050.0000021,False,,,,RIGHT,402.126600000031,2019-12-10 13:10:28.564878,2019-12-10 13:10:29.190641,32,5.3468711,S191210,Response_Inhibition
