Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
INCONGRUENT,LEFT,950.0000019,"('Time_Max_Exceeded', 0.29510000001664594)",0,,,LEFT,1481.0725,12:18.2,12:19.9,1,S2,ConflictResolution
INCONGRUENT,LEFT,1233.333336,"('Time_Max_Exceeded', 1235.9711999999945)",0,,,LEFT,577.9235,12:21.2,12:22.0,2,S2,ConflictResolution
CONGRUENT,LEFT,950.0000019,"('Time_Max_Exceeded', 950.6059999999934)",0,,,LEFT,406.957,12:23.0,12:23.6,3,S2,ConflictResolution
CONGRUENT,LEFT,1216.666669,"('Time_Max_Exceeded', 1217.1538000000055)",0,,,LEFT,522.0691,12:24.9,12:25.6,4,S2,ConflictResolution
CONGRUENT,RIGHT,816.6666683,"('Time_Max_Exceeded', 817.2994999999901)",0,,,RIGHT,474.122,12:26.5,12:27.2,5,S2,ConflictResolution
CONGRUENT,RIGHT,1266.666669,"('Time_Max_Exceeded', 1267.2053000000005)",0,,,RIGHT,364.7199,12:28.5,12:29.1,6,S2,ConflictResolution
INCONGRUENT,RIGHT,1100.000002,"('Time_Max_Exceeded', 1101.429400000029)",0,,,RIGHT,667.6747,12:30.3,12:31.1,7,S2,ConflictResolution
CONGRUENT,LEFT,850.0000017,"('Time_Max_Exceeded', 850.8844000000408)",0,,,LEFT,455.0283,12:32.0,12:32.7,8,S2,ConflictResolution
CONGRUENT,RIGHT,1383.333336,"('Time_Max_Exceeded', 1383.7647999999945)",0,,,RIGHT,460.8502,12:34.2,12:34.8,9,S2,ConflictResolution
CONGRUENT,LEFT,1033.333335,"('Time_Max_Exceeded', 1033.643100000063)",0,,,LEFT,344.1691,12:35.9,12:36.5,10,S2,ConflictResolution
CONGRUENT,LEFT,1366.666669,"('Time_Max_Exceeded', 1367.1611999999413)",0,,,LEFT,439.1562,12:37.9,12:38.5,11,S2,ConflictResolution
INCONGRUENT,LEFT,650.0000013,"('Time_Max_Exceeded', 650.4577999999128)",0,,,LEFT,575.958,12:39.2,12:40.0,12,S2,ConflictResolution
CONGRUENT,RIGHT,1350.000003,"('Time_Max_Exceeded', 1351.6749000000345)",0,,,RIGHT,398.3866,12:41.4,12:42.0,13,S2,ConflictResolution
CONGRUENT,RIGHT,983.3333353,"('Time_Max_Exceeded', 985.4146000000128)",0,,,RIGHT,389.997,12:43.1,12:43.7,14,S2,ConflictResolution
INCONGRUENT,LEFT,866.6666684,"('Time_Max_Exceeded', 867.2159000000192)",0,,,LEFT,509.6119,12:44.6,12:45.3,15,S2,ConflictResolution
CONGRUENT,LEFT,800.0000016,"('Time_Max_Exceeded', 801.0500999999977)",0,,,LEFT,401.2322,12:46.2,12:46.8,16,S2,ConflictResolution
INCONGRUENT,LEFT,566.6666678,"('Time_Max_Exceeded', 567.1317000000045)",0,,,LEFT,461.2144,12:47.4,12:48.1,17,S2,ConflictResolution
CONGRUENT,LEFT,1250.000003,"('Time_Max_Exceeded', 1250.443799999971)",0,,,LEFT,428.8819,12:49.4,12:50.0,18,S2,ConflictResolution
CONGRUENT,RIGHT,583.3333345,"('Time_Max_Exceeded', 584.0273999999681)",0,,,RIGHT,524.5765,12:50.7,12:51.4,19,S2,ConflictResolution
CONGRUENT,LEFT,650.0000013,"('Time_Max_Exceeded', 651.0722000000442)",0,,,LEFT,390.1221,12:52.1,12:52.7,20,S2,ConflictResolution
CONGRUENT,LEFT,1300.000003,"('Time_Max_Exceeded', 1304.771399999936)",0,,,LEFT,427.3747,12:54.1,12:54.7,21,S2,ConflictResolution
INCONGRUENT,LEFT,1116.666669,"('Time_Max_Exceeded', 1117.1712999999954)",0,,,LEFT,523.1129,12:55.9,12:56.7,22,S2,ConflictResolution
CONGRUENT,RIGHT,1416.66667,"('Time_Max_Exceeded', 1417.1618999999964)",0,,,RIGHT,500.1029,12:58.1,12:58.8,23,S2,ConflictResolution
INCONGRUENT,RIGHT,700.0000014,"('Time_Max_Exceeded', 701.7827999999326)",0,,,RIGHT,567.6627,12:59.6,13:00.4,24,S2,ConflictResolution
CONGRUENT,LEFT,1466.66667,"('Time_Max_Exceeded', 1467.164700000012)",0,,,LEFT,421.5398,13:01.9,13:02.5,25,S2,ConflictResolution
CONGRUENT,LEFT,1116.666669,"('Time_Max_Exceeded', 1117.2643999999536)",0,,,LEFT,378.153,13:03.7,13:04.3,26,S2,ConflictResolution
CONGRUENT,RIGHT,1450.000003,"('Time_Max_Exceeded', 1450.4903000000695)",0,,,RIGHT,393.8834,13:05.8,13:06.4,27,S2,ConflictResolution
INCONGRUENT,RIGHT,1450.000003,"('Time_Max_Exceeded', 1450.8015000000114)",0,,,RIGHT,493.4428,13:07.9,13:08.6,28,S2,ConflictResolution
INCONGRUENT,RIGHT,1183.333336,"('Time_Max_Exceeded', 1184.021199999961)",0,,,RIGHT,473.8108,13:09.9,13:10.6,29,S2,ConflictResolution
INCONGRUENT,LEFT,1200.000002,"('Time_Max_Exceeded', 1200.4698000000644)",0,,,LEFT,438.9397,13:11.8,13:12.5,30,S2,ConflictResolution
CONGRUENT,LEFT,700.0000014,"('Time_Max_Exceeded', 700.4974000000175)",0,,,LEFT,384.5959,13:13.2,13:13.8,31,S2,ConflictResolution
INCONGRUENT,RIGHT,850.0000017,"('Time_Max_Exceeded', 849.588600000061)",0,,,LEFT,393.0735,13:14.7,13:15.4,32,S2,ConflictResolution
CONGRUENT,LEFT,733.3333348,"('Time_Max_Exceeded', 734.4331999998985)",0,,,LEFT,370.5008,13:16.2,13:16.7,33,S2,ConflictResolution
INCONGRUENT,RIGHT,1266.666669,"('Time_Max_Exceeded', 1271.011700000031)",0,,,RIGHT,412.0195,13:18.1,13:18.7,34,S2,ConflictResolution
INCONGRUENT,RIGHT,1050.000002,"('Time_Max_Exceeded', 1050.442299999986)",0,,,RIGHT,504.1983,13:19.8,13:20.5,35,S2,ConflictResolution
CONGRUENT,RIGHT,516.6666677,"('Time_Max_Exceeded', 517.5451000000066)",0,,,RIGHT,534.6596,13:21.1,13:21.8,36,S2,ConflictResolution
CONGRUENT,RIGHT,1200.000002,"('Time_Max_Exceeded', 1202.2226000000273)",0,,,RIGHT,298.5397,13:23.1,13:23.6,37,S2,ConflictResolution
INCONGRUENT,RIGHT,583.3333345,"('Time_Max_Exceeded', 583.7907999999743)",0,,,RIGHT,490.8273,13:24.2,13:24.9,38,S2,ConflictResolution
CONGRUENT,RIGHT,750.0000015,"('Time_Max_Exceeded', 753.6523999999645)",0,,,RIGHT,345.1352,13:25.7,13:26.3,39,S2,ConflictResolution
CONGRUENT,RIGHT,1233.333336,"('Time_Max_Exceeded', 1233.8538000000199)",0,,,RIGHT,342.9414,13:27.6,13:28.2,40,S2,ConflictResolution
INCONGRUENT,LEFT,700.0000014,"('Time_Max_Exceeded', 700.460000000021)",0,,,LEFT,459.9494,13:28.9,13:29.6,41,S2,ConflictResolution
INCONGRUENT,RIGHT,816.6666683,"('Time_Max_Exceeded', 817.1125999999731)",0,,,RIGHT,424.7285,13:30.4,13:31.1,42,S2,ConflictResolution
CONGRUENT,RIGHT,666.666668,"('Time_Max_Exceeded', 667.1277000000373)",0,,,RIGHT,366.0361,13:31.8,13:32.4,43,S2,ConflictResolution
INCONGRUENT,RIGHT,1416.66667,"('Time_Max_Exceeded', 1417.2104000000445)",0,,,RIGHT,413.9718,13:33.8,13:34.5,44,S2,ConflictResolution
CONGRUENT,LEFT,1416.66667,"('Time_Max_Exceeded', 1417.4414000000297)",0,,,LEFT,451.7293,13:36.0,13:36.6,45,S2,ConflictResolution
INCONGRUENT,RIGHT,800.0000016,"('Time_Max_Exceeded', 800.5164000001059)",0,,,RIGHT,418.4882,13:37.5,13:38.1,46,S2,ConflictResolution
INCONGRUENT,LEFT,583.3333345,"('Time_Max_Exceeded', 584.0707000000975)",0,,,LEFT,449.7254,13:38.8,13:39.4,47,S2,ConflictResolution
INCONGRUENT,LEFT,1283.333336,"('Time_Max_Exceeded', 1283.8451000000077)",0,,,LEFT,523.1934,13:40.8,13:41.5,48,S2,ConflictResolution
INCONGRUENT,LEFT,833.333335,"('Time_Max_Exceeded', 833.8389000000461)",0,,,LEFT,444.3359,13:42.4,13:43.0,49,S2,ConflictResolution
CONGRUENT,RIGHT,1366.666669,"('Time_Max_Exceeded', 1367.8342000000612)",0,,,RIGHT,458.6024,13:44.5,13:45.1,50,S2,ConflictResolution
CONGRUENT,LEFT,533.3333344,"('Time_Max_Exceeded', 534.1247999999723)",0,,,LEFT,408.8542,13:45.7,13:46.4,51,S2,ConflictResolution
INCONGRUENT,LEFT,816.6666683,"('Time_Max_Exceeded', 817.5449999999955)",0,,,LEFT,420.7444,13:47.2,13:47.9,52,S2,ConflictResolution
INCONGRUENT,RIGHT,1000.000002,"('Time_Max_Exceeded', 1001.8338999999514)",0,,,RIGHT,467.5107,13:48.9,13:49.6,53,S2,ConflictResolution
INCONGRUENT,LEFT,1316.666669,"('Time_Max_Exceeded', 1317.344100000014)",0,,,LEFT,382.5479,13:51.0,13:51.6,54,S2,ConflictResolution
CONGRUENT,LEFT,1316.666669,"('Time_Max_Exceeded', 1317.3799999999574)",0,,,LEFT,418.0314,13:52.9,13:53.6,55,S2,ConflictResolution
INCONGRUENT,RIGHT,1083.333336,"('Time_Max_Exceeded', 1083.9363000000048)",0,,,RIGHT,444.3633,13:54.7,13:55.4,56,S2,ConflictResolution
INCONGRUENT,LEFT,1433.333336,"('Time_Max_Exceeded', 1435.735099999988)",0,,,LEFT,467.3083,13:56.9,13:57.6,57,S2,ConflictResolution
INCONGRUENT,LEFT,1083.333336,"('Time_Max_Exceeded', 1087.312900000029)",0,,,LEFT,555.5361,13:58.7,13:59.5,58,S2,ConflictResolution
CONGRUENT,RIGHT,766.6666682,"('Time_Max_Exceeded', 767.3795999999129)",0,,,RIGHT,408.7879,14:00.3,14:00.9,59,S2,ConflictResolution
CONGRUENT,LEFT,666.666668,"('Time_Max_Exceeded', 667.16729999996)",0,,,LEFT,516.0316,14:01.6,14:02.4,60,S2,ConflictResolution
INCONGRUENT,RIGHT,600.0000012,"('Time_Max_Exceeded', 601.6670000000204)",0,,,RIGHT,432.1024,14:03.0,14:03.7,61,S2,ConflictResolution
CONGRUENT,LEFT,816.6666683,"('Time_Max_Exceeded', 818.5978999999861)",0,,,LEFT,335.2835,14:04.5,14:05.1,62,S2,ConflictResolution
CONGRUENT,RIGHT,883.3333351,"('Time_Max_Exceeded', 883.8081999999758)",0,,,RIGHT,322.8788,14:06.0,14:06.6,63,S2,ConflictResolution
INCONGRUENT,RIGHT,1300.000003,"('Time_Max_Exceeded', 1300.5842999999686)",0,,,RIGHT,386.2297,14:07.9,14:08.5,64,S2,ConflictResolution
CONGRUENT,RIGHT,500.000001,"('Time_Max_Exceeded', 500.5730999999969)",0,,,RIGHT,535.0814,14:09.1,14:09.8,65,S2,ConflictResolution
INCONGRUENT,RIGHT,683.3333347,"('Time_Max_Exceeded', 683.8530999999648)",0,,,RIGHT,516.4012,14:10.5,14:11.3,66,S2,ConflictResolution
CONGRUENT,RIGHT,683.3333347,"('Time_Max_Exceeded', 683.8036999999986)",0,,,RIGHT,359.8703,14:12.0,14:12.6,67,S2,ConflictResolution
CONGRUENT,LEFT,583.3333345,"('Time_Max_Exceeded', 583.7847000000238)",0,,,LEFT,446.3998,14:13.2,14:13.9,68,S2,ConflictResolution
CONGRUENT,RIGHT,850.0000017,"('Time_Max_Exceeded', 850.5235999999741)",0,,,RIGHT,388.627,14:14.8,14:15.4,69,S2,ConflictResolution
CONGRUENT,LEFT,866.6666684,"('Time_Max_Exceeded', 867.1620000000075)",0,,,LEFT,379.6496,14:16.3,14:16.9,70,S2,ConflictResolution
INCONGRUENT,LEFT,616.6666679,"('Time_Max_Exceeded', 617.2272000000021)",0,,,LEFT,540.663,14:17.6,14:18.3,71,S2,ConflictResolution
CONGRUENT,RIGHT,1050.000002,"('Time_Max_Exceeded', 0.3034999999727006)",0,,,RIGHT,447.5353,14:19.4,14:20.1,72,S2,ConflictResolution
INCONGRUENT,RIGHT,983.3333353,"('Time_Max_Exceeded', 983.814499999994)",0,,,RIGHT,461.48,14:21.1,14:21.8,73,S2,ConflictResolution
CONGRUENT,LEFT,1283.333336,"('Time_Max_Exceeded', 1283.7875000000167)",0,,,LEFT,415.3798,14:23.2,14:23.8,74,S2,ConflictResolution
INCONGRUENT,LEFT,800.0000016,"('Time_Max_Exceeded', 800.4885999999942)",0,,,LEFT,383.6603,14:24.6,14:25.2,75,S2,ConflictResolution
