Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,716.6666681,False,,,,LEFT,430.49070000006395,2019-11-06 16:49:34.565559,2019-11-06 16:49:35.216543,1.0,0.8732023333333333,S5,Response_Inhibition
RIGHT,1066.6666688,False,,,,RIGHT,365.1335999998082,2019-11-06 16:49:36.301618,2019-11-06 16:49:36.889464,2.0,0.8732023333333333,S5,Response_Inhibition
RIGHT,500.000001,False,,,,RIGHT,447.0189000003302,2019-11-06 16:49:37.408628,2019-11-06 16:49:38.066469,3.0,0.8732023333333333,S5,Response_Inhibition
RIGHT,1216.6666691,False,,,,RIGHT,370.8662999997614,2019-11-06 16:49:39.304498,2019-11-06 16:49:39.898878,4.0,0.8732023333333333,S5,Response_Inhibition
RIGHT,650.0000013,False,,,,RIGHT,372.24120000018956,2019-11-06 16:49:40.570216,2019-11-06 16:49:41.163178,5.0,0.8732023333333333,S5,Response_Inhibition
LEFT,933.3333352,False,,,,LEFT,363.3237000003646,2019-11-06 16:49:42.118140,2019-11-06 16:49:42.704440,6.0,0.8732023333333333,S5,Response_Inhibition
LEFT,1066.6666688,False,,,,LEFT,380.4273999999168,2019-11-06 16:49:43.795703,2019-11-06 16:49:44.392612,7.0,0.8732023333333333,S5,Response_Inhibition
LEFT,1433.3333362,True,266.6666672,,,LEFT,355.54116719974706,2019-11-06 16:49:45.838527,2019-11-06 16:49:46.409543,8.0,0.8732023333333333,S5,Response_Inhibition
LEFT,1283.3333359,False,,,,LEFT,401.27410000013697,2019-11-06 16:49:47.713650,2019-11-06 16:49:48.337410,9.0,0.8732023333333333,S5,Response_Inhibition
RIGHT,1500.000003,True,83.33333350000001,,,RIGHT,311.80643349997376,2019-11-06 16:49:49.857389,2019-11-06 16:49:50.398555,10.0,0.8732023333333333,S5,Response_Inhibition
LEFT,650.0000013,True,316.66666730000003,,,LEFT,439.40386730030156,2019-11-06 16:49:51.069281,2019-11-06 16:49:51.739408,11.0,0.8732023333333333,S5,Response_Inhibition
RIGHT,1433.3333362,False,,,,RIGHT,498.3921000002738,2019-11-06 16:49:53.193808,2019-11-06 16:49:53.914561,12.0,0.8732023333333333,S5,Response_Inhibition
RIGHT,783.3333349000001,False,,,,RIGHT,458.63109999982044,2019-11-06 16:49:54.715849,2019-11-06 16:49:55.394527,13.0,0.8732023333333333,S5,Response_Inhibition
RIGHT,850.0000017,False,,,,RIGHT,486.5279000000555,2019-11-06 16:49:56.265024,2019-11-06 16:49:56.973142,14.0,0.8732023333333333,S5,Response_Inhibition
RIGHT,1350.0000027,False,,,,RIGHT,382.46269999990545,2019-11-06 16:49:58.346659,2019-11-06 16:49:58.950464,15.0,0.8732023333333333,S5,Response_Inhibition
LEFT,850.0000017,True,33.3333334,,,,,,,,0.8732023333333333,S5,Response_Inhibition
LEFT,783.3333349000001,False,,,,,,,,,0.8732023333333333,S5,Response_Inhibition
RIGHT,1150.0000023,False,,,,,,,,,0.8732023333333333,S5,Response_Inhibition
LEFT,1000.000002,True,233.3333338,,,,,,,,0.8732023333333333,S5,Response_Inhibition
LEFT,1150.0000023,True,0.0,,,,,,,,0.8732023333333333,S5,Response_Inhibition
RIGHT,1000.000002,True,350.0000007,,,,,,,,0.8732023333333333,S5,Response_Inhibition
LEFT,1350.0000027,False,,,,,,,,,0.8732023333333333,S5,Response_Inhibition
RIGHT,566.6666678,True,150.0000003,,,,,,,,0.8732023333333333,S5,Response_Inhibition
LEFT,500.000001,False,,,,,,,,,0.8732023333333333,S5,Response_Inhibition
RIGHT,1283.3333359,True,200.0000004,,,,,,,,0.8732023333333333,S5,Response_Inhibition
LEFT,1500.000003,False,,,,,,,,,0.8732023333333333,S5,Response_Inhibition
RIGHT,933.3333352,False,,,,,,,,,0.8732023333333333,S5,Response_Inhibition
LEFT,566.6666678,False,,,,,,,,,0.8732023333333333,S5,Response_Inhibition
RIGHT,716.6666681,True,116.6666669,,,,,,,,0.8732023333333333,S5,Response_Inhibition
LEFT,1216.6666691,False,,,,,,,,,0.8732023333333333,S5,Response_Inhibition
