Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,1050.0000021,,,DOWN,1128.3983000000007,2019-11-06 16:55:06.590534,2019-11-06 16:55:07.939951,1,1.7281245,S6,Processing_Speed
LEFT,1500.000003,,,DOWN,387.5430999999878,2019-11-06 16:55:09.459159,2019-11-06 16:55:10.068230,2,1.7281245,S6,Processing_Speed
LEFT,1333.3333360000001,,,DOWN,351.154600000001,2019-11-06 16:55:11.422292,2019-11-06 16:55:11.993928,3,1.7281245,S6,Processing_Speed
LEFT,1466.6666696,,,DOWN,625.1431000000025,2019-11-06 16:55:13.481323,2019-11-06 16:55:14.327480,4,1.7281245,S6,Processing_Speed
RIGHT,500.000001,,,DOWN,600.1992999999999,2019-11-06 16:55:14.844994,2019-11-06 16:55:15.660230,5,1.7281245,S6,Processing_Speed
LEFT,816.6666683,,,DOWN,405.8696000000026,2019-11-06 16:55:16.497162,2019-11-06 16:55:17.127789,6,1.7281245,S6,Processing_Speed
RIGHT,1183.3333357000001,,,DOWN,265.2771000000058,2019-11-06 16:55:18.332374,2019-11-06 16:55:18.819741,7,1.7281245,S6,Processing_Speed
LEFT,500.000001,,,DOWN,342.5194000000005,2019-11-06 16:55:19.337254,2019-11-06 16:55:19.903025,8,1.7281245,S6,Processing_Speed
RIGHT,1150.0000023,,,DOWN,260.4089999999957,2019-11-06 16:55:21.074126,2019-11-06 16:55:21.557917,9,1.7281245,S6,Processing_Speed
LEFT,700.0000014,,,DOWN,277.2352000000069,2019-11-06 16:55:22.279186,2019-11-06 16:55:22.780116,10,1.7281245,S6,Processing_Speed
RIGHT,883.3333351,,,DOWN,270.5464999999947,2019-11-06 16:55:23.683502,2019-11-06 16:55:24.171458,11,1.7281245,S6,Processing_Speed
RIGHT,633.3333346000001,,,DOWN,356.5847000000133,2019-11-06 16:55:24.826233,2019-11-06 16:55:25.399699,12,1.7281245,S6,Processing_Speed
RIGHT,533.3333344,,,DOWN,378.0930000000069,2019-11-06 16:55:25.952880,2019-11-06 16:55:26.553232,13,1.7281245,S6,Processing_Speed
LEFT,1433.3333362,,,DOWN,266.1923999999942,2019-11-06 16:55:28.008591,2019-11-06 16:55:28.495042,14,1.7281245,S6,Processing_Speed
LEFT,1300.0000026,,,DOWN,336.73899999999435,2019-11-06 16:55:29.815290,2019-11-06 16:55:30.373686,15,1.7281245,S6,Processing_Speed
RIGHT,1433.3333362,,,DOWN,304.5714000000146,2019-11-06 16:55:31.824524,2019-11-06 16:55:32.353525,16,1.7281245,S6,Processing_Speed
RIGHT,850.0000017,,,DOWN,376.1408000000017,2019-11-06 16:55:33.224347,2019-11-06 16:55:33.816004,17,1.7281245,S6,Processing_Speed
LEFT,1083.3333355,,,DOWN,293.10599999999454,2019-11-06 16:55:34.917476,2019-11-06 16:55:35.434546,18,1.7281245,S6,Processing_Speed
LEFT,633.3333346000001,,,DOWN,345.70529999999167,2019-11-06 16:55:36.089063,2019-11-06 16:55:36.650796,19,1.7281245,S6,Processing_Speed
RIGHT,1083.3333355,,,DOWN,318.50549999998634,2019-11-06 16:55:37.756318,2019-11-06 16:55:38.291757,20,1.7281245,S6,Processing_Speed
LEFT,1266.6666692000001,,,DOWN,267.13130000001684,2019-11-06 16:55:39.577258,2019-11-06 16:55:40.067079,21,1.7281245,S6,Processing_Speed
RIGHT,1400.0000028,,,DOWN,301.57019999998624,2019-11-06 16:55:41.487591,2019-11-06 16:55:42.010370,22,1.7281245,S6,Processing_Speed
LEFT,1150.0000023,,,DOWN,299.1255000000024,2019-11-06 16:55:43.180436,2019-11-06 16:55:43.701027,23,1.7281245,S6,Processing_Speed
RIGHT,1300.0000026,,,DOWN,260.22170000001665,2019-11-06 16:55:45.019124,2019-11-06 16:55:45.498290,24,1.7281245,S6,Processing_Speed
RIGHT,1116.6666689,,,DOWN,319.45239999998876,2019-11-06 16:55:46.635714,2019-11-06 16:55:47.175936,25,1.7281245,S6,Processing_Speed
LEFT,1183.3333357000001,,,DOWN,341.2040000000047,2019-11-06 16:55:48.383661,2019-11-06 16:55:48.948417,26,1.7281245,S6,Processing_Speed
RIGHT,566.6666678,,,DOWN,320.55389999999306,2019-11-06 16:55:49.533299,2019-11-06 16:55:50.069453,27,1.7281245,S6,Processing_Speed
RIGHT,816.6666683,,,DOWN,305.51660000000425,2019-11-06 16:55:50.904418,2019-11-06 16:55:51.433297,28,1.7281245,S6,Processing_Speed
LEFT,1016.6666687000001,,,DOWN,299.38640000000305,2019-11-06 16:55:52.471619,2019-11-06 16:55:52.990655,29,1.7281245,S6,Processing_Speed
