Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,716.6666681,False,,,,LEFT,484.3496000000016,2019-11-06 12:10:04.750326,2019-11-06 12:10:05.445466,1.0,0.5657625333333333,dd,Response_Inhibition
LEFT,1216.6666691,False,,,,LEFT,287.81900000001315,2019-11-06 12:10:06.672383,2019-11-06 12:10:07.170051,2.0,0.5657625333333333,dd,Response_Inhibition
LEFT,1500.000003,False,,,,LEFT,328.3543999999665,2019-11-06 12:10:08.679984,2019-11-06 12:10:09.217558,3.0,0.5657625333333333,dd,Response_Inhibition
LEFT,1350.0000027,False,,,,LEFT,311.820100000034,2019-11-06 12:10:10.585055,2019-11-06 12:10:11.106832,4.0,0.5657625333333333,dd,Response_Inhibition
RIGHT,1350.0000027,False,,,,RIGHT,324.0428999999949,2019-11-06 12:10:12.465977,2019-11-06 12:10:12.999553,5.0,0.5657625333333333,dd,Response_Inhibition
LEFT,650.0000013,True,0.0,,,Time_Max_Exceeded,1500.0523999999587,2019-11-06 12:10:13.667766,2019-11-06 12:10:15.167806,6.0,0.5657625333333333,dd,Response_Inhibition
LEFT,1433.3333362,True,150.0000003,,,LEFT,290.92310029995224,2019-11-06 12:10:16.611839,2019-11-06 12:10:17.116637,7.0,0.5657625333333333,dd,Response_Inhibition
RIGHT,650.0000013,False,,,,RIGHT,373.43220000002475,2019-11-06 12:10:17.784911,2019-11-06 12:10:18.368463,8.0,0.5657625333333333,dd,Response_Inhibition
LEFT,1000.000002,False,,,,LEFT,418.47139999998717,2019-11-06 12:10:19.386663,2019-11-06 12:10:20.013563,9.0,0.5657625333333333,dd,Response_Inhibition
RIGHT,1000.000002,False,,,,RIGHT,304.8016000000189,2019-11-06 12:10:21.023068,2019-11-06 12:10:21.538203,10.0,0.5657625333333333,dd,Response_Inhibition
LEFT,933.3333352,True,66.6666668,,,LEFT,320.73226679998993,2019-11-06 12:10:22.489014,2019-11-06 12:10:23.023721,11.0,0.5657625333333333,dd,Response_Inhibition
RIGHT,1500.000003,False,,,,RIGHT,519.5256999999742,2019-11-06 12:10:24.542000,2019-11-06 12:10:25.271557,12.0,0.5657625333333333,dd,Response_Inhibition
RIGHT,1150.0000023,False,,,,RIGHT,304.67019999997547,2019-11-06 12:10:26.439904,2019-11-06 12:10:26.954528,13.0,0.5657625333333333,dd,Response_Inhibition
RIGHT,783.3333349000001,False,,,,RIGHT,467.48679999996057,2019-11-06 12:10:27.747441,2019-11-06 12:10:28.424633,14.0,0.5657625333333333,dd,Response_Inhibition
LEFT,783.3333349000001,True,100.0000002,,,Time_Max_Exceeded,1500.0592002000437,2019-11-06 12:10:29.226998,2019-11-06 12:10:30.730871,15.0,0.5657625333333333,dd,Response_Inhibition
LEFT,1066.6666688,False,,,,,,,,,0.5657625333333333,dd,Response_Inhibition
RIGHT,1066.6666688,True,250.0000005,,,,,,,,0.5657625333333333,dd,Response_Inhibition
RIGHT,566.6666678,True,133.3333336,,,,,,,,0.5657625333333333,dd,Response_Inhibition
LEFT,1283.3333359,False,,,,,,,,,0.5657625333333333,dd,Response_Inhibition
LEFT,500.000001,False,,,,,,,,,0.5657625333333333,dd,Response_Inhibition
RIGHT,500.000001,False,,,,,,,,,0.5657625333333333,dd,Response_Inhibition
LEFT,850.0000017,False,,,,,,,,,0.5657625333333333,dd,Response_Inhibition
RIGHT,933.3333352,False,,,,,,,,,0.5657625333333333,dd,Response_Inhibition
RIGHT,850.0000017,True,283.3333339,,,,,,,,0.5657625333333333,dd,Response_Inhibition
RIGHT,1283.3333359,True,216.6666671,,,,,,,,0.5657625333333333,dd,Response_Inhibition
RIGHT,1216.6666691,False,,,,,,,,,0.5657625333333333,dd,Response_Inhibition
RIGHT,716.6666681,False,,,,,,,,,0.5657625333333333,dd,Response_Inhibition
LEFT,566.6666678,False,,,,,,,,,0.5657625333333333,dd,Response_Inhibition
LEFT,1150.0000023,True,33.3333334,,,,,,,,0.5657625333333333,dd,Response_Inhibition
RIGHT,1433.3333362,True,183.3333337,,,,,,,,0.5657625333333333,dd,Response_Inhibition
