Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,500.000001,,,DOWN,233.80429999997432,2019-11-05 17:51:00.594816,2019-11-05 17:51:01.037225,1,0.38511615,dom,ProcessingSpeed
RIGHT,1000.000002,,,DOWN,231.0327000000143,2019-11-05 17:51:02.047688,2019-11-05 17:51:02.486556,2,0.38511615,dom,ProcessingSpeed
LEFT,1500.000003,,,DOWN,222.03819999998586,2019-11-05 17:51:03.995975,2019-11-05 17:51:04.427096,3,0.38511615,dom,ProcessingSpeed
LEFT,1250.0000025,,,Time_Max_Exceeded,1500.0579999999673,2019-11-05 17:51:05.687568,2019-11-05 17:51:07.194455,4,0.38511615,dom,ProcessingSpeed
LEFT,750.0000015,,,DOWN,198.53150000000142,2019-11-05 17:51:07.954153,2019-11-05 17:51:08.361043,5,0.38511615,dom,ProcessingSpeed
RIGHT,1250.0000025,DOWN,-44.885,DOWN,517.2076999999717,2019-11-05 17:51:09.620925,2019-11-05 17:51:10.347147,6,0.38511615,dom,ProcessingSpeed
RIGHT,1500.000003,DOWN,-720.529,DOWN,485.2159999999799,2019-11-05 17:51:11.857621,2019-11-05 17:51:12.551072,7,0.38511615,dom,ProcessingSpeed
LEFT,1000.000002,DOWN,-298.844,DOWN,958.2978999999909,2019-11-05 17:51:13.560114,2019-11-05 17:51:14.726609,8,0.38511615,dom,ProcessingSpeed
RIGHT,500.000001,,,DOWN,1125.273199999981,2019-11-05 17:51:15.237980,2019-11-05 17:51:16.570540,9,0.38511615,dom,ProcessingSpeed
RIGHT,750.0000015,,,DOWN,627.0223999999871,2019-11-05 17:51:17.330496,2019-11-05 17:51:18.165721,10,0.38511615,dom,ProcessingSpeed
