Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1250.0000025,DOWN,-447.443,LEFT,609.3763999999737,2019-11-05 17:51:34.302008,2019-11-05 17:51:35.120337,1,0.5071992333333334,dom,ResponseSelection
LEFT,750.0000015,,,LEFT,365.2619999999729,2019-11-05 17:51:35.881145,2019-11-05 17:51:36.454679,2,0.5071992333333334,dom,ResponseSelection
RIGHT,1000.000002,,,RIGHT,18.007300000022042,2019-11-05 17:51:37.465062,2019-11-05 17:51:37.691489,3,0.5071992333333334,dom,ResponseSelection
RIGHT,1500.000003,RIGHT,-71.80799999999999,RIGHT,360.01479999998764,2019-11-05 17:51:39.201294,2019-11-05 17:51:39.769993,4,0.5071992333333334,dom,ResponseSelection
RIGHT,750.0000015,,,RIGHT,311.26699999998664,2019-11-05 17:51:40.530545,2019-11-05 17:51:41.048743,5,0.5071992333333334,dom,ResponseSelection
LEFT,500.000001,,,LEFT,267.65629999999874,2019-11-05 17:51:41.558717,2019-11-05 17:51:42.034687,6,0.5071992333333334,dom,ResponseSelection
RIGHT,1250.0000025,,,RIGHT,266.97210000003224,2019-11-05 17:51:43.294157,2019-11-05 17:51:43.769562,7,0.5071992333333334,dom,ResponseSelection
LEFT,1000.000002,,,LEFT,305.89249999997037,2019-11-05 17:51:44.780122,2019-11-05 17:51:45.294770,8,0.5071992333333334,dom,ResponseSelection
RIGHT,500.000001,,,RIGHT,456.5890000000081,2019-11-05 17:51:45.804370,2019-11-05 17:51:46.470328,9,0.5071992333333334,dom,ResponseSelection
LEFT,1500.000003,,,RIGHT,415.8745999999951,2019-11-05 17:51:47.980537,2019-11-05 17:51:48.603618,10,0.5071992333333334,dom,ResponseSelection
