Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,500.000001,False,,,,RIGHT,360.4076999999961,2019-11-05 17:51:56.091180,2019-11-05 17:51:56.658659,1,0.6781229666666667,dom,ResponseInhibition
LEFT,750.0000015,False,,,,LEFT,267.0701000000122,2019-11-05 17:51:57.418296,2019-11-05 17:51:57.894060,2,0.6781229666666667,dom,ResponseInhibition
LEFT,1000.000002,False,,,,LEFT,321.88189999999395,2019-11-05 17:51:58.903715,2019-11-05 17:51:59.434458,3,0.6781229666666667,dom,ResponseInhibition
RIGHT,750.0000015,True,250.0000005,,,RIGHT,432.69100049997706,2019-11-05 17:52:00.194594,2019-11-05 17:52:00.837958,4,0.6781229666666667,dom,ResponseInhibition
LEFT,1250.0000025,False,,,,LEFT,363.0365999999867,2019-11-05 17:52:02.098212,2019-11-05 17:52:02.670347,5,0.6781229666666667,dom,ResponseInhibition
RIGHT,1500.000003,True,16.6666667,,,Time_Max_Exceeded,1500.0498666999915,2019-11-05 17:52:04.179697,2019-11-05 17:52:05.684589,6,0.6781229666666667,dom,ResponseInhibition
RIGHT,1000.000002,False,,,,RIGHT,396.0420999999883,2019-11-05 17:52:06.698878,2019-11-05 17:52:07.303132,7,0.6781229666666667,dom,ResponseInhibition
LEFT,500.000001,False,,,,LEFT,301.8167000000176,2019-11-05 17:52:07.813354,2019-11-05 17:52:08.323593,8,0.6781229666666667,dom,ResponseInhibition
LEFT,1500.000003,False,,,,LEFT,330.50200000002405,2019-11-05 17:52:09.834895,2019-11-05 17:52:10.373903,9,0.6781229666666667,dom,ResponseInhibition
RIGHT,1250.0000025,False,,,,RIGHT,296.2708999999677,2019-11-05 17:52:11.633537,2019-11-05 17:52:12.137774,10,0.6781229666666667,dom,ResponseInhibition
LEFT,1000.000002,False,,,,LEFT,425.03659999999854,2019-11-05 17:52:13.149776,2019-11-05 17:52:13.782699,11,0.6781229666666667,dom,ResponseInhibition
LEFT,1500.000003,False,,,,LEFT,427.14890000002015,2019-11-05 17:52:15.292488,2019-11-05 17:52:15.926674,12,0.6781229666666667,dom,ResponseInhibition
RIGHT,1250.0000025,False,,,,RIGHT,328.8850999999795,2019-11-05 17:52:17.186601,2019-11-05 17:52:17.722555,13,0.6781229666666667,dom,ResponseInhibition
LEFT,500.000001,False,,,,RIGHT,445.7929000000149,2019-11-05 17:52:18.234191,2019-11-05 17:52:18.887516,14,0.6781229666666667,dom,ResponseInhibition
RIGHT,750.0000015,False,,,,RIGHT,341.9819000000075,2019-11-05 17:52:19.647364,2019-11-05 17:52:20.197887,15,0.6781229666666667,dom,ResponseInhibition
LEFT,750.0000015,False,,,,RIGHT,360.53029999999353,2019-11-05 17:52:20.959511,2019-11-05 17:52:21.527573,16,0.6781229666666667,dom,ResponseInhibition
RIGHT,1500.000003,True,0.0,,,RIGHT,337.0151999999962,2019-11-05 17:52:23.037887,2019-11-05 17:52:23.583023,17,0.6781229666666667,dom,ResponseInhibition
RIGHT,1000.000002,False,,,,RIGHT,608.0125000000294,2019-11-05 17:52:24.596223,2019-11-05 17:52:25.411616,18,0.6781229666666667,dom,ResponseInhibition
LEFT,1250.0000025,False,,,,LEFT,402.6496000000179,2019-11-05 17:52:26.671358,2019-11-05 17:52:27.282420,19,0.6781229666666667,dom,ResponseInhibition
RIGHT,500.000001,True,0.0,,,Time_Max_Exceeded,1500.0486999999794,2019-11-05 17:52:27.794092,2019-11-05 17:52:29.293991,20,0.6781229666666667,dom,ResponseInhibition
