Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
INCONGRUENT,LEFT,833.333335,,,,,RIGHT,339.96470000005274,2019-11-05 17:52:47.503271,2019-11-05 17:52:48.052452,1,0.8316432500000001,dom,ConflictResolution
INCONGRUENT,LEFT,616.6666679,,,,,LEFT,417.5338999999667,2019-11-05 17:52:48.695505,2019-11-05 17:52:49.320834,2,0.8316432500000001,dom,ConflictResolution
INCONGRUENT,RIGHT,950.0000019,,,,,RIGHT,460.8479999999986,2019-11-05 17:52:50.296975,2019-11-05 17:52:50.965772,3,0.8316432500000001,dom,ConflictResolution
CONGRUENT,RIGHT,1166.666669,,,,,RIGHT,350.4837000000407,2019-11-05 17:52:52.158249,2019-11-05 17:52:52.717081,4,0.8316432500000001,dom,ConflictResolution
CONGRUENT,RIGHT,716.6666681,,,,,RIGHT,432.72000000001754,2019-11-05 17:52:53.460309,2019-11-05 17:52:54.100786,5,0.8316432500000001,dom,ConflictResolution
CONGRUENT,LEFT,833.333335,,,,,LEFT,332.93749999995725,2019-11-05 17:52:54.960136,2019-11-05 17:52:55.501987,6,0.8316432500000001,dom,ConflictResolution
INCONGRUENT,RIGHT,716.6666681,,,,,RIGHT,503.2817000000023,2019-11-05 17:52:56.245002,2019-11-05 17:52:56.956029,7,0.8316432500000001,dom,ConflictResolution
INCONGRUENT,LEFT,1050.0000021,,,,,LEFT,400.9487000000149,2019-11-05 17:52:58.032363,2019-11-05 17:52:58.640828,8,0.8316432500000001,dom,ConflictResolution
INCONGRUENT,RIGHT,1166.666669,,,,,RIGHT,408.9409000000046,2019-11-05 17:52:59.834135,2019-11-05 17:53:00.451669,9,0.8316432500000001,dom,ConflictResolution
CONGRUENT,RIGHT,950.0000019,,,,,RIGHT,405.39389999997866,2019-11-05 17:53:01.427187,2019-11-05 17:53:02.041432,10,0.8316432500000001,dom,ConflictResolution
CONGRUENT,RIGHT,500.000001,,,,,RIGHT,350.55649999998195,2019-11-05 17:53:02.567027,2019-11-05 17:53:03.126245,11,0.8316432500000001,dom,ConflictResolution
CONGRUENT,LEFT,1050.0000021,,,,,LEFT,341.51489999999285,2019-11-05 17:53:04.202613,2019-11-05 17:53:04.751587,12,0.8316432500000001,dom,ConflictResolution
INCONGRUENT,RIGHT,1383.3333361,,,,,RIGHT,416.61940000000186,2019-11-05 17:53:06.161535,2019-11-05 17:53:06.787103,13,0.8316432500000001,dom,ConflictResolution
INCONGRUENT,RIGHT,500.000001,,,,,LEFT,314.9088999999776,2019-11-05 17:53:07.313276,2019-11-05 17:53:07.835501,14,0.8316432500000001,dom,ConflictResolution
CONGRUENT,LEFT,1283.3333359,,,,,LEFT,407.6754999999821,2019-11-05 17:53:09.145459,2019-11-05 17:53:09.760594,15,0.8316432500000001,dom,ConflictResolution
INCONGRUENT,LEFT,1283.3333359,,,,,LEFT,486.9529000000057,2019-11-05 17:53:11.070447,2019-11-05 17:53:11.766202,16,0.8316432500000001,dom,ConflictResolution
INCONGRUENT,LEFT,1500.000003,,,,,LEFT,480.4019999999696,2019-11-05 17:53:13.292368,2019-11-05 17:53:13.981485,17,0.8316432500000001,dom,ConflictResolution
CONGRUENT,LEFT,616.6666679,,,,,LEFT,343.5281999999802,2019-11-05 17:53:14.624457,2019-11-05 17:53:15.177399,18,0.8316432500000001,dom,ConflictResolution
CONGRUENT,RIGHT,1383.3333361,,,,,RIGHT,328.20839999999407,2019-11-05 17:53:16.590023,2019-11-05 17:53:17.125940,19,0.8316432500000001,dom,ConflictResolution
CONGRUENT,LEFT,1500.000003,,,,,LEFT,345.3017999999588,2019-11-05 17:53:18.652648,2019-11-05 17:53:19.205889,20,0.8316432500000001,dom,ConflictResolution
