Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1433.3333362,False,,,,LEFT,510.58410000001686,2019-12-10 17:50:22.587228,2019-12-10 17:50:23.307588,1,1.1091462166666666,j,Response_Inhibition
RIGHT,933.3333352,False,,,,RIGHT,484.00929999999676,2019-12-10 17:50:24.255317,2019-12-10 17:50:24.948868,2,1.1091462166666666,j,Response_Inhibition
RIGHT,650.0000013,False,,,,RIGHT,615.4447000000118,2019-12-10 17:50:25.610097,2019-12-10 17:50:26.435958,3,1.1091462166666666,j,Response_Inhibition
LEFT,1216.6666691,False,,,,RIGHT,336.3520000000051,2019-12-10 17:50:27.669225,2019-12-10 17:50:28.214801,4,1.1091462166666666,j,Response_Inhibition
LEFT,1150.0000023,True,383.3333341,LEFT,-134.639,LEFT,332.55420000000413,2019-12-10 17:50:29.378838,2019-12-10 17:50:29.921571,5,1.1091462166666666,j,Response_Inhibition
RIGHT,1433.3333362,False,,LEFT,-352.571,LEFT,116.90810000001761,2019-12-10 17:50:31.370324,2019-12-10 17:50:31.697577,6,1.1091462166666666,j,Response_Inhibition
RIGHT,1066.6666688,False,,,,LEFT,310.46779999999785,2019-12-10 17:50:32.778164,2019-12-10 17:50:33.300331,7,1.1091462166666666,j,Response_Inhibition
RIGHT,716.6666681,True,200.0000004,,,RIGHT,426.15000040001826,2019-12-10 17:50:34.033360,2019-12-10 17:50:34.674579,8,1.1091462166666666,j,Response_Inhibition
RIGHT,1350.0000027,False,,,,LEFT,324.2551000000162,2019-12-10 17:50:36.041605,2019-12-10 17:50:36.577444,9,1.1091462166666666,j,Response_Inhibition
LEFT,566.6666678,True,433.3333342,,,Time_Max_Exceeded,1500.0760342000203,2019-12-10 17:50:37.161466,2019-12-10 17:50:38.665834,10,1.1091462166666666,j,Response_Inhibition
RIGHT,1000.000002,True,150.0000003,,,Time_Max_Exceeded,1500.0681003000157,2019-12-10 17:50:39.678238,2019-12-10 17:50:41.183388,11,1.1091462166666666,j,Response_Inhibition
LEFT,500.000001,False,,,,Time_Max_Exceeded,1500.0969999999825,2019-12-10 17:50:41.695167,2019-12-10 17:50:43.194862,12,1.1091462166666666,j,Response_Inhibition
RIGHT,1150.0000023,True,333.33333400000004,,,RIGHT,354.28643399998566,2019-12-10 17:50:44.356988,2019-12-10 17:50:44.926137,13,1.1091462166666666,j,Response_Inhibition
LEFT,783.3333349000001,False,,,,Time_Max_Exceeded,1500.123000000002,2019-12-10 17:50:45.726912,2019-12-10 17:50:47.227242,14,1.1091462166666666,j,Response_Inhibition
LEFT,650.0000013,False,,,,LEFT,496.1602000000198,2019-12-10 17:50:47.889140,2019-12-10 17:50:48.595086,15,1.1091462166666666,j,Response_Inhibition
RIGHT,1500.000003,True,100.0000002,,,RIGHT,408.8429001999735,2019-12-10 17:50:50.112432,2019-12-10 17:50:50.736381,16,1.1091462166666666,j,Response_Inhibition
LEFT,1283.3333359,False,,,,LEFT,572.7942000000041,2019-12-10 17:50:52.038163,2019-12-10 17:50:52.822492,17,1.1091462166666666,j,Response_Inhibition
LEFT,933.3333352,True,50.0000001,,,Time_Max_Exceeded,1500.0628000999836,2019-12-10 17:50:53.771503,2019-12-10 17:50:55.275998,18,1.1091462166666666,j,Response_Inhibition
RIGHT,1283.3333359,False,,,,Time_Max_Exceeded,1500.0775999999973,2019-12-10 17:50:56.569633,2019-12-10 17:50:58.069691,19,1.1091462166666666,j,Response_Inhibition
RIGHT,566.6666678,False,,,,RIGHT,559.1277999999988,2019-12-10 17:50:58.647664,2019-12-10 17:50:59.416171,20,1.1091462166666666,j,Response_Inhibition
RIGHT,1216.6666691,False,,RIGHT,-112.211,RIGHT,508.91169999999875,2019-12-10 17:51:00.647930,2019-12-10 17:51:01.366205,21,1.1091462166666666,j,Response_Inhibition
LEFT,1000.000002,False,,,,Time_Max_Exceeded,1500.1019999999983,2019-12-10 17:51:02.382518,2019-12-10 17:51:03.883106,22,1.1091462166666666,j,Response_Inhibition
LEFT,1500.000003,True,233.3333338,,,Time_Max_Exceeded,1500.098733799997,2019-12-10 17:51:05.393125,2019-12-10 17:51:06.897758,23,1.1091462166666666,j,Response_Inhibition
LEFT,1350.0000027,False,,,,Time_Max_Exceeded,1500.0948999999935,2019-12-10 17:51:08.260233,2019-12-10 17:51:09.760858,24,1.1091462166666666,j,Response_Inhibition
LEFT,1066.6666688,False,,,,Time_Max_Exceeded,1500.113099999993,2019-12-10 17:51:10.839071,2019-12-10 17:51:12.339085,25,1.1091462166666666,j,Response_Inhibition
LEFT,716.6666681,False,,,,LEFT,520.4669999999965,2019-12-10 17:51:13.067686,2019-12-10 17:51:13.798405,26,1.1091462166666666,j,Response_Inhibition
RIGHT,783.3333349000001,False,,,,RIGHT,384.25799999998844,2019-12-10 17:51:14.596314,2019-12-10 17:51:15.191332,27,1.1091462166666666,j,Response_Inhibition
LEFT,850.0000017,True,0.0,,,LEFT,348.0235000000107,2019-12-10 17:51:16.054105,2019-12-10 17:51:16.611123,28,1.1091462166666666,j,Response_Inhibition
RIGHT,850.0000017,False,,,,RIGHT,212.7950999999939,2019-12-10 17:51:17.475325,2019-12-10 17:51:17.898168,29,1.1091462166666666,j,Response_Inhibition
RIGHT,500.000001,True,283.3333339,,,RIGHT,651.6884339000308,2019-12-10 17:51:18.407814,2019-12-10 17:51:19.273229,30,1.1091462166666666,j,Response_Inhibition
