Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,600.0000012,,,Time_Max_Exceeded,1500.2037,2019-12-10 16:21:57.206291,2019-12-10 16:21:58.725700,1,2.6406374166666664,jj,Processing_Speed
RIGHT,850.0000017,308,-451.521,Time_Max_Exceeded,1500.0928999999985,2019-12-10 16:21:59.590032,2019-12-10 16:22:01.099480,2,2.6406374166666664,jj,Processing_Speed
RIGHT,1433.3333362,,,Time_Max_Exceeded,1500.0757000000035,2019-12-10 16:22:02.540900,2019-12-10 16:22:04.049327,3,2.6406374166666664,jj,Processing_Speed
RIGHT,1500.000003,,,Time_Max_Exceeded,1500.0739999999978,2019-12-10 16:22:05.555998,2019-12-10 16:22:07.063708,4,2.6406374166666664,jj,Processing_Speed
LEFT,1016.6666687000001,,,Time_Max_Exceeded,1500.0669000000003,2019-12-10 16:22:08.087662,2019-12-10 16:22:09.597069,5,2.6406374166666664,jj,Processing_Speed
LEFT,1050.0000021,,,Time_Max_Exceeded,1500.071400000003,2019-12-10 16:22:10.654734,2019-12-10 16:22:12.162919,6,2.6406374166666664,jj,Processing_Speed
LEFT,633.3333346000001,,,Time_Max_Exceeded,1500.0688999999952,2019-12-10 16:22:12.802645,2019-12-10 16:22:14.309750,7,2.6406374166666664,jj,Processing_Speed
RIGHT,1083.3333355,,,Time_Max_Exceeded,1500.0763000000034,2019-12-10 16:22:15.400572,2019-12-10 16:22:16.908317,8,2.6406374166666664,jj,Processing_Speed
LEFT,983.3333353,,,Time_Max_Exceeded,1500.0679000000048,2019-12-10 16:22:17.898309,2019-12-10 16:22:19.406838,9,2.6406374166666664,jj,Processing_Speed
RIGHT,700.0000014,,,Time_Max_Exceeded,1500.086600000003,2019-12-10 16:22:20.113665,2019-12-10 16:22:21.621713,10,2.6406374166666664,jj,Processing_Speed
LEFT,1400.0000028,,,Time_Max_Exceeded,1500.0644000000066,2019-12-10 16:22:23.028575,2019-12-10 16:22:24.536922,11,2.6406374166666664,jj,Processing_Speed
LEFT,1500.000003,,,Time_Max_Exceeded,1500.0781000000031,2019-12-10 16:22:26.042679,2019-12-10 16:22:27.551510,12,2.6406374166666664,jj,Processing_Speed
LEFT,783.3333349000001,,,Time_Max_Exceeded,1500.0670000000014,2019-12-10 16:22:28.341140,2019-12-10 16:22:29.849481,13,2.6406374166666664,jj,Processing_Speed
RIGHT,500.000001,,,Time_Max_Exceeded,1500.0657000000003,2019-12-10 16:22:30.356147,2019-12-10 16:22:31.864123,14,2.6406374166666664,jj,Processing_Speed
RIGHT,950.0000019,,,Time_Max_Exceeded,1500.0721000000042,2019-12-10 16:22:32.821760,2019-12-10 16:22:34.329355,15,2.6406374166666664,jj,Processing_Speed
LEFT,816.6666683,,,Time_Max_Exceeded,1500.072799999998,2019-12-10 16:22:35.153047,2019-12-10 16:22:36.660583,16,2.6406374166666664,jj,Processing_Speed
LEFT,666.6666680000001,,,Time_Max_Exceeded,1500.0667999999991,2019-12-10 16:22:37.333907,2019-12-10 16:22:38.841703,17,2.6406374166666664,jj,Processing_Speed
