Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1250.0000025,,,DOWN,255.2720999999991,2019-11-06 08:44:36.429830,2019-11-06 08:44:36.895585,1,0.9492432,o,ProcessingSpeed
LEFT,1000.000002,,,DOWN,98.31630000000757,2019-11-06 08:44:37.913258,2019-11-06 08:44:38.221705,2,0.9492432,o,ProcessingSpeed
RIGHT,750.0000015,,,DOWN,246.93350000001146,2019-11-06 08:44:38.991646,2019-11-06 08:44:39.448488,3,0.9492432,o,ProcessingSpeed
RIGHT,1250.0000025,,,DOWN,244.18400000000418,2019-11-06 08:44:40.718034,2019-11-06 08:44:41.172502,4,0.9492432,o,ProcessingSpeed
LEFT,750.0000015,,,DOWN,281.13960000000304,2019-11-06 08:44:41.940072,2019-11-06 08:44:42.431116,5,0.9492432,o,ProcessingSpeed
RIGHT,500.000001,,,DOWN,293.70129999999506,2019-11-06 08:44:42.949677,2019-11-06 08:44:43.453839,6,0.9492432,o,ProcessingSpeed
LEFT,1500.000003,,,DOWN,253.16779999999994,2019-11-06 08:44:44.974006,2019-11-06 08:44:45.437768,7,0.9492432,o,ProcessingSpeed
RIGHT,1500.000003,,,DOWN,246.71879999999646,2019-11-06 08:44:46.955210,2019-11-06 08:44:47.412990,8,0.9492432,o,ProcessingSpeed
RIGHT,1000.000002,,,DOWN,417.42240000000663,2019-11-06 08:44:48.433195,2019-11-06 08:44:49.060611,9,0.9492432,o,ProcessingSpeed
LEFT,500.000001,,,DOWN,326.06649999999604,2019-11-06 08:44:49.579311,2019-11-06 08:44:50.114388,10,0.9492432,o,ProcessingSpeed
