Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1250.0000025,,,DOWN,235.72100000001228,2019-11-06 08:42:04.055435,2019-11-06 08:42:04.586523,1,0.6689787333333334,oo,ProcessingSpeed
LEFT,1500.000003,,,DOWN,231.63549999981115,2019-11-06 08:42:06.095714,2019-11-06 08:42:06.536537,2,0.6689787333333334,oo,ProcessingSpeed
RIGHT,750.0000015,,,DOWN,273.27040000000125,2019-11-06 08:42:07.304995,2019-11-06 08:42:07.788718,3,0.6689787333333334,oo,ProcessingSpeed
RIGHT,1500.000003,,,DOWN,101.58589999991818,2019-11-06 08:42:09.306745,2019-11-06 08:42:09.617915,4,0.6689787333333334,oo,ProcessingSpeed
RIGHT,1250.0000025,,,DOWN,247.62319999990723,2019-11-06 08:42:10.887701,2019-11-06 08:42:11.344755,5,0.6689787333333334,oo,ProcessingSpeed
LEFT,500.000001,,,DOWN,349.70990000010715,2019-11-06 08:42:11.854616,2019-11-06 08:42:12.415120,6,0.6689787333333334,oo,ProcessingSpeed
RIGHT,500.000001,,,DOWN,242.59189999975206,2019-11-06 08:42:12.924673,2019-11-06 08:42:13.376469,7,0.6689787333333334,oo,ProcessingSpeed
RIGHT,1000.000002,,,DOWN,279.672500000288,2019-11-06 08:42:14.385561,2019-11-06 08:42:14.875606,8,0.6689787333333334,oo,ProcessingSpeed
LEFT,750.0000015,,,DOWN,250.20219999987603,2019-11-06 08:42:15.634885,2019-11-06 08:42:16.094588,9,0.6689787333333334,oo,ProcessingSpeed
LEFT,1000.000002,,,DOWN,239.20099999986633,2019-11-06 08:42:17.103719,2019-11-06 08:42:17.553865,10,0.6689787333333334,oo,ProcessingSpeed
