Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1350.0000027,False,,,,LEFT,322.3648999999966,2019-11-06 12:15:17.631741,2019-11-06 12:15:18.163321,1.0,0.64489645,pp,Response_Inhibition
RIGHT,783.3333349000001,False,,,,RIGHT,380.34700000000043,2019-11-06 12:15:18.966039,2019-11-06 12:15:19.555464,2.0,0.64489645,pp,Response_Inhibition
LEFT,1433.3333362,False,,,,LEFT,349.09879999999305,2019-11-06 12:15:21.007795,2019-11-06 12:15:21.567254,3.0,0.64489645,pp,Response_Inhibition
RIGHT,1150.0000023,True,100.0000002,,,RIGHT,270.31920020000865,2019-11-06 12:15:22.733477,2019-11-06 12:15:23.217204,4.0,0.64489645,pp,Response_Inhibition
RIGHT,650.0000013,False,,,,RIGHT,361.012400000007,2019-11-06 12:15:23.880426,2019-11-06 12:15:24.451511,5.0,0.64489645,pp,Response_Inhibition
LEFT,1000.000002,True,66.6666668,,,LEFT,302.2503667999923,2019-11-06 12:15:25.460664,2019-11-06 12:15:25.976888,6.0,0.64489645,pp,Response_Inhibition
RIGHT,1433.3333362,False,,,,RIGHT,251.86610000000087,2019-11-06 12:15:27.430223,2019-11-06 12:15:27.891220,7.0,0.64489645,pp,Response_Inhibition
LEFT,1283.3333359,True,200.0000004,,,LEFT,385.90940039999987,2019-11-06 12:15:29.193262,2019-11-06 12:15:29.793657,8.0,0.64489645,pp,Response_Inhibition
LEFT,566.6666678,False,,,,LEFT,617.1884000000034,2019-11-06 12:15:30.370116,2019-11-06 12:15:31.197817,9.0,0.64489645,pp,Response_Inhibition
LEFT,650.0000013,False,,,,LEFT,1102.7760000000058,2019-11-06 12:15:31.857054,2019-11-06 12:15:33.169971,10.0,0.64489645,pp,Response_Inhibition
LEFT,500.000001,True,233.3333338,,,Time_Max_Exceeded,1500.0521338000067,2019-11-06 12:15:33.679084,2019-11-06 12:15:35.183777,11.0,0.64489645,pp,Response_Inhibition
RIGHT,850.0000017,True,133.3333336,,,RIGHT,392.75743360000394,2019-11-06 12:15:36.042896,2019-11-06 12:15:36.649276,12.0,0.64489645,pp,Response_Inhibition
RIGHT,1000.000002,False,,,,RIGHT,502.92900000000884,2019-11-06 12:15:37.669489,2019-11-06 12:15:38.381586,13.0,0.64489645,pp,Response_Inhibition
LEFT,716.6666681,True,166.66666700000002,,,LEFT,361.2590670000048,2019-11-06 12:15:39.116687,2019-11-06 12:15:39.691254,14.0,0.64489645,pp,Response_Inhibition
RIGHT,1283.3333359,False,,,,RIGHT,1019.1137999999995,2019-11-06 12:15:40.993841,2019-11-06 12:15:42.223023,15.0,0.64489645,pp,Response_Inhibition
RIGHT,1500.000003,True,0.0,,,,,,,,0.64489645,pp,Response_Inhibition
RIGHT,1350.0000027,False,,,,,,,,,0.64489645,pp,Response_Inhibition
LEFT,850.0000017,False,,,,,,,,,0.64489645,pp,Response_Inhibition
LEFT,1150.0000023,False,,,,,,,,,0.64489645,pp,Response_Inhibition
RIGHT,933.3333352,False,,,,,,,,,0.64489645,pp,Response_Inhibition
RIGHT,1216.6666691,False,,,,,,,,,0.64489645,pp,Response_Inhibition
LEFT,1066.6666688,False,,,,,,,,,0.64489645,pp,Response_Inhibition
RIGHT,1066.6666688,True,300.0000006,,,,,,,,0.64489645,pp,Response_Inhibition
RIGHT,500.000001,False,,,,,,,,,0.64489645,pp,Response_Inhibition
LEFT,1500.000003,True,33.3333334,,,,,,,,0.64489645,pp,Response_Inhibition
LEFT,1216.6666691,False,,,,,,,,,0.64489645,pp,Response_Inhibition
LEFT,783.3333349000001,False,,,,,,,,,0.64489645,pp,Response_Inhibition
RIGHT,566.6666678,True,266.6666672,,,,,,,,0.64489645,pp,Response_Inhibition
RIGHT,716.6666681,False,,,,,,,,,0.64489645,pp,Response_Inhibition
LEFT,933.3333352,False,,,,,,,,,0.64489645,pp,Response_Inhibition
