Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,500.000001,False,,,,RIGHT,433.5155999999927,2019-11-06 12:39:42.048351,2019-11-06 12:39:42.691933,1.0,0.5188342499999999,ppp,Response_Inhibition
LEFT,650.0000013,False,,,,LEFT,345.79240000000766,2019-11-06 12:39:43.361143,2019-11-06 12:39:43.916653,2.0,0.5188342499999999,ppp,Response_Inhibition
LEFT,716.6666681,True,250.0000005,,,RIGHT,312.24210049999175,2019-11-06 12:39:44.653680,2019-11-06 12:39:45.180298,3.0,0.5188342499999999,ppp,Response_Inhibition
LEFT,1500.000003,True,283.3333339,,,LEFT,279.82190000000173,2019-11-06 12:39:46.697787,2019-11-06 12:39:47.188148,4.0,0.5188342499999999,ppp,Response_Inhibition
RIGHT,1350.0000027,False,,,,RIGHT,296.0566,2019-11-06 12:39:48.556863,2019-11-06 12:39:49.063018,5.0,0.5188342499999999,ppp,Response_Inhibition
RIGHT,933.3333352,False,,,,RIGHT,274.72910000000184,2019-11-06 12:39:50.014974,2019-11-06 12:39:50.500343,6.0,0.5188342499999999,ppp,Response_Inhibition
LEFT,1000.000002,False,,,,LEFT,275.8710000000093,2019-11-06 12:39:51.518363,2019-11-06 12:39:52.004327,7.0,0.5188342499999999,ppp,Response_Inhibition
LEFT,500.000001,False,,,,LEFT,367.0602000000116,2019-11-06 12:39:52.522939,2019-11-06 12:39:53.099377,8.0,0.5188342499999999,ppp,Response_Inhibition
RIGHT,1283.3333359,False,,,,RIGHT,289.6835999999894,2019-11-06 12:39:54.401234,2019-11-06 12:39:54.901082,9.0,0.5188342499999999,ppp,Response_Inhibition
LEFT,1433.3333362,False,,,,LEFT,278.8297999999969,2019-11-06 12:39:56.354475,2019-11-06 12:39:56.842518,10.0,0.5188342499999999,ppp,Response_Inhibition
LEFT,1150.0000023,True,316.66666730000003,,,LEFT,297.1155999999979,2019-11-06 12:39:58.002014,2019-11-06 12:39:58.516132,11.0,0.5188342499999999,ppp,Response_Inhibition
LEFT,1350.0000027,False,,,,RIGHT,224.05020000000775,2019-11-06 12:39:59.884046,2019-11-06 12:40:00.317886,12.0,0.5188342499999999,ppp,Response_Inhibition
RIGHT,1433.3333362,False,,,,RIGHT,240.41530000000932,2019-11-06 12:40:01.763421,2019-11-06 12:40:02.214218,13.0,0.5188342499999999,ppp,Response_Inhibition
RIGHT,650.0000013,True,100.0000002,,,RIGHT,345.8885002000066,2019-11-06 12:40:02.882437,2019-11-06 12:40:03.443008,14.0,0.5188342499999999,ppp,Response_Inhibition
RIGHT,1150.0000023,False,,,,RIGHT,324.7320999999914,2019-11-06 12:40:04.612214,2019-11-06 12:40:05.150283,15.0,0.5188342499999999,ppp,Response_Inhibition
LEFT,850.0000017,False,,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
RIGHT,716.6666681,True,33.3333334,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
RIGHT,850.0000017,False,,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
RIGHT,1000.000002,False,,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
RIGHT,1066.6666688,True,216.6666671,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
LEFT,933.3333352,True,66.6666668,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
RIGHT,783.3333349000001,False,,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
RIGHT,1216.6666691,True,0.0,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
LEFT,566.6666678,True,183.3333337,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
LEFT,1066.6666688,False,,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
RIGHT,566.6666678,False,,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
LEFT,1216.6666691,False,,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
LEFT,783.3333349000001,False,,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
RIGHT,1500.000003,True,133.3333336,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
LEFT,1283.3333359,False,,,,,,,,,0.5188342499999999,ppp,Response_Inhibition
