Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,500.000001,UP,-485.08099999999996,DOWN,8530.785600000001,2019-11-05 18:04:01.001545,2019-11-05 18:04:09.756460,1,0.5527661333333334,tam,ProcessingSpeed
LEFT,1500.000003,DOWN,-539.596,DOWN,461.7495999999903,2019-11-05 18:04:11.264486,2019-11-05 18:04:11.934718,2,0.5527661333333334,tam,ProcessingSpeed
RIGHT,750.0000015,,,DOWN,425.444299999981,2019-11-05 18:04:12.691318,2019-11-05 18:04:13.324228,3,0.5527661333333334,tam,ProcessingSpeed
RIGHT,1000.000002,,,DOWN,460.25220000001354,2019-11-05 18:04:14.336487,2019-11-05 18:04:15.004758,4,0.5527661333333334,tam,ProcessingSpeed
LEFT,1250.0000025,DOWN,-67.831,DOWN,407.99540000000434,2019-11-05 18:04:16.266490,2019-11-05 18:04:16.882128,5,0.5527661333333334,tam,ProcessingSpeed
RIGHT,1500.000003,,,DOWN,346.33490000001643,2019-11-05 18:04:18.389399,2019-11-05 18:04:18.942483,6,0.5527661333333334,tam,ProcessingSpeed
RIGHT,1250.0000025,,,DOWN,354.48590000001445,2019-11-05 18:04:20.204661,2019-11-05 18:04:20.766592,7,0.5527661333333334,tam,ProcessingSpeed
LEFT,500.000001,,,DOWN,470.3724999999963,2019-11-05 18:04:21.277333,2019-11-05 18:04:21.954517,8,0.5527661333333334,tam,ProcessingSpeed
LEFT,1000.000002,,,Time_Max_Exceeded,1500.0619999999856,2019-11-05 18:04:22.961116,2019-11-05 18:04:24.467302,9,0.5527661333333334,tam,ProcessingSpeed
LEFT,750.0000015,,,DOWN,689.158099999986,2019-11-05 18:04:25.225272,2019-11-05 18:04:26.129683,10,0.5527661333333334,tam,ProcessingSpeed
