Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,750.0000015,,,RIGHT,635.6988000000001,2019-11-05 18:04:40.237330,2019-11-05 18:04:41.085463,1,0.542389,tam,ResponseSelection
RIGHT,1250.0000025,,,RIGHT,682.8632000000141,2019-11-05 18:04:42.349631,2019-11-05 18:04:43.239157,2,0.542389,tam,ResponseSelection
LEFT,1250.0000025,,,RIGHT,1010.9159000000147,2019-11-05 18:04:44.503064,2019-11-05 18:04:45.720247,3,0.542389,tam,ResponseSelection
LEFT,500.000001,,,LEFT,859.3911999999762,2019-11-05 18:04:46.227046,2019-11-05 18:04:47.293199,4,0.542389,tam,ResponseSelection
RIGHT,500.000001,,,Time_Max_Exceeded,1500.0537999999892,2019-11-05 18:04:47.801513,2019-11-05 18:04:49.302352,5,0.542389,tam,ResponseSelection
RIGHT,1500.000003,,,Time_Max_Exceeded,1500.0631999999996,2019-11-05 18:04:50.809814,2019-11-05 18:04:52.310232,6,0.542389,tam,ResponseSelection
LEFT,750.0000015,RIGHT,-723.417,LEFT,386.38879999999176,2019-11-05 18:04:53.073124,2019-11-05 18:04:53.669524,7,0.542389,tam,ResponseSelection
LEFT,1500.000003,RIGHT,-205.52100000000002,LEFT,461.13949999997317,2019-11-05 18:04:55.187675,2019-11-05 18:04:55.857989,8,0.542389,tam,ResponseSelection
RIGHT,1000.000002,,,RIGHT,384.74019999998177,2019-11-05 18:04:56.868301,2019-11-05 18:04:57.463167,9,0.542389,tam,ResponseSelection
LEFT,1000.000002,,,LEFT,416.46979999998734,2019-11-05 18:04:58.473748,2019-11-05 18:04:59.098477,10,0.542389,tam,ResponseSelection
