Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
CONGRUENT,RIGHT,950.0000019,,,,,Time_Max_Exceeded,1500.0623999999902,2019-11-05 18:06:32.470462,2019-11-05 18:06:33.970733,1,1.5432972,tam,ConflictResolution
INCONGRUENT,RIGHT,1383.3333361,,,,,Time_Max_Exceeded,1500.0921999999832,2019-11-05 18:06:35.375003,2019-11-05 18:06:36.875150,2,1.5432972,tam,ConflictResolution
CONGRUENT,RIGHT,1166.666669,,,,,Time_Max_Exceeded,1501.7008000000374,2019-11-05 18:06:38.078219,2019-11-05 18:06:39.580286,3,1.5432972,tam,ConflictResolution
CONGRUENT,LEFT,1050.0000021,,,,,Time_Max_Exceeded,1500.0959000000194,2019-11-05 18:06:40.667906,2019-11-05 18:06:42.172667,4,1.5432972,tam,ConflictResolution
CONGRUENT,RIGHT,1383.3333361,,,,,Time_Max_Exceeded,1500.0757000000249,2019-11-05 18:06:43.578530,2019-11-05 18:06:45.078747,5,1.5432972,tam,ConflictResolution
INCONGRUENT,LEFT,1050.0000021,,,,,Time_Max_Exceeded,1500.071700000035,2019-11-05 18:06:46.149927,2019-11-05 18:06:47.650457,6,1.5432972,tam,ConflictResolution
CONGRUENT,LEFT,833.333335,,,,,Time_Max_Exceeded,1500.1454999999737,2019-11-05 18:06:48.501126,2019-11-05 18:06:50.001539,7,1.5432972,tam,ConflictResolution
INCONGRUENT,RIGHT,716.6666681,,,,,Time_Max_Exceeded,1500.080799999978,2019-11-05 18:06:50.737615,2019-11-05 18:06:52.237992,8,1.5432972,tam,ConflictResolution
CONGRUENT,LEFT,1283.3333359,,,,,Time_Max_Exceeded,1500.070199999982,2019-11-05 18:06:53.540074,2019-11-05 18:06:55.039625,9,1.5432972,tam,ConflictResolution
INCONGRUENT,LEFT,616.6666679,,,,,Time_Max_Exceeded,1500.0860000000102,2019-11-05 18:06:55.676977,2019-11-05 18:06:57.177497,10,1.5432972,tam,ConflictResolution
CONGRUENT,RIGHT,500.000001,,,,,Time_Max_Exceeded,1500.0671000000239,2019-11-05 18:06:57.696130,2019-11-05 18:06:59.196642,11,1.5432972,tam,ConflictResolution
INCONGRUENT,LEFT,1500.000003,,,,,Time_Max_Exceeded,1500.1430000000369,2019-11-05 18:07:00.720721,2019-11-05 18:07:02.221478,12,1.5432972,tam,ConflictResolution
INCONGRUENT,RIGHT,500.000001,,,,,Time_Max_Exceeded,1500.7554000000027,2019-11-05 18:07:02.751726,2019-11-05 18:07:04.252331,13,1.5432972,tam,ConflictResolution
CONGRUENT,LEFT,616.6666679,,,,,Time_Max_Exceeded,1500.1105000000052,2019-11-05 18:07:04.907605,2019-11-05 18:07:06.407614,14,1.5432972,tam,ConflictResolution
INCONGRUENT,RIGHT,950.0000019,,,,,Time_Max_Exceeded,1500.1091999999971,2019-11-05 18:07:07.384004,2019-11-05 18:07:08.884763,15,1.5432972,tam,ConflictResolution
INCONGRUENT,LEFT,833.333335,,,,,Time_Max_Exceeded,1500.0797000000148,2019-11-05 18:07:09.736596,2019-11-05 18:07:11.236945,16,1.5432972,tam,ConflictResolution
INCONGRUENT,LEFT,1283.3333359,,,,,Time_Max_Exceeded,1500.0747000000274,2019-11-05 18:07:12.538003,2019-11-05 18:07:14.038261,17,1.5432972,tam,ConflictResolution
INCONGRUENT,RIGHT,1166.666669,,,,,Time_Max_Exceeded,1500.069499999995,2019-11-05 18:07:15.223781,2019-11-05 18:07:16.723383,18,1.5432972,tam,ConflictResolution
CONGRUENT,LEFT,1500.000003,,,,,Time_Max_Exceeded,1500.095999999985,2019-11-05 18:07:18.242962,2019-11-05 18:07:19.742707,19,1.5432972,tam,ConflictResolution
CONGRUENT,RIGHT,716.6666681,,,,,Time_Max_Exceeded,1500.0689999999963,2019-11-05 18:07:20.479734,2019-11-05 18:07:21.979444,20,1.5432972,tam,ConflictResolution
