Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1366.6666694,,,Time_Max_Exceeded,1500.1615000000043,2019-12-11 10:06:24.058765,2019-12-11 10:06:25.571974,1,2.835004083333333,testtt,Processing_Speed
RIGHT,1433.3333362,,,Time_Max_Exceeded,1500.168599999995,2019-12-11 10:06:27.020923,2019-12-11 10:06:28.549253,2,2.835004083333333,testtt,Processing_Speed
RIGHT,1466.6666696,,,Time_Max_Exceeded,1500.1756999999998,2019-12-11 10:06:30.037658,2019-12-11 10:06:31.548744,3,2.835004083333333,testtt,Processing_Speed
LEFT,1333.3333360000001,,,Time_Max_Exceeded,1500.2237000000064,2019-12-11 10:06:32.897833,2019-12-11 10:06:34.415922,4,2.835004083333333,testtt,Processing_Speed
RIGHT,1083.3333355,,,Time_Max_Exceeded,1500.2428999999893,2019-12-11 10:06:35.515522,2019-12-11 10:06:37.026754,5,2.835004083333333,testtt,Processing_Speed
LEFT,1150.0000023,,,Time_Max_Exceeded,1500.1443000000022,2019-12-11 10:06:38.192034,2019-12-11 10:06:39.703931,6,2.835004083333333,testtt,Processing_Speed
LEFT,1400.0000028,,,Time_Max_Exceeded,1500.2116999999942,2019-12-11 10:06:41.121847,2019-12-11 10:06:42.635926,7,2.835004083333333,testtt,Processing_Speed
RIGHT,733.3333348,,,Time_Max_Exceeded,1500.1762999999926,2019-12-11 10:06:43.384927,2019-12-11 10:06:44.896816,8,2.835004083333333,testtt,Processing_Speed
RIGHT,1150.0000023,,,Time_Max_Exceeded,1500.140800000011,2019-12-11 10:06:46.061696,2019-12-11 10:06:47.573673,9,2.835004083333333,testtt,Processing_Speed
LEFT,700.0000014,,,Time_Max_Exceeded,1500.4901000000075,2019-12-11 10:06:48.288056,2019-12-11 10:06:49.800675,10,2.835004083333333,testtt,Processing_Speed
LEFT,533.3333344,,,Time_Max_Exceeded,1500.1746999999882,2019-12-11 10:06:50.351093,2019-12-11 10:06:51.867677,11,2.835004083333333,testtt,Processing_Speed
LEFT,1466.6666696,,,Time_Max_Exceeded,1500.1586000000061,2019-12-11 10:06:53.351832,2019-12-11 10:06:54.863164,12,2.835004083333333,testtt,Processing_Speed
RIGHT,1116.6666689,,,Time_Max_Exceeded,1500.1043000000038,2019-12-11 10:06:55.995997,2019-12-11 10:06:57.507165,13,2.835004083333333,testtt,Processing_Speed
LEFT,1050.0000021,,,Time_Max_Exceeded,1500.3430000000008,2019-12-11 10:06:58.571122,2019-12-11 10:07:00.084961,14,2.835004083333333,testtt,Processing_Speed
RIGHT,1216.6666691,,,Time_Max_Exceeded,1500.2178000000015,2019-12-11 10:07:01.315803,2019-12-11 10:07:02.833002,15,2.835004083333333,testtt,Processing_Speed
LEFT,950.0000019,,,Time_Max_Exceeded,1500.1946999999946,2019-12-11 10:07:03.801981,2019-12-11 10:07:05.313903,16,2.835004083333333,testtt,Processing_Speed
LEFT,1216.6666691,,,Time_Max_Exceeded,1500.2251000000088,2019-12-11 10:07:06.547104,2019-12-11 10:07:08.058735,17,2.835004083333333,testtt,Processing_Speed
RIGHT,633.3333346000001,,,Time_Max_Exceeded,1500.163900000004,2019-12-11 10:07:08.708978,2019-12-11 10:07:10.221735,18,2.835004083333333,testtt,Processing_Speed
LEFT,1433.3333362,,,Time_Max_Exceeded,1500.1730000000039,2019-12-11 10:07:11.673159,2019-12-11 10:07:13.184640,19,2.835004083333333,testtt,Processing_Speed
LEFT,666.6666680000001,,,Time_Max_Exceeded,1500.1766000000032,2019-12-11 10:07:13.867700,2019-12-11 10:07:15.379851,20,2.835004083333333,testtt,Processing_Speed
RIGHT,1183.3333357000001,,,Time_Max_Exceeded,1500.365699999989,2019-12-11 10:07:16.575906,2019-12-11 10:07:18.088747,21,2.835004083333333,testtt,Processing_Speed
LEFT,566.6666678,,,Time_Max_Exceeded,1500.1768999999995,2019-12-11 10:07:18.668860,2019-12-11 10:07:20.180937,22,2.835004083333333,testtt,Processing_Speed
RIGHT,666.6666680000001,,,Time_Max_Exceeded,1500.2102000000123,2019-12-11 10:07:20.863110,2019-12-11 10:07:22.380741,23,2.835004083333333,testtt,Processing_Speed
RIGHT,950.0000019,,,Time_Max_Exceeded,1500.1326000000006,2019-12-11 10:07:23.349157,2019-12-11 10:07:24.862143,24,2.835004083333333,testtt,Processing_Speed
RIGHT,1050.0000021,,,Time_Max_Exceeded,1500.1999000000126,2019-12-11 10:07:25.925678,2019-12-11 10:07:27.436680,25,2.835004083333333,testtt,Processing_Speed
RIGHT,783.3333349000001,,,Time_Max_Exceeded,1500.1756999999998,2019-12-11 10:07:28.235690,2019-12-11 10:07:29.750790,26,2.835004083333333,testtt,Processing_Speed
RIGHT,500.000001,,,Time_Max_Exceeded,1500.3819000000078,2019-12-11 10:07:30.273186,2019-12-11 10:07:31.783800,27,2.835004083333333,testtt,Processing_Speed
RIGHT,983.3333353,,,Time_Max_Exceeded,1500.111099999998,2019-12-11 10:07:32.781783,2019-12-11 10:07:34.293135,28,2.835004083333333,testtt,Processing_Speed
LEFT,1116.6666689,,,Time_Max_Exceeded,1500.2271000000178,2019-12-11 10:07:35.423829,2019-12-11 10:07:36.935871,29,2.835004083333333,testtt,Processing_Speed
LEFT,1500.000003,,,Time_Max_Exceeded,1500.1790999999969,2019-12-11 10:07:38.453567,2019-12-11 10:07:39.965238,30,2.835004083333333,testtt,Processing_Speed
LEFT,816.6666683,,,Time_Max_Exceeded,1500.1410000000135,2019-12-11 10:07:40.800508,2019-12-11 10:07:42.311669,31,2.835004083333333,testtt,Processing_Speed
LEFT,883.3333351,,,Time_Max_Exceeded,1500.1168000000007,2019-12-11 10:07:43.210686,2019-12-11 10:07:44.721637,32,2.835004083333333,testtt,Processing_Speed
LEFT,733.3333348,,,Time_Max_Exceeded,1500.5035000000078,2019-12-11 10:07:45.470932,2019-12-11 10:07:46.993137,33,2.835004083333333,testtt,Processing_Speed
RIGHT,566.6666678,,,Time_Max_Exceeded,1500.161100000014,2019-12-11 10:07:47.576004,2019-12-11 10:07:49.087966,34,2.835004083333333,testtt,Processing_Speed
LEFT,600.0000012,,,Time_Max_Exceeded,1500.1220999999987,2019-12-11 10:07:49.702556,2019-12-11 10:07:51.216744,35,2.835004083333333,testtt,Processing_Speed
RIGHT,1500.000003,,,Time_Max_Exceeded,1500.372700000014,2019-12-11 10:07:52.733492,2019-12-11 10:07:54.267759,36,2.835004083333333,testtt,Processing_Speed
LEFT,783.3333349000001,,,Time_Max_Exceeded,1500.2110000000073,2019-12-11 10:07:55.073849,2019-12-11 10:07:56.584847,37,2.835004083333333,testtt,Processing_Speed
RIGHT,1333.3333360000001,,,Time_Max_Exceeded,1500.2321999999992,2019-12-11 10:07:57.931042,2019-12-11 10:07:59.446667,38,2.835004083333333,testtt,Processing_Speed
RIGHT,1400.0000028,,,Time_Max_Exceeded,1500.113199999987,2019-12-11 10:08:00.863847,2019-12-11 10:08:02.374917,39,2.835004083333333,testtt,Processing_Speed
RIGHT,1266.6666692000001,,,Time_Max_Exceeded,1500.183700000008,2019-12-11 10:08:03.656798,2019-12-11 10:08:05.169851,40,2.835004083333333,testtt,Processing_Speed
LEFT,983.3333353,,,Time_Max_Exceeded,1500.1723999999967,2019-12-11 10:08:06.170127,2019-12-11 10:08:07.684961,41,2.835004083333333,testtt,Processing_Speed
LEFT,633.3333346000001,,,Time_Max_Exceeded,1500.2384000000006,2019-12-11 10:08:08.334545,2019-12-11 10:08:09.849820,42,2.835004083333333,testtt,Processing_Speed
LEFT,916.6666685,,,Time_Max_Exceeded,1500.1087999999925,2019-12-11 10:08:10.783125,2019-12-11 10:08:12.294732,43,2.835004083333333,testtt,Processing_Speed
LEFT,850.0000017,,,Time_Max_Exceeded,1500.1235000000008,2019-12-11 10:08:13.157537,2019-12-11 10:08:14.673813,44,2.835004083333333,testtt,Processing_Speed
LEFT,1183.3333357000001,,,Time_Max_Exceeded,1500.1919999999984,2019-12-11 10:08:15.873916,2019-12-11 10:08:17.383758,45,2.835004083333333,testtt,Processing_Speed
RIGHT,883.3333351,,,Time_Max_Exceeded,1500.1547000000244,2019-12-11 10:08:18.280174,2019-12-11 10:08:19.792737,46,2.835004083333333,testtt,Processing_Speed
LEFT,500.000001,,,Time_Max_Exceeded,1500.180400000005,2019-12-11 10:08:20.310218,2019-12-11 10:08:21.823567,47,2.835004083333333,testtt,Processing_Speed
LEFT,1083.3333355,,,Time_Max_Exceeded,1500.179299999985,2019-12-11 10:08:22.922010,2019-12-11 10:08:24.434937,48,2.835004083333333,testtt,Processing_Speed
RIGHT,1366.6666694,,,Time_Max_Exceeded,1500.2014000000088,2019-12-11 10:08:25.815064,2019-12-11 10:08:27.329901,49,2.835004083333333,testtt,Processing_Speed
RIGHT,533.3333344,,,Time_Max_Exceeded,1500.2003000000173,2019-12-11 10:08:27.882707,2019-12-11 10:08:29.396481,50,2.835004083333333,testtt,Processing_Speed
LEFT,1300.0000026,,,Time_Max_Exceeded,1500.1919999999984,2019-12-11 10:08:30.712058,2019-12-11 10:08:32.225710,51,2.835004083333333,testtt,Processing_Speed
RIGHT,816.6666683,,,Time_Max_Exceeded,1500.1450000000034,2019-12-11 10:08:33.060880,2019-12-11 10:08:34.574361,52,2.835004083333333,testtt,Processing_Speed
LEFT,1016.6666687000001,,,Time_Max_Exceeded,1500.1661999999953,2019-12-11 10:08:35.606777,2019-12-11 10:08:37.122764,53,2.835004083333333,testtt,Processing_Speed
RIGHT,850.0000017,,,Time_Max_Exceeded,1500.1941999999815,2019-12-11 10:08:37.987679,2019-12-11 10:08:39.501803,54,2.835004083333333,testtt,Processing_Speed
RIGHT,1016.6666687000001,,,Time_Max_Exceeded,1500.1512999999989,2019-12-11 10:08:40.534703,2019-12-11 10:08:42.047935,55,2.835004083333333,testtt,Processing_Speed
RIGHT,916.6666685,,,Time_Max_Exceeded,1500.1742999999976,2019-12-11 10:08:42.980040,2019-12-11 10:08:44.491355,56,2.835004083333333,testtt,Processing_Speed
RIGHT,1300.0000026,,,Time_Max_Exceeded,1500.1699999999971,2019-12-11 10:08:45.806805,2019-12-11 10:08:47.320312,57,2.835004083333333,testtt,Processing_Speed
LEFT,1266.6666692000001,,,Time_Max_Exceeded,1500.2853000000016,2019-12-11 10:08:48.603179,2019-12-11 10:08:50.115280,58,2.835004083333333,testtt,Processing_Speed
RIGHT,700.0000014,,,Time_Max_Exceeded,1500.130100000007,2019-12-11 10:08:50.830040,2019-12-11 10:08:52.342736,59,2.835004083333333,testtt,Processing_Speed
RIGHT,600.0000012,,,Time_Max_Exceeded,1500.1843000000008,2019-12-11 10:08:52.958784,2019-12-11 10:08:54.474060,60,2.835004083333333,testtt,Processing_Speed
