Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,1366.6666694,False,,,,RIGHT,290.8759999999688,2019-11-12 16:08:28.195403,2019-11-12 16:08:28.693627,1.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,533.3333344,True,33.3333334,,,RIGHT,291.8570333999552,2019-11-12 16:08:29.238745,2019-11-12 16:08:29.742151,2.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1400.0000028,False,,,,RIGHT,341.9145999999955,2019-11-12 16:08:31.150556,2019-11-12 16:08:31.699692,3.0,2.4118729500000002,P2,Response_Inhibition
LEFT,966.6666686,True,16.6666667,,,LEFT,287.75626669998206,2019-11-12 16:08:32.675688,2019-11-12 16:08:33.174137,4.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1116.6666689,False,,,,LEFT,329.0607999999793,2019-11-12 16:08:34.304837,2019-11-12 16:08:34.842344,5.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1416.6666695000001,False,,,,RIGHT,367.65460000003714,2019-11-12 16:08:36.272551,2019-11-12 16:08:36.846917,6.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,516.6666677000001,False,,,,RIGHT,390.3831000000082,2019-11-12 16:08:37.376028,2019-11-12 16:08:37.975316,7.0,2.4118729500000002,P2,Response_Inhibition
LEFT,950.0000019,False,,,,LEFT,319.6758999999929,2019-11-12 16:08:38.936899,2019-11-12 16:08:39.464426,8.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,766.6666682,False,,,,RIGHT,286.73710000003894,2019-11-12 16:08:40.239948,2019-11-12 16:08:40.733882,9.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,783.3333349000001,True,133.3333336,,,RIGHT,344.51903359998727,2019-11-12 16:08:41.526037,2019-11-12 16:08:42.081397,10.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,566.6666678,False,,,,RIGHT,369.9991999999952,2019-11-12 16:08:42.658034,2019-11-12 16:08:43.237481,11.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1016.6666687000001,False,,,,LEFT,291.99039999997467,2019-11-12 16:08:44.263007,2019-11-12 16:08:44.761850,12.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1216.6666691,False,,,,LEFT,356.25119999997423,2019-11-12 16:08:45.984936,2019-11-12 16:08:46.548074,13.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,700.0000014,False,,,,RIGHT,336.08920000000353,2019-11-12 16:08:47.256225,2019-11-12 16:08:47.800497,14.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1416.6666695000001,False,,,,LEFT,287.352999999996,2019-11-12 16:08:49.228265,2019-11-12 16:08:49.723447,15.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1233.3333358,True,250.0000005,,,RIGHT,358.341600500017,2019-11-12 16:08:50.964679,2019-11-12 16:08:51.534233,16.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1433.3333362,False,,,,RIGHT,332.0942999999943,2019-11-12 16:08:52.979108,2019-11-12 16:08:53.518666,17.0,2.4118729500000002,P2,Response_Inhibition
LEFT,683.3333347,False,,,,LEFT,337.78689999996914,2019-11-12 16:08:54.211979,2019-11-12 16:08:54.756704,18.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1083.3333355,False,,,,RIGHT,296.20370000003504,2019-11-12 16:08:55.847346,2019-11-12 16:08:56.350011,19.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1266.6666692000001,False,,,,LEFT,337.5862999999981,2019-11-12 16:08:57.628414,2019-11-12 16:08:58.172652,20.0,2.4118729500000002,P2,Response_Inhibition
LEFT,833.333335,False,,,,LEFT,364.6965000000364,2019-11-12 16:08:59.014869,2019-11-12 16:08:59.586556,21.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,950.0000019,False,,,,RIGHT,287.27850000001354,2019-11-12 16:09:00.545229,2019-11-12 16:09:01.040457,22.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1350.0000027,False,,,,LEFT,236.0196000000201,2019-11-12 16:09:02.402374,2019-11-12 16:09:02.845704,23.0,2.4118729500000002,P2,Response_Inhibition
LEFT,500.000001,False,,,,LEFT,364.1972000000351,2019-11-12 16:09:03.357406,2019-11-12 16:09:03.929275,24.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1300.0000026,True,233.3333338,,,LEFT,334.7917338000127,2019-11-12 16:09:05.242394,2019-11-12 16:09:05.786989,25.0,2.4118729500000002,P2,Response_Inhibition
LEFT,750.0000015,False,,,,LEFT,346.3822999999593,2019-11-12 16:09:06.544299,2019-11-12 16:09:07.098593,26.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1033.3333354000001,True,283.3333339,,,RIGHT,280.6825000000117,2019-11-12 16:09:08.142891,2019-11-12 16:09:08.631306,27.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,916.6666685,True,183.3333337,,,RIGHT,358.0365337000104,2019-11-12 16:09:09.555483,2019-11-12 16:09:10.124592,28.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1050.0000021,False,,,,RIGHT,333.0240999999887,2019-11-12 16:09:11.184804,2019-11-12 16:09:11.723734,29.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1200.0000024,False,,,,RIGHT,311.9116000000304,2019-11-12 16:09:12.931095,2019-11-12 16:09:13.451201,30.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,583.3333345,False,,,,RIGHT,333.66369999998824,2019-11-12 16:09:14.044310,2019-11-12 16:09:14.585367,31.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,983.3333353,True,200.0000004,,,RIGHT,283.51550039997585,2019-11-12 16:09:15.579725,2019-11-12 16:09:16.072253,32.0,2.4118729500000002,P2,Response_Inhibition
LEFT,533.3333344,False,,,,LEFT,347.8415999999811,2019-11-12 16:09:16.615564,2019-11-12 16:09:17.170354,33.0,2.4118729500000002,P2,Response_Inhibition
LEFT,850.0000017,False,,,,LEFT,280.67759999999,2019-11-12 16:09:18.028046,2019-11-12 16:09:18.514767,34.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1350.0000027,True,266.6666672,,,RIGHT,304.8193672000119,2019-11-12 16:09:19.875679,2019-11-12 16:09:20.391811,35.0,2.4118729500000002,P2,Response_Inhibition
LEFT,883.3333351,True,33.3333334,,,LEFT,319.2558334000265,2019-11-12 16:09:21.285944,2019-11-12 16:09:21.817023,36.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,583.3333345,False,,,,RIGHT,495.5345000000193,2019-11-12 16:09:22.408424,2019-11-12 16:09:23.110584,37.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1066.6666688,False,,,,RIGHT,427.42250000003423,2019-11-12 16:09:24.183391,2019-11-12 16:09:24.819361,38.0,2.4118729500000002,P2,Response_Inhibition
LEFT,583.3333345,True,100.0000002,,,Time_Max_Exceeded,1500.0588001999538,2019-11-12 16:09:25.410617,2019-11-12 16:09:26.914648,39.0,2.4118729500000002,P2,Response_Inhibition
LEFT,733.3333348,False,,,,LEFT,518.627400000014,2019-11-12 16:09:27.655690,2019-11-12 16:09:28.381243,40.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,633.3333346000001,False,,,,RIGHT,382.30859999998756,2019-11-12 16:09:29.025037,2019-11-12 16:09:29.614594,41.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1383.3333361,False,,,,LEFT,289.7357999999599,2019-11-12 16:09:31.009387,2019-11-12 16:09:31.506057,42.0,2.4118729500000002,P2,Response_Inhibition
LEFT,816.6666683,False,,,,LEFT,362.7802000000315,2019-11-12 16:09:32.329986,2019-11-12 16:09:32.900431,43.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1183.3333357000001,False,,,,RIGHT,349.0467000000308,2019-11-12 16:09:34.095691,2019-11-12 16:09:34.651390,44.0,2.4118729500000002,P2,Response_Inhibition
LEFT,516.6666677000001,True,16.6666667,,,Time_Max_Exceeded,1500.046666700011,2019-11-12 16:09:35.178005,2019-11-12 16:09:36.680743,45.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1000.000002,False,,,,RIGHT,354.32420000000775,2019-11-12 16:09:37.687915,2019-11-12 16:09:38.249884,46.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,733.3333348,True,0.0,,,Time_Max_Exceeded,1500.053400000013,2019-11-12 16:09:38.994568,2019-11-12 16:09:40.494534,47.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1083.3333355,False,,,,LEFT,308.519399999966,2019-11-12 16:09:41.585706,2019-11-12 16:09:42.101343,48.0,2.4118729500000002,P2,Response_Inhibition
LEFT,616.6666679,False,,,,LEFT,305.12379999998984,2019-11-12 16:09:42.729188,2019-11-12 16:09:43.241517,49.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1050.0000021,False,,,,LEFT,356.16879999997764,2019-11-12 16:09:44.299528,2019-11-12 16:09:44.862136,50.0,2.4118729500000002,P2,Response_Inhibition
LEFT,566.6666678,False,,,,LEFT,348.2352999999989,2019-11-12 16:09:45.436121,2019-11-12 16:09:45.990697,51.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,833.333335,False,,,,RIGHT,271.0440000000176,2019-11-12 16:09:46.833982,2019-11-12 16:09:47.315477,52.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,550.0000011,False,,,,RIGHT,317.6757999999609,2019-11-12 16:09:47.876627,2019-11-12 16:09:48.401602,53.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1033.3333354000001,False,,,,LEFT,294.43020000002207,2019-11-12 16:09:49.444973,2019-11-12 16:09:49.946949,54.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1366.6666694,False,,,,LEFT,320.18130000000156,2019-11-12 16:09:51.319660,2019-11-12 16:09:51.847816,55.0,2.4118729500000002,P2,Response_Inhibition
LEFT,900.0000018000001,True,50.0000001,,,LEFT,363.74980009998234,2019-11-12 16:09:52.756428,2019-11-12 16:09:53.332096,56.0,2.4118729500000002,P2,Response_Inhibition
LEFT,1433.3333362,False,,,,LEFT,561.0622000000376,2019-11-12 16:09:54.774287,2019-11-12 16:09:55.543171,57.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,1316.6666693,False,,,,RIGHT,370.68969999995716,2019-11-12 16:09:56.872491,2019-11-12 16:09:57.448950,58.0,2.4118729500000002,P2,Response_Inhibition
RIGHT,800.0000016,True,150.0000003,,,RIGHT,330.9068003000025,2019-11-12 16:09:58.258778,2019-11-12 16:09:58.799841,59.0,2.4118729500000002,P2,Response_Inhibition
