Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,1266.6666692000001,,,RIGHT,349.5923999999775,2019-11-12 16:06:07.943516,2019-11-12 16:06:08.500377,1,2.4908339500000003,P2,Response_Selection
RIGHT,1033.3333354000001,,,RIGHT,348.24080000001345,2019-11-12 16:06:09.544650,2019-11-12 16:06:10.100232,2,2.4908339500000003,P2,Response_Selection
RIGHT,600.0000012,,,RIGHT,371.661099999983,2019-11-12 16:06:10.719685,2019-11-12 16:06:11.297686,3,2.4908339500000003,P2,Response_Selection
LEFT,1133.3333356,,,LEFT,276.52660000001106,2019-11-12 16:06:12.445303,2019-11-12 16:06:12.929595,4,2.4908339500000003,P2,Response_Selection
LEFT,633.3333346000001,,,LEFT,301.60770000000525,2019-11-12 16:06:13.573406,2019-11-12 16:06:14.083382,5,2.4908339500000003,P2,Response_Selection
RIGHT,1400.0000028,,,RIGHT,307.73759999999584,2019-11-12 16:06:15.491149,2019-11-12 16:06:16.006558,6,2.4908339500000003,P2,Response_Selection
RIGHT,1366.6666694,,,RIGHT,310.1297000000045,2019-11-12 16:06:17.389370,2019-11-12 16:06:17.906015,7,2.4908339500000003,P2,Response_Selection
LEFT,1083.3333355,,,LEFT,336.01849999999445,2019-11-12 16:06:18.998392,2019-11-12 16:06:19.542270,8,2.4908339500000003,P2,Response_Selection
RIGHT,1016.6666687000001,,,RIGHT,298.55290000000423,2019-11-12 16:06:20.568577,2019-11-12 16:06:21.072730,9,2.4908339500000003,P2,Response_Selection
RIGHT,966.6666686,,,RIGHT,317.760700000008,2019-11-12 16:06:22.046209,2019-11-12 16:06:22.570983,10,2.4908339500000003,P2,Response_Selection
LEFT,800.0000016,,,LEFT,295.0994999999921,2019-11-12 16:06:23.380282,2019-11-12 16:06:23.883164,11,2.4908339500000003,P2,Response_Selection
LEFT,933.3333352,,,LEFT,283.90150000001313,2019-11-12 16:06:24.826306,2019-11-12 16:06:25.317790,12,2.4908339500000003,P2,Response_Selection
RIGHT,1416.6666695000001,,,RIGHT,291.47260000002007,2019-11-12 16:06:26.748797,2019-11-12 16:06:27.248409,13,2.4908339500000003,P2,Response_Selection
LEFT,1500.000003,,,LEFT,280.3602999999839,2019-11-12 16:06:28.756808,2019-11-12 16:06:29.245268,14,2.4908339500000003,P2,Response_Selection
LEFT,750.0000015,,,LEFT,347.2312000000102,2019-11-12 16:06:30.006257,2019-11-12 16:06:30.561295,15,2.4908339500000003,P2,Response_Selection
RIGHT,1216.6666691,,,RIGHT,306.2122000000045,2019-11-12 16:06:31.792512,2019-11-12 16:06:32.305077,16,2.4908339500000003,P2,Response_Selection
RIGHT,983.3333353,,,RIGHT,308.5189999999898,2019-11-12 16:06:33.302016,2019-11-12 16:06:33.819348,17,2.4908339500000003,P2,Response_Selection
RIGHT,1316.6666693,,,RIGHT,285.470800000013,2019-11-12 16:06:35.147408,2019-11-12 16:06:35.640600,18,2.4908339500000003,P2,Response_Selection
RIGHT,533.3333344,,,RIGHT,402.25090000001273,2019-11-12 16:06:36.181689,2019-11-12 16:06:36.792015,19,2.4908339500000003,P2,Response_Selection
RIGHT,783.3333349000001,,,RIGHT,281.73119999999585,2019-11-12 16:06:37.586763,2019-11-12 16:06:38.075603,20,2.4908339500000003,P2,Response_Selection
RIGHT,833.333335,,,RIGHT,298.6889000000019,2019-11-12 16:06:38.916633,2019-11-12 16:06:39.421840,21,2.4908339500000003,P2,Response_Selection
LEFT,1116.6666689,,,LEFT,266.4692999999829,2019-11-12 16:06:40.546539,2019-11-12 16:06:41.020308,22,2.4908339500000003,P2,Response_Selection
LEFT,1416.6666695000001,,,LEFT,290.9948000000213,2019-11-12 16:06:42.448152,2019-11-12 16:06:42.946939,23,2.4908339500000003,P2,Response_Selection
LEFT,1200.0000024,,,LEFT,304.97569999999996,2019-11-12 16:06:44.157333,2019-11-12 16:06:44.669001,24,2.4908339500000003,P2,Response_Selection
RIGHT,1083.3333355,,,RIGHT,296.1418000000151,2019-11-12 16:06:45.762663,2019-11-12 16:06:46.265165,25,2.4908339500000003,P2,Response_Selection
RIGHT,1116.6666689,,,RIGHT,269.9777999999924,2019-11-12 16:06:47.391184,2019-11-12 16:06:47.868001,26,2.4908339500000003,P2,Response_Selection
RIGHT,1133.3333356,,,RIGHT,234.71159999999713,2019-11-12 16:06:49.016222,2019-11-12 16:06:49.458374,27,2.4908339500000003,P2,Response_Selection
LEFT,683.3333347,,,LEFT,349.2625000000089,2019-11-12 16:06:50.153442,2019-11-12 16:06:50.709502,28,2.4908339500000003,P2,Response_Selection
RIGHT,866.6666684,,,RIGHT,262.8022000000101,2019-11-12 16:06:51.584213,2019-11-12 16:06:52.053957,29,2.4908339500000003,P2,Response_Selection
RIGHT,1200.0000024,,,RIGHT,55.30519999999228,2019-11-12 16:06:53.264598,2019-11-12 16:06:53.527175,30,2.4908339500000003,P2,Response_Selection
LEFT,1066.6666688,,,LEFT,322.90319999998474,2019-11-12 16:06:54.604334,2019-11-12 16:06:55.134607,31,2.4908339500000003,P2,Response_Selection
RIGHT,550.0000011,,,RIGHT,336.3458000000037,2019-11-12 16:06:55.696609,2019-11-12 16:06:56.239692,32,2.4908339500000003,P2,Response_Selection
LEFT,966.6666686,,,LEFT,314.87509999999475,2019-11-12 16:06:57.217479,2019-11-12 16:06:57.738939,33,2.4908339500000003,P2,Response_Selection
RIGHT,583.3333345,,,RIGHT,250.13490000000616,2019-11-12 16:06:58.338809,2019-11-12 16:06:58.796409,34,2.4908339500000003,P2,Response_Selection
RIGHT,650.0000013,,,RIGHT,285.1574000000028,2019-11-12 16:06:59.455001,2019-11-12 16:06:59.946691,35,2.4908339500000003,P2,Response_Selection
LEFT,866.6666684,,,LEFT,318.70720000000574,2019-11-12 16:07:00.824528,2019-11-12 16:07:01.351151,36,2.4908339500000003,P2,Response_Selection
RIGHT,916.6666685,,,RIGHT,285.71719999999345,2019-11-12 16:07:02.279679,2019-11-12 16:07:02.772735,37,2.4908339500000003,P2,Response_Selection
LEFT,1350.0000027,,,LEFT,266.1498000000222,2019-11-12 16:07:04.132807,2019-11-12 16:07:04.606101,38,2.4908339500000003,P2,Response_Selection
LEFT,983.3333353,,,LEFT,303.56480000000374,2019-11-12 16:07:05.600096,2019-11-12 16:07:06.111101,39,2.4908339500000003,P2,Response_Selection
