Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
RIGHT,1500.000003,DOWN,-635.237,DOWN,583.8772,43:32.2,43:33.0,1,S1,ProcessingSpeed
RIGHT,1116.666669,DOWN,-53.091,DOWN,365.7026,43:34.1,43:34.7,2,S1,ProcessingSpeed
RIGHT,1216.666669,,,DOWN,314.4871,43:36.0,43:36.5,3,S1,ProcessingSpeed
RIGHT,850.0000017,,,DOWN,312.8846,43:37.4,43:37.9,4,S1,ProcessingSpeed
LEFT,700.0000014,,,DOWN,338.7463,43:38.6,43:39.2,5,S1,ProcessingSpeed
LEFT,916.6666685,,,DOWN,282.4567,43:40.2,43:40.7,6,S1,ProcessingSpeed
LEFT,1216.666669,,,DOWN,274.8146,43:41.9,43:42.4,7,S1,ProcessingSpeed
RIGHT,983.3333353,,,DOWN,261.2618,43:43.4,43:43.9,8,S1,ProcessingSpeed
RIGHT,1050.000002,,,DOWN,281.5777,43:45.0,43:45.5,9,S1,ProcessingSpeed
LEFT,1116.666669,,,DOWN,307.6959,43:46.6,43:47.1,10,S1,ProcessingSpeed
RIGHT,1333.333336,,,DOWN,296.1424,43:48.5,43:49.0,11,S1,ProcessingSpeed
LEFT,1500.000003,,,DOWN,256.8634,43:50.5,43:51.0,12,S1,ProcessingSpeed
RIGHT,950.0000019,,,DOWN,266.2379,43:52.0,43:52.5,13,S1,ProcessingSpeed
RIGHT,1400.000003,,,DOWN,302.1976,43:53.9,43:54.4,14,S1,ProcessingSpeed
LEFT,566.6666678,,,DOWN,290.3552,43:55.0,43:55.6,15,S1,ProcessingSpeed
RIGHT,816.6666683,,,DOWN,252.4687,43:56.4,43:56.9,16,S1,ProcessingSpeed
LEFT,950.0000019,,,DOWN,260.4459,43:57.8,43:58.3,17,S1,ProcessingSpeed
LEFT,816.6666683,,,DOWN,311.0443,43:59.2,43:59.7,18,S1,ProcessingSpeed
RIGHT,1083.333336,,,DOWN,290.3115,44:00.8,44:01.3,19,S1,ProcessingSpeed
RIGHT,1183.333336,,,DOWN,270.7256,44:02.5,44:03.0,20,S1,ProcessingSpeed
RIGHT,783.3333349,,,DOWN,311.029,44:03.8,44:04.4,21,S1,ProcessingSpeed
RIGHT,1016.666669,,,DOWN,269.4501,44:05.4,44:05.9,22,S1,ProcessingSpeed
RIGHT,600.0000012,,,DOWN,338.5459,44:06.5,44:07.0,23,S1,ProcessingSpeed
LEFT,1433.333336,DOWN,-991.008,DOWN,240.9277,44:08.5,44:08.9,24,S1,ProcessingSpeed
LEFT,1183.333336,,,DOWN,280.181,44:10.1,44:10.6,25,S1,ProcessingSpeed
LEFT,1016.666669,,,DOWN,303.7853,44:11.7,44:12.2,26,S1,ProcessingSpeed
RIGHT,566.6666678,,,DOWN,286.1734,44:12.8,44:13.3,27,S1,ProcessingSpeed
RIGHT,916.6666685,,,DOWN,250.1206,44:14.3,44:14.7,28,S1,ProcessingSpeed
LEFT,1366.666669,,,DOWN,295.592,44:16.1,44:16.6,29,S1,ProcessingSpeed
RIGHT,733.3333348,,,DOWN,286.7732,44:17.4,44:17.9,30,S1,ProcessingSpeed
RIGHT,1466.66667,,,DOWN,269.7156,44:19.4,44:19.9,31,S1,ProcessingSpeed
RIGHT,500.000001,,,DOWN,336.5995,44:20.4,44:21.0,32,S1,ProcessingSpeed
RIGHT,533.3333344,,,DOWN,357.3137,44:21.6,44:22.1,33,S1,ProcessingSpeed
LEFT,883.3333351,,,DOWN,265.3181,44:23.0,44:23.5,34,S1,ProcessingSpeed
RIGHT,1366.666669,,,DOWN,310.6975,44:24.9,44:25.4,35,S1,ProcessingSpeed
RIGHT,1433.333336,,,DOWN,262.6419,44:26.9,44:27.4,36,S1,ProcessingSpeed
LEFT,783.3333349,,,DOWN,263.9035,44:28.2,44:28.7,37,S1,ProcessingSpeed
RIGHT,1266.666669,,,DOWN,267.3716,44:30.0,44:30.4,38,S1,ProcessingSpeed
LEFT,666.666668,,,DOWN,263.2114,44:31.1,44:31.6,39,S1,ProcessingSpeed
RIGHT,700.0000014,,,DOWN,277.0737,44:32.3,44:32.8,40,S1,ProcessingSpeed
LEFT,1083.333336,,,DOWN,278.9628,44:33.9,44:34.5,41,S1,ProcessingSpeed
LEFT,733.3333348,,,DOWN,336.9983,44:35.2,44:35.8,42,S1,ProcessingSpeed
RIGHT,883.3333351,,,DOWN,261.2653,44:36.7,44:37.2,43,S1,ProcessingSpeed
LEFT,1150.000002,,,DOWN,263.9457,44:38.3,44:38.8,44,S1,ProcessingSpeed
RIGHT,1300.000003,,,DOWN,278.8829,44:40.2,44:40.6,45,S1,ProcessingSpeed
LEFT,1466.66667,,,DOWN,267.4239,44:42.1,44:42.6,46,S1,ProcessingSpeed
LEFT,600.0000012,,,DOWN,314.2901,44:43.3,44:43.8,47,S1,ProcessingSpeed
LEFT,1333.333336,,,DOWN,288.9675,44:45.1,44:45.7,48,S1,ProcessingSpeed
LEFT,1400.000003,,,DOWN,287.3624,44:47.1,44:47.6,49,S1,ProcessingSpeed
LEFT,1266.666669,,,DOWN,328.1522,44:48.9,44:49.4,50,S1,ProcessingSpeed
RIGHT,1150.000002,,,DOWN,255.2433,44:50.6,44:51.1,51,S1,ProcessingSpeed
LEFT,633.3333346,,,DOWN,307.9172,44:51.7,44:52.3,52,S1,ProcessingSpeed
LEFT,1050.000002,,,DOWN,351.0239,44:53.4,44:53.9,53,S1,ProcessingSpeed
RIGHT,633.3333346,,,DOWN,312.5871,44:54.6,44:55.1,54,S1,ProcessingSpeed
LEFT,533.3333344,,,DOWN,597.0672,44:55.7,44:56.5,55,S1,ProcessingSpeed
LEFT,500.000001,,,DOWN,324.2731,44:57.0,44:57.6,56,S1,ProcessingSpeed
LEFT,1300.000003,,,DOWN,314.6951,44:58.9,44:59.4,57,S1,ProcessingSpeed
RIGHT,666.666668,,,DOWN,330.249,45:00.1,45:00.7,58,S1,ProcessingSpeed
LEFT,983.3333353,,,DOWN,243.0931,45:01.7,45:02.1,59,S1,ProcessingSpeed
LEFT,850.0000017,,,DOWN,310.3871,45:03.0,45:03.6,60,S1,ProcessingSpeed
