Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,883.3333351,,,LEFT,267.6358,45:38.9,45:39.4,1,S1,ResponseSelection
RIGHT,1150.000002,,,RIGHT,283.3645,45:40.6,45:41.1,2,S1,ResponseSelection
RIGHT,1133.333336,,,RIGHT,344.5281,45:42.3,45:42.8,3,S1,ResponseSelection
LEFT,850.0000017,,,LEFT,272.3707,45:43.7,45:44.2,4,S1,ResponseSelection
RIGHT,1383.333336,,,RIGHT,279.7515,45:45.6,45:46.1,5,S1,ResponseSelection
LEFT,783.3333349,,,LEFT,264.202,45:46.9,45:47.4,6,S1,ResponseSelection
LEFT,516.6666677,,,LEFT,343.3322,45:47.9,45:48.5,7,S1,ResponseSelection
RIGHT,800.0000016,,,RIGHT,283.3039,45:49.3,45:49.8,8,S1,ResponseSelection
RIGHT,766.6666682,,,RIGHT,343.7197,45:50.6,45:51.2,9,S1,ResponseSelection
LEFT,750.0000015,,,LEFT,330.1516,45:51.9,45:52.5,10,S1,ResponseSelection
LEFT,1233.333336,,,LEFT,334.3461,45:53.8,45:54.3,11,S1,ResponseSelection
LEFT,1333.333336,,,LEFT,355.7909,45:55.7,45:56.2,12,S1,ResponseSelection
RIGHT,616.6666679,,,RIGHT,287.9739,45:56.9,45:57.4,13,S1,ResponseSelection
RIGHT,566.6666678,,,RIGHT,323.8202,45:58.0,45:58.5,14,S1,ResponseSelection
RIGHT,1350.000003,,,RIGHT,319.092,45:59.9,46:00.4,15,S1,ResponseSelection
LEFT,1300.000003,,,LEFT,409.3315,46:01.7,46:02.4,16,S1,ResponseSelection
RIGHT,1166.666669,,,RIGHT,364.3693,46:03.6,46:04.1,17,S1,ResponseSelection
LEFT,583.3333345,,,LEFT,413.6288,46:04.8,46:05.4,18,S1,ResponseSelection
LEFT,1166.666669,,,LEFT,489.9532,46:06.6,46:07.3,19,S1,ResponseSelection
LEFT,800.0000016,,,LEFT,445.3148,46:08.1,46:08.8,20,S1,ResponseSelection
LEFT,1100.000002,,,LEFT,343.4725,46:09.9,46:10.4,21,S1,ResponseSelection
RIGHT,1116.666669,,,RIGHT,296.0385,46:11.6,46:12.1,22,S1,ResponseSelection
RIGHT,1200.000002,,,RIGHT,405.6064,46:13.3,46:13.9,23,S1,ResponseSelection
RIGHT,533.3333344,,,RIGHT,339.5568,46:14.5,46:15.1,24,S1,ResponseSelection
LEFT,1316.666669,,,LEFT,286.049,46:16.4,46:16.9,25,S1,ResponseSelection
RIGHT,933.3333352,,,RIGHT,294.5722,46:17.9,46:18.4,26,S1,ResponseSelection
LEFT,700.0000014,,,LEFT,355.3362,46:19.1,46:19.7,27,S1,ResponseSelection
LEFT,1500.000003,,,LEFT,289.1056,46:21.2,46:21.7,28,S1,ResponseSelection
LEFT,1483.333336,,,LEFT,281.2869,46:23.2,46:23.7,29,S1,ResponseSelection
LEFT,1050.000002,,,LEFT,325.6861,46:24.8,46:25.3,30,S1,ResponseSelection
LEFT,966.6666686,,,LEFT,310.1253,46:26.3,46:26.8,31,S1,ResponseSelection
RIGHT,1483.333336,,,RIGHT,283.0246,46:28.3,46:28.8,32,S1,ResponseSelection
