Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
CONGRUENT,RIGHT,1416.6666695000001,,,,,RIGHT,1259.1092999999773,2019-10-31 16:26:36.339439,2019-10-31 16:26:37.807484,1,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,766.6666682,,,,,Time_Max_Exceeded,1500.0687000000426,2019-10-31 16:26:38.595128,2019-10-31 16:26:40.095894,2,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,900.0000018000001,,,,,RIGHT,574.835099999973,2019-10-31 16:26:41.016053,2019-10-31 16:26:41.798742,3,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1250.0000025,,,,,LEFT,609.4730999999456,2019-10-31 16:26:43.078991,2019-10-31 16:26:43.896482,4,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,616.6666679,,,,,LEFT,819.5967000000337,2019-10-31 16:26:44.541523,2019-10-31 16:26:45.569429,5,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,716.6666681,,,,,RIGHT,497.7967999999464,2019-10-31 16:26:46.315192,2019-10-31 16:26:47.021223,6,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1300.0000026,,,,,LEFT,519.2080000000487,2019-10-31 16:26:48.352687,2019-10-31 16:26:49.079784,7,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,700.0000014,,,,,LEFT,451.81800000000294,2019-10-31 16:26:49.808539,2019-10-31 16:26:50.469134,8,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1400.0000028,,,,,LEFT,414.9625999999671,2019-10-31 16:26:51.899248,2019-10-31 16:26:52.521923,9,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,516.6666677000001,,,,,RIGHT,529.5595000000048,2019-10-31 16:26:53.066947,2019-10-31 16:26:53.805445,10,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1483.3333363,,,,,RIGHT,705.7585000000017,2019-10-31 16:26:55.315740,2019-10-31 16:26:56.230318,11,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,616.6666679,,,,,RIGHT,975.4345999999714,2019-10-31 16:26:56.867338,2019-10-31 16:26:58.051409,12,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1100.0000022,,,,,LEFT,784.2560999999932,2019-10-31 16:26:59.178722,2019-10-31 16:27:00.171330,13,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,666.6666680000001,,,,,RIGHT,508.3013999999366,2019-10-31 16:27:00.861351,2019-10-31 16:27:01.576700,14,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,566.6666678,,,,,LEFT,523.0953000000227,2019-10-31 16:27:02.163792,2019-10-31 16:27:02.895114,15,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,766.6666682,,,,,RIGHT,404.1936999999507,2019-10-31 16:27:03.691263,2019-10-31 16:27:04.302784,16,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,866.6666684,,,,,LEFT,449.3432000000439,2019-10-31 16:27:05.196094,2019-10-31 16:27:05.852853,17,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1033.3333354000001,,,,,RIGHT,430.7397000000037,2019-10-31 16:27:06.917134,2019-10-31 16:27:07.554678,18,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1066.6666688,,,,,LEFT,379.20169999995323,2019-10-31 16:27:08.640789,2019-10-31 16:27:09.227473,19,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,916.6666685,,,,,LEFT,586.1440999999559,2019-10-31 16:27:10.172711,2019-10-31 16:27:10.967110,20,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1383.3333361,,,,,LEFT,569.8846999999887,2019-10-31 16:27:12.379480,2019-10-31 16:27:13.157100,21,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1466.6666696,,,,,LEFT,606.6053999999212,2019-10-31 16:27:14.653000,2019-10-31 16:27:15.467127,22,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1300.0000026,,,,,RIGHT,478.5534000000098,2019-10-31 16:27:16.797126,2019-10-31 16:27:17.483220,23,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1133.3333356,,,,,RIGHT,564.1442999999526,2019-10-31 16:27:18.645463,2019-10-31 16:27:19.417885,24,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1233.3333358,,,,,RIGHT,539.7570999999743,2019-10-31 16:27:20.671384,2019-10-31 16:27:21.419275,25,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,950.0000019,,,,,LEFT,521.9608000001017,2019-10-31 16:27:22.397110,2019-10-31 16:27:23.127461,26,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1300.0000026,,,,,RIGHT,415.4896000000008,2019-10-31 16:27:24.458277,2019-10-31 16:27:25.081990,27,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1283.3333359,,,,,RIGHT,607.9623999999058,2019-10-31 16:27:26.393483,2019-10-31 16:27:27.209288,28,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1100.0000022,,,,,RIGHT,371.8853999999965,2019-10-31 16:27:28.338928,2019-10-31 16:27:28.918710,29,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1183.3333357000001,,,,,LEFT,418.08960000003026,2019-10-31 16:27:30.131873,2019-10-31 16:27:30.756801,30,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1200.0000024,,,,,RIGHT,601.2054999999918,2019-10-31 16:27:31.984959,2019-10-31 16:27:32.795077,31,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,583.3333345,,,,,RIGHT,619.1761000000042,2019-10-31 16:27:33.407391,2019-10-31 16:27:34.234480,32,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,550.0000011,,,,,LEFT,666.1894000000075,2019-10-31 16:27:34.813937,2019-10-31 16:27:35.687845,33,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1483.3333363,,,,,RIGHT,536.0336999999618,2019-10-31 16:27:37.202589,2019-10-31 16:27:37.945514,34,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1350.0000027,,,,,RIGHT,636.9447999999238,2019-10-31 16:27:39.325347,2019-10-31 16:27:40.170882,35,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,816.6666683,,,,,RIGHT,578.7258000000293,2019-10-31 16:27:41.017972,2019-10-31 16:27:41.804265,36,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,516.6666677000001,,,,,LEFT,450.1185000000305,2019-10-31 16:27:42.350784,2019-10-31 16:27:43.009208,37,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1216.6666691,,,,,LEFT,461.42230000009476,2019-10-31 16:27:44.254323,2019-10-31 16:27:44.923957,38,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1033.3333354000001,,,,,LEFT,324.3057999999337,2019-10-31 16:27:45.986931,2019-10-31 16:27:46.519319,39,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1416.6666695000001,,,,,LEFT,570.595400000002,2019-10-31 16:27:47.963298,2019-10-31 16:27:48.743226,40,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1166.666669,,,,,RIGHT,547.7445000000216,2019-10-31 16:27:49.932318,2019-10-31 16:27:50.687717,41,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,700.0000014,,,,,LEFT,536.8244999999661,2019-10-31 16:27:51.415043,2019-10-31 16:27:52.160113,42,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,916.6666685,,,,,LEFT,432.7310999999554,2019-10-31 16:27:53.106036,2019-10-31 16:27:53.747311,43,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1400.0000028,,,,,LEFT,529.1429000000107,2019-10-31 16:27:55.175959,2019-10-31 16:27:55.911777,44,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,783.3333349000001,,,,,RIGHT,490.65300000006573,2019-10-31 16:27:56.723573,2019-10-31 16:27:57.423031,45,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,633.3333346000001,,,,,LEFT,470.4891000000089,2019-10-31 16:27:58.076580,2019-10-31 16:27:58.756453,46,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,833.333335,,,,,LEFT,558.5860999999568,2019-10-31 16:27:59.611214,2019-10-31 16:28:00.378083,47,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1083.3333355,,,,,LEFT,496.5587000000369,2019-10-31 16:28:01.489773,2019-10-31 16:28:02.194539,48,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1200.0000024,,,,,LEFT,547.2177000000329,2019-10-31 16:28:03.425073,2019-10-31 16:28:04.179427,49,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,800.0000016,,,,,RIGHT,610.6231999999636,2019-10-31 16:28:05.008862,2019-10-31 16:28:05.827710,50,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1050.0000021,,,,,LEFT,457.23380000004,2019-10-31 16:28:06.898565,2019-10-31 16:28:07.562636,51,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,650.0000013,,,,,LEFT,663.1230000000414,2019-10-31 16:28:08.232827,2019-10-31 16:28:09.103847,52,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,816.6666683,,,,,LEFT,592.6177000000052,2019-10-31 16:28:09.951739,2019-10-31 16:28:10.752950,53,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,766.6666682,,,,,LEFT,599.7479999999769,2019-10-31 16:28:11.539869,2019-10-31 16:28:12.349318,54,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1366.6666694,,,,,RIGHT,439.2808000000059,2019-10-31 16:28:13.740984,2019-10-31 16:28:14.387747,55,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,750.0000015,,,,,RIGHT,460.2931000000581,2019-10-31 16:28:15.169647,2019-10-31 16:28:15.838988,56,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,966.6666686,,,,,LEFT,525.0894000000699,2019-10-31 16:28:16.826095,2019-10-31 16:28:17.559299,57,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1050.0000021,,,,,RIGHT,389.2379000000119,2019-10-31 16:28:18.638649,2019-10-31 16:28:19.236369,58,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1116.6666689,,,,,LEFT,596.2331999999151,2019-10-31 16:28:20.374626,2019-10-31 16:28:21.177589,59,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1100.0000022,,,,,LEFT,569.2759999999453,2019-10-31 16:28:22.308315,2019-10-31 16:28:23.085512,60,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,750.0000015,,,,,LEFT,517.1301999999969,2019-10-31 16:28:23.864311,2019-10-31 16:28:24.589943,61,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1433.3333362,,,,,LEFT,625.019199999997,2019-10-31 16:28:26.050502,2019-10-31 16:28:26.884155,62,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,833.333335,,,,,LEFT,538.6797999999544,2019-10-31 16:28:27.744151,2019-10-31 16:28:28.492301,63,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1366.6666694,,,,,RIGHT,584.7538000000441,2019-10-31 16:28:29.888425,2019-10-31 16:28:30.680785,64,6.53653955,s3,ConflictResolution
