Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,883.3333351,,,DOWN,991.8983000000026,2019-10-31 16:14:36.578890,2019-10-31 16:14:37.795041,1,1.8365461166666668,s3,ProcessingSpeed
RIGHT,1466.6666696,DOWN,-1286.139,DOWN,309.43760000000253,2019-10-31 16:14:39.278651,2019-10-31 16:14:39.796268,2,1.8365461166666668,s3,ProcessingSpeed
RIGHT,983.3333353,,,DOWN,328.8629000000043,2019-10-31 16:14:40.795922,2019-10-31 16:14:41.334033,3,1.8365461166666668,s3,ProcessingSpeed
RIGHT,916.6666685,,,DOWN,346.096799999998,2019-10-31 16:14:42.266778,2019-10-31 16:14:42.819941,4,1.8365461166666668,s3,ProcessingSpeed
LEFT,783.3333349000001,,,DOWN,302.3438999999968,2019-10-31 16:14:43.620305,2019-10-31 16:14:44.130847,5,1.8365461166666668,s3,ProcessingSpeed
LEFT,1366.6666694,,,DOWN,424.62619999999873,2019-10-31 16:14:45.513161,2019-10-31 16:14:46.146255,6,1.8365461166666668,s3,ProcessingSpeed
LEFT,500.000001,,,DOWN,456.01580000000297,2019-10-31 16:14:46.660888,2019-10-31 16:14:47.326261,7,1.8365461166666668,s3,ProcessingSpeed
LEFT,1050.0000021,,,DOWN,371.0346999999956,2019-10-31 16:14:48.385444,2019-10-31 16:14:48.966397,8,1.8365461166666668,s3,ProcessingSpeed
RIGHT,1433.3333362,,,DOWN,289.76430000000164,2019-10-31 16:14:50.408733,2019-10-31 16:14:50.908231,9,1.8365461166666668,s3,ProcessingSpeed
RIGHT,1500.000003,,,DOWN,305.5935000000005,2019-10-31 16:14:52.417898,2019-10-31 16:14:52.932509,10,1.8365461166666668,s3,ProcessingSpeed
LEFT,1216.6666691,,,DOWN,313.24080000000265,2019-10-31 16:14:54.165959,2019-10-31 16:14:54.686508,11,1.8365461166666668,s3,ProcessingSpeed
RIGHT,1083.3333355,,,DOWN,255.2582000000001,2019-10-31 16:14:55.786245,2019-10-31 16:14:56.249810,12,1.8365461166666668,s3,ProcessingSpeed
RIGHT,700.0000014,,,DOWN,355.0869999999975,2019-10-31 16:14:56.966447,2019-10-31 16:14:57.529510,13,1.8365461166666668,s3,ProcessingSpeed
RIGHT,1116.6666689,,,DOWN,306.1536000000018,2019-10-31 16:14:58.662942,2019-10-31 16:14:59.176579,14,1.8365461166666668,s3,ProcessingSpeed
