Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,1483.333336,FALSE,,"('Time_Max_Exceeded', 0.3713000000402644)",0,LEFT,448.3401,44:50.8,44:51.4,1,s4,ResponseInhibition
RIGHT,1216.666669,FALSE,,"('Time_Max_Exceeded', 1217.0081999999525)",0,RIGHT,496.9827,44:52.7,44:53.4,2,s4,ResponseInhibition
RIGHT,566.6666678,FALSE,,"('Time_Max_Exceeded', 0.426500000003216)",0,RIGHT,381.979,44:53.9,44:54.5,3,s4,ResponseInhibition
RIGHT,983.3333353,TRUE,16.6666667,"('Time_Max_Exceeded', 983.6624000000143)",0,Time_Max_Exceeded,1500.058767,44:55.5,44:57.0,4,s4,ResponseInhibition
RIGHT,933.3333352,FALSE,,"('Time_Max_Exceeded', 933.3817000000408)",0,RIGHT,392.4651,44:58.0,44:58.6,5,s4,ResponseInhibition
RIGHT,800.0000016,FALSE,,"('Time_Max_Exceeded', 802.0915000000173)",0,RIGHT,335.0836,44:59.4,44:59.9,6,s4,ResponseInhibition
LEFT,1433.333336,TRUE,33.3333334,"('Time_Max_Exceeded', 0.14989999999670545)",0,Time_Max_Exceeded,1500.111733,45:01.4,45:02.9,7,s4,ResponseInhibition
LEFT,1400.000003,FALSE,,"('Time_Max_Exceeded', 0.23550000003069727)",0,LEFT,502.8183,45:04.3,45:05.0,8,s4,ResponseInhibition
LEFT,933.3333352,FALSE,,"('Time_Max_Exceeded', 933.6160999999947)",0,LEFT,429.6648,45:05.9,45:06.6,9,s4,ResponseInhibition
LEFT,750.0000015,FALSE,,"('Time_Max_Exceeded', 750.3242999999884)",0,LEFT,394.2183,45:07.4,45:08.0,10,s4,ResponseInhibition
RIGHT,583.3333345,TRUE,183.3333337,"('Time_Max_Exceeded', 583.4987999999726)",0,Time_Max_Exceeded,1500.056834,45:08.5,45:10.0,11,s4,ResponseInhibition
RIGHT,833.333335,TRUE,216.6666671,"('Time_Max_Exceeded', 833.5241000000337)",0,RIGHT,498.3229671,45:10.9,45:11.6,12,s4,ResponseInhibition
RIGHT,1033.333335,FALSE,,"('Time_Max_Exceeded', 1034.4642000000022)",0,RIGHT,861.3216,45:12.7,45:13.7,13,s4,ResponseInhibition
LEFT,1116.666669,TRUE,266.6666672,"('Time_Max_Exceeded', 1116.9609000000378)",0,LEFT,475.6739672,45:14.9,45:15.5,14,s4,ResponseInhibition
RIGHT,966.6666686,FALSE,,"('Time_Max_Exceeded', 966.9173000000342)",0,RIGHT,692.7329,45:16.5,45:17.4,15,s4,ResponseInhibition
LEFT,566.6666678,FALSE,,"('Time_Max_Exceeded', 567.8102999999624)",0,LEFT,627.4712,45:18.0,45:18.8,16,s4,ResponseInhibition
RIGHT,516.6666677,FALSE,,"('Time_Max_Exceeded', 516.9978999999785)",0,RIGHT,672.5308,45:19.4,45:20.2,17,s4,ResponseInhibition
RIGHT,533.3333344,TRUE,150.0000003,"('Time_Max_Exceeded', 536.4110999999525)",0,RIGHT,443.3296003,45:20.8,45:21.5,18,s4,ResponseInhibition
RIGHT,1200.000002,FALSE,,"('Time_Max_Exceeded', 0.05020000003241876)",0,RIGHT,575.7698,45:22.7,45:23.4,19,s4,ResponseInhibition
LEFT,700.0000014,TRUE,100.0000002,"('Time_Max_Exceeded', 700.1597999999944)",0,Time_Max_Exceeded,1500.0482,45:24.2,45:25.7,20,s4,ResponseInhibition
LEFT,1350.000003,TRUE,200.0000004,"('Time_Max_Exceeded', 1350.0520999999708)",0,Time_Max_Exceeded,1500.0577,45:27.0,45:28.5,21,s4,ResponseInhibition
RIGHT,1133.333336,FALSE,,"('Time_Max_Exceeded', 1133.417800000018)",0,RIGHT,572.9291,45:29.7,45:30.4,22,s4,ResponseInhibition
RIGHT,1483.333336,TRUE,100.0000002,"('Time_Max_Exceeded', 1483.6975000000052)",0,Time_Max_Exceeded,1500.0513,45:31.9,45:33.4,23,s4,ResponseInhibition
LEFT,1283.333336,TRUE,283.3333339,"('Time_Max_Exceeded', 1283.3883999999784)",0,Time_Max_Exceeded,1500.054234,45:34.7,45:36.2,24,s4,ResponseInhibition
LEFT,516.6666677,FALSE,,"('Time_Max_Exceeded', 0.4749999999944521)",0,LEFT,506.2743,45:36.8,45:37.5,25,s4,ResponseInhibition
LEFT,950.0000019,TRUE,133.3333336,"('Time_Max_Exceeded', 950.1976999999897)",0,Time_Max_Exceeded,1500.058734,45:38.4,45:39.9,26,s4,ResponseInhibition
RIGHT,683.3333347,FALSE,,"('Time_Max_Exceeded', 683.522000000039)",0,RIGHT,521.8316,45:40.6,45:41.4,27,s4,ResponseInhibition
RIGHT,883.3333351,FALSE,,"('Time_Max_Exceeded', 883.6708000000044)",0,RIGHT,385.0087,45:42.3,45:42.9,28,s4,ResponseInhibition
LEFT,1383.333336,FALSE,,"('Time_Max_Exceeded', 1383.547799999974)",0,LEFT,408.7638,45:44.2,45:44.9,29,s4,ResponseInhibition
RIGHT,850.0000017,FALSE,,"('Time_Max_Exceeded', 850.3106000000002)",0,RIGHT,370.1647,45:45.7,45:46.3,30,s4,ResponseInhibition
RIGHT,750.0000015,TRUE,300.0000006,"('Time_Max_Exceeded', 750.3401999999824)",0,RIGHT,503.7455006,45:47.1,45:47.8,31,s4,ResponseInhibition
RIGHT,600.0000012,FALSE,,"('Time_Max_Exceeded', 600.2080000000092)",0,RIGHT,493.113,45:48.4,45:49.1,32,s4,ResponseInhibition
LEFT,1466.66667,FALSE,,"('Time_Max_Exceeded', 0.06879999995135222)",0,LEFT,888.1041,45:50.6,45:51.7,33,s4,ResponseInhibition
RIGHT,1166.666669,FALSE,,"('Time_Max_Exceeded', 1166.9309999999768)",0,RIGHT,366.6801,45:52.8,45:53.4,34,s4,ResponseInhibition
