Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1500.000003,,,LEFT,323.27860000000896,2019-11-06 16:56:58.136609,2019-11-06 16:56:58.680902,1,2.3445121833333333,S6,Response_Selection
RIGHT,733.3333348,,,RIGHT,367.01270000000363,2019-11-06 16:56:59.432120,2019-11-06 16:57:00.015698,2,2.3445121833333333,S6,Response_Selection
LEFT,1300.0000026,,,LEFT,277.1141000000057,2019-11-06 16:57:01.335006,2019-11-06 16:57:01.831364,3,2.3445121833333333,S6,Response_Selection
RIGHT,1116.6666689,,,RIGHT,292.6529000000073,2019-11-06 16:57:02.971193,2019-11-06 16:57:03.487163,4,2.3445121833333333,S6,Response_Selection
LEFT,1166.666669,,,LEFT,264.0558000000226,2019-11-06 16:57:04.672037,2019-11-06 16:57:05.158756,5,2.3445121833333333,S6,Response_Selection
RIGHT,883.3333351,,,RIGHT,253.35080000002108,2019-11-06 16:57:06.063661,2019-11-06 16:57:06.540378,6,2.3445121833333333,S6,Response_Selection
LEFT,1250.0000025,,,LEFT,287.7663999999811,2019-11-06 16:57:07.810248,2019-11-06 16:57:08.320044,7,2.3445121833333333,S6,Response_Selection
RIGHT,1500.000003,,,RIGHT,322.9588000000092,2019-11-06 16:57:09.840978,2019-11-06 16:57:10.384958,8,2.3445121833333333,S6,Response_Selection
LEFT,650.0000013,,,LEFT,348.44239999998194,2019-11-06 16:57:11.054106,2019-11-06 16:57:11.618380,9,2.3445121833333333,S6,Response_Selection
LEFT,883.3333351,,,LEFT,379.39540000002125,2019-11-06 16:57:12.523062,2019-11-06 16:57:13.124427,10,2.3445121833333333,S6,Response_Selection
RIGHT,1250.0000025,,,RIGHT,341.8574000000092,2019-11-06 16:57:14.394476,2019-11-06 16:57:14.952794,11,2.3445121833333333,S6,Response_Selection
RIGHT,1266.6666692000001,,,RIGHT,326.06279999998833,2019-11-06 16:57:16.240007,2019-11-06 16:57:16.789419,12,2.3445121833333333,S6,Response_Selection
LEFT,1466.6666696,,,LEFT,302.7165000000025,2019-11-06 16:57:18.277236,2019-11-06 16:57:18.803003,13,2.3445121833333333,S6,Response_Selection
LEFT,1366.6666694,,,LEFT,459.43559999997774,2019-11-06 16:57:20.190994,2019-11-06 16:57:20.866286,14,2.3445121833333333,S6,Response_Selection
RIGHT,1450.0000029,,,RIGHT,267.60419999999385,2019-11-06 16:57:22.329863,2019-11-06 16:57:22.818221,15,2.3445121833333333,S6,Response_Selection
RIGHT,750.0000015,,,RIGHT,311.21740000000386,2019-11-06 16:57:23.589210,2019-11-06 16:57:24.124129,16,2.3445121833333333,S6,Response_Selection
RIGHT,683.3333347,,,RIGHT,297.93990000001713,2019-11-06 16:57:24.825109,2019-11-06 16:57:25.339843,17,2.3445121833333333,S6,Response_Selection
RIGHT,700.0000014,,,RIGHT,328.09050000000184,2019-11-06 16:57:26.062000,2019-11-06 16:57:26.608057,18,2.3445121833333333,S6,Response_Selection
RIGHT,533.3333344,,,RIGHT,297.39309999999364,2019-11-06 16:57:27.163217,2019-11-06 16:57:27.684394,19,2.3445121833333333,S6,Response_Selection
LEFT,1033.3333354000001,,,LEFT,359.4953999999859,2019-11-06 16:57:28.738959,2019-11-06 16:57:29.321343,20,2.3445121833333333,S6,Response_Selection
LEFT,833.333335,,,LEFT,340.1657,2019-11-06 16:57:30.177025,2019-11-06 16:57:30.736947,21,2.3445121833333333,S6,Response_Selection
LEFT,1450.0000029,,,LEFT,344.71039999999675,2019-11-06 16:57:32.208557,2019-11-06 16:57:32.775710,22,2.3445121833333333,S6,Response_Selection
RIGHT,1400.0000028,,,RIGHT,295.27769999998554,2019-11-06 16:57:34.194877,2019-11-06 16:57:34.711132,23,2.3445121833333333,S6,Response_Selection
RIGHT,933.3333352,,,RIGHT,303.5709000000111,2019-11-06 16:57:35.662835,2019-11-06 16:57:36.190246,24,2.3445121833333333,S6,Response_Selection
LEFT,583.3333345,,,RIGHT,312.66740000000937,2019-11-06 16:57:36.795057,2019-11-06 16:57:37.330887,25,2.3445121833333333,S6,Response_Selection
RIGHT,1066.6666688,,,RIGHT,421.5904000000137,2019-11-06 16:57:38.417999,2019-11-06 16:57:39.055990,26,2.3445121833333333,S6,Response_Selection
LEFT,700.0000014,,,LEFT,345.1921999999854,2019-11-06 16:57:39.776608,2019-11-06 16:57:40.344985,27,2.3445121833333333,S6,Response_Selection
RIGHT,866.6666684,,,RIGHT,284.7672999999986,2019-11-06 16:57:41.230996,2019-11-06 16:57:41.730943,28,2.3445121833333333,S6,Response_Selection
LEFT,533.3333344,,,LEFT,304.175999999984,2019-11-06 16:57:42.285085,2019-11-06 16:57:42.813200,29,2.3445121833333333,S6,Response_Selection
LEFT,1016.6666687000001,,,LEFT,382.07159999996065,2019-11-06 16:57:43.848894,2019-11-06 16:57:44.454673,30,2.3445121833333333,S6,Response_Selection
LEFT,500.000001,,,LEFT,341.2438000000293,2019-11-06 16:57:44.973327,2019-11-06 16:57:45.538181,31,2.3445121833333333,S6,Response_Selection
RIGHT,1350.0000027,,,RIGHT,326.21449999999186,2019-11-06 16:57:46.908846,2019-11-06 16:57:47.458826,32,2.3445121833333333,S6,Response_Selection
LEFT,633.3333346000001,,,LEFT,330.1779999999894,2019-11-06 16:57:48.111295,2019-11-06 16:57:48.665307,33,2.3445121833333333,S6,Response_Selection
LEFT,933.3333352,,,LEFT,326.03890000001456,2019-11-06 16:57:49.619964,2019-11-06 16:57:50.168753,34,2.3445121833333333,S6,Response_Selection
RIGHT,800.0000016,,,RIGHT,330.8837000000153,2019-11-06 16:57:50.989640,2019-11-06 16:57:51.536386,35,2.3445121833333333,S6,Response_Selection
LEFT,966.6666686,,,LEFT,348.32300000005034,2019-11-06 16:57:52.519959,2019-11-06 16:57:53.090252,36,2.3445121833333333,S6,Response_Selection
LEFT,1200.0000024,,,LEFT,342.8586999999652,2019-11-06 16:57:54.308843,2019-11-06 16:57:54.862155,37,2.3445121833333333,S6,Response_Selection
LEFT,550.0000011,,,LEFT,356.6566999999736,2019-11-06 16:57:55.433232,2019-11-06 16:57:56.013015,38,2.3445121833333333,S6,Response_Selection
RIGHT,1300.0000026,,,RIGHT,315.5145999999718,2019-11-06 16:57:57.329535,2019-11-06 16:57:57.867981,39,2.3445121833333333,S6,Response_Selection
RIGHT,916.6666685,,,RIGHT,333.9600999999561,2019-11-06 16:57:58.808851,2019-11-06 16:57:59.365616,40,2.3445121833333333,S6,Response_Selection
RIGHT,1216.6666691,,,RIGHT,311.18780000002744,2019-11-06 16:58:00.607074,2019-11-06 16:58:01.141977,41,2.3445121833333333,S6,Response_Selection
LEFT,1066.6666688,,,LEFT,377.83099999995784,2019-11-06 16:58:02.229999,2019-11-06 16:58:02.831381,42,2.3445121833333333,S6,Response_Selection
RIGHT,650.0000013,,,RIGHT,281.18050000000494,2019-11-06 16:58:03.502940,2019-11-06 16:58:04.007069,43,2.3445121833333333,S6,Response_Selection
LEFT,1416.6666695000001,,,LEFT,355.09550000000445,2019-11-06 16:58:05.443835,2019-11-06 16:58:06.019870,44,2.3445121833333333,S6,Response_Selection
LEFT,600.0000012,,,LEFT,363.7779000000023,2019-11-06 16:58:06.640759,2019-11-06 16:58:07.226340,45,2.3445121833333333,S6,Response_Selection
RIGHT,966.6666686,,,RIGHT,317.3406999999884,2019-11-06 16:58:08.214144,2019-11-06 16:58:08.748304,46,2.3445121833333333,S6,Response_Selection
RIGHT,1416.6666695000001,,,RIGHT,330.6312999999932,2019-11-06 16:58:10.186699,2019-11-06 16:58:10.736865,47,2.3445121833333333,S6,Response_Selection
RIGHT,633.3333346000001,,,RIGHT,357.27390000005244,2019-11-06 16:58:11.390710,2019-11-06 16:58:11.975220,48,2.3445121833333333,S6,Response_Selection
LEFT,1116.6666689,,,LEFT,375.5666000000133,2019-11-06 16:58:13.110046,2019-11-06 16:58:13.701905,49,2.3445121833333333,S6,Response_Selection
RIGHT,833.333335,,,RIGHT,334.43119999998316,2019-11-06 16:58:14.553029,2019-11-06 16:58:15.102899,50,2.3445121833333333,S6,Response_Selection
RIGHT,550.0000011,,,RIGHT,464.02100000000246,2019-11-06 16:58:15.673811,2019-11-06 16:58:16.360102,51,2.3445121833333333,S6,Response_Selection
LEFT,783.3333349000001,,,LEFT,353.0954999999949,2019-11-06 16:58:17.166333,2019-11-06 16:58:17.742406,52,2.3445121833333333,S6,Response_Selection
LEFT,1216.6666691,,,LEFT,411.66189999995595,2019-11-06 16:58:18.978943,2019-11-06 16:58:19.612218,53,2.3445121833333333,S6,Response_Selection
RIGHT,1083.3333355,,,RIGHT,607.1131999999579,2019-11-06 16:58:20.720802,2019-11-06 16:58:21.550258,54,2.3445121833333333,S6,Response_Selection
LEFT,983.3333353,,,LEFT,284.86409999999296,2019-11-06 16:58:22.554096,2019-11-06 16:58:23.061840,55,2.3445121833333333,S6,Response_Selection
RIGHT,983.3333353,,,RIGHT,279.2317000000253,2019-11-06 16:58:24.066976,2019-11-06 16:58:24.568898,56,2.3445121833333333,S6,Response_Selection
RIGHT,600.0000012,,,RIGHT,404.4069000000263,2019-11-06 16:58:25.191142,2019-11-06 16:58:25.818593,57,2.3445121833333333,S6,Response_Selection
LEFT,750.0000015,,,LEFT,368.6859000000027,2019-11-06 16:58:26.591222,2019-11-06 16:58:27.183615,58,2.3445121833333333,S6,Response_Selection
RIGHT,500.000001,,,RIGHT,369.1082999999935,2019-11-06 16:58:27.705206,2019-11-06 16:58:28.296924,59,2.3445121833333333,S6,Response_Selection
LEFT,1266.6666692000001,,,LEFT,339.9469999999951,2019-11-06 16:58:29.585288,2019-11-06 16:58:30.148410,60,2.3445121833333333,S6,Response_Selection
RIGHT,583.3333345,,,RIGHT,259.1985999999906,2019-11-06 16:58:30.753685,2019-11-06 16:58:31.233862,61,2.3445121833333333,S6,Response_Selection
RIGHT,1200.0000024,,,RIGHT,316.4677999999981,2019-11-06 16:58:32.451870,2019-11-06 16:58:32.983874,62,2.3445121833333333,S6,Response_Selection
LEFT,733.3333348,,,LEFT,370.31059999998206,2019-11-06 16:58:33.736922,2019-11-06 16:58:34.331684,63,2.3445121833333333,S6,Response_Selection
LEFT,1316.6666693,,,LEFT,353.6550000000034,2019-11-06 16:58:35.669253,2019-11-06 16:58:36.236995,64,2.3445121833333333,S6,Response_Selection
RIGHT,1466.6666696,,,RIGHT,321.4477999999872,2019-11-06 16:58:37.715654,2019-11-06 16:58:38.252993,65,2.3445121833333333,S6,Response_Selection
LEFT,800.0000016,,,LEFT,298.2221999999979,2019-11-06 16:58:39.064925,2019-11-06 16:58:39.580694,66,2.3445121833333333,S6,Response_Selection
RIGHT,1366.6666694,,,RIGHT,304.85049999998637,2019-11-06 16:58:40.961798,2019-11-06 16:58:41.493388,67,2.3445121833333333,S6,Response_Selection
RIGHT,1016.6666687000001,,,RIGHT,319.4409000000178,2019-11-06 16:58:42.528750,2019-11-06 16:58:43.084727,68,2.3445121833333333,S6,Response_Selection
LEFT,1083.3333355,,,LEFT,328.3885999999825,2019-11-06 16:58:44.188900,2019-11-06 16:58:44.743917,69,2.3445121833333333,S6,Response_Selection
LEFT,1133.3333356,,,LEFT,320.91759999997294,2019-11-06 16:58:45.903645,2019-11-06 16:58:46.452257,70,2.3445121833333333,S6,Response_Selection
RIGHT,1033.3333354000001,,,RIGHT,259.68800000003966,2019-11-06 16:58:47.505036,2019-11-06 16:58:47.997813,71,2.3445121833333333,S6,Response_Selection
RIGHT,1316.6666693,,,RIGHT,263.28300000000127,2019-11-06 16:58:49.335809,2019-11-06 16:58:49.825013,72,2.3445121833333333,S6,Response_Selection
LEFT,866.6666684,,,LEFT,336.64629999998397,2019-11-06 16:58:50.711403,2019-11-06 16:58:51.276673,73,2.3445121833333333,S6,Response_Selection
RIGHT,783.3333349000001,,,RIGHT,287.2102999999697,2019-11-06 16:58:52.080703,2019-11-06 16:58:52.594847,74,2.3445121833333333,S6,Response_Selection
RIGHT,1166.666669,,,RIGHT,288.4220000000255,2019-11-06 16:58:53.783915,2019-11-06 16:58:54.294866,75,2.3445121833333333,S6,Response_Selection
LEFT,1350.0000027,,,LEFT,329.91190000001325,2019-11-06 16:58:55.665482,2019-11-06 16:58:56.216093,76,2.3445121833333333,S6,Response_Selection
RIGHT,1133.3333356,,,RIGHT,266.37319999997544,2019-11-06 16:58:57.369807,2019-11-06 16:58:57.857727,77,2.3445121833333333,S6,Response_Selection
LEFT,1400.0000028,,,LEFT,319.8709999999778,2019-11-06 16:58:59.278855,2019-11-06 16:58:59.821881,78,2.3445121833333333,S6,Response_Selection
LEFT,683.3333347,,,LEFT,473.24290000000246,2019-11-06 16:59:00.525612,2019-11-06 16:59:01.222274,79,2.3445121833333333,S6,Response_Selection
LEFT,916.6666685,,,LEFT,350.08570000002237,2019-11-06 16:59:02.160764,2019-11-06 16:59:02.721889,80,2.3445121833333333,S6,Response_Selection
