Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,1450.0000029,False,,,,RIGHT,397.8002999999717,2019-11-07 18:40:13.597258,2019-11-07 18:40:14.232252,1.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1233.3333358,False,,,,LEFT,272.1936000000369,2019-11-07 18:40:15.503005,2019-11-07 18:40:16.012401,2.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1083.3333355,False,,,,LEFT,307.99989999997024,2019-11-07 18:40:17.135511,2019-11-07 18:40:17.684337,3.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1500.000003,False,,,,RIGHT,785.0584000000254,2019-11-07 18:40:19.218193,2019-11-07 18:40:20.238179,4.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1216.6666691,False,,,,LEFT,324.02030000002924,2019-11-07 18:40:21.484499,2019-11-07 18:40:22.033156,5.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,633.3333346000001,True,50.0000001,,,Time_Max_Exceeded,1500.182200100029,2019-11-07 18:40:22.695216,2019-11-07 18:40:24.205365,6.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,700.0000014,True,83.33333350000001,,,RIGHT,306.4936335000177,2019-11-07 18:40:24.935722,2019-11-07 18:40:25.488963,7.0,2.7008865666666666,S7,Response_Inhibition
LEFT,850.0000017,False,,,,LEFT,327.234800000042,2019-11-07 18:40:26.373215,2019-11-07 18:40:26.924024,8.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1083.3333355,False,,,,RIGHT,436.33490000001984,2019-11-07 18:40:28.034407,2019-11-07 18:40:28.686139,9.0,2.7008865666666666,S7,Response_Inhibition
LEFT,733.3333348,False,,,,LEFT,724.1813999999636,2019-11-07 18:40:29.447539,2019-11-07 18:40:30.394781,10.0,2.7008865666666666,S7,Response_Inhibition
LEFT,583.3333345,True,116.6666669,,,LEFT,372.6998668999903,2019-11-07 18:40:31.003190,2019-11-07 18:40:31.598890,11.0,2.7008865666666666,S7,Response_Inhibition
LEFT,600.0000012,False,,,,LEFT,346.6968000000179,2019-11-07 18:40:32.224032,2019-11-07 18:40:32.789889,12.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1050.0000021,False,,,,LEFT,375.6419000000051,2019-11-07 18:40:33.865268,2019-11-07 18:40:34.459721,13.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1200.0000024,False,,,,LEFT,714.0656999999919,2019-11-07 18:40:35.689221,2019-11-07 18:40:36.622180,14.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,933.3333352,True,216.6666671,,,Time_Max_Exceeded,1500.1481670999935,2019-11-07 18:40:37.581342,2019-11-07 18:40:39.092009,15.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1066.6666688,False,,,,LEFT,281.9840999999883,2019-11-07 18:40:40.177218,2019-11-07 18:40:40.676777,16.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1050.0000021,False,,,,RIGHT,331.45060000003923,2019-11-07 18:40:41.759841,2019-11-07 18:40:42.314441,17.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,800.0000016,False,,,,RIGHT,395.3050999999732,2019-11-07 18:40:43.141520,2019-11-07 18:40:43.754594,18.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,616.6666679,False,,,,RIGHT,430.0609000000577,2019-11-07 18:40:44.397379,2019-11-07 18:40:45.050393,19.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1216.6666691,True,33.3333334,,,Time_Max_Exceeded,1500.124633400068,2019-11-07 18:40:46.294370,2019-11-07 18:40:47.802358,20.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1283.3333359,False,,,,LEFT,302.4278000000322,2019-11-07 18:40:49.102187,2019-11-07 18:40:49.624933,21.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1416.6666695000001,True,33.3333334,,,Time_Max_Exceeded,1500.2465334000217,2019-11-07 18:40:51.067122,2019-11-07 18:40:52.575396,22.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1383.3333361,False,,,,RIGHT,566.1285999999564,2019-11-07 18:40:53.978118,2019-11-07 18:40:54.762516,23.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1400.0000028,True,233.3333338,,,LEFT,391.8065338000031,2019-11-07 18:40:56.185919,2019-11-07 18:40:56.802444,24.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1300.0000026,True,166.66666700000002,,,RIGHT,269.6705669999761,2019-11-07 18:40:58.134218,2019-11-07 18:40:58.634641,25.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1133.3333356,True,183.3333337,,,Time_Max_Exceeded,1500.1217336999503,2019-11-07 18:40:59.792786,2019-11-07 18:41:01.301205,26.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1150.0000023,False,,,,RIGHT,538.9897000000019,2019-11-07 18:41:02.467940,2019-11-07 18:41:03.222293,27.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1183.3333357000001,False,,,,RIGHT,308.76520000003893,2019-11-07 18:41:04.432126,2019-11-07 18:41:04.950406,28.0,2.7008865666666666,S7,Response_Inhibition
LEFT,833.333335,False,,,,LEFT,382.84859999998844,2019-11-07 18:41:05.812227,2019-11-07 18:41:06.411475,29.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,600.0000012,False,,,,RIGHT,322.3649999999907,2019-11-07 18:41:07.036238,2019-11-07 18:41:07.572261,30.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1100.0000022,True,66.6666668,,,Time_Max_Exceeded,1500.2762667999543,2019-11-07 18:41:08.698051,2019-11-07 18:41:10.206131,31.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1316.6666693,True,133.3333336,,,Time_Max_Exceeded,1500.128033600014,2019-11-07 18:41:11.543022,2019-11-07 18:41:13.049035,32.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,950.0000019,False,,,,RIGHT,494.49649999996836,2019-11-07 18:41:14.016281,2019-11-07 18:41:14.728452,33.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,900.0000018000001,False,,,,RIGHT,384.9376000000575,2019-11-07 18:41:15.656044,2019-11-07 18:41:16.265956,34.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1366.6666694,False,,,,LEFT,389.55009999995127,2019-11-07 18:41:17.667623,2019-11-07 18:41:18.294419,35.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,716.6666681,False,,,,RIGHT,276.53810000003887,2019-11-07 18:41:19.036169,2019-11-07 18:41:19.531197,36.0,2.7008865666666666,S7,Response_Inhibition
LEFT,683.3333347,False,,,,LEFT,297.52080000002934,2019-11-07 18:41:20.246095,2019-11-07 18:41:20.762632,37.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1416.6666695000001,False,,,,LEFT,328.85810000004767,2019-11-07 18:41:22.206198,2019-11-07 18:41:22.750091,38.0,2.7008865666666666,S7,Response_Inhibition
LEFT,766.6666682,False,,,,LEFT,307.33920000000126,2019-11-07 18:41:23.542032,2019-11-07 18:41:24.073965,39.0,2.7008865666666666,S7,Response_Inhibition
LEFT,1000.000002,True,200.0000004,,,LEFT,341.0057003999369,2019-11-07 18:41:25.103073,2019-11-07 18:41:25.669498,40.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,983.3333353,True,200.0000004,,,RIGHT,278.68290040010345,2019-11-07 18:41:26.679384,2019-11-07 18:41:27.184690,41.0,2.7008865666666666,S7,Response_Inhibition
RIGHT,1216.6666691,True,133.3333336,,,Time_Max_Exceeded,1500.1953335999692,2019-11-07 18:41:28.436310,2019-11-07 18:41:29.951195,42.0,2.7008865666666666,S7,Response_Inhibition
LEFT,700.0000014,True,233.3333338,,,Time_Max_Exceeded,1500.0986337999746,2019-11-07 18:41:30.671651,2019-11-07 18:41:32.178041,43.0,2.7008865666666666,S7,Response_Inhibition
