Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
RIGHT,616.6666679,FALSE,,"('Time_Max_Exceeded', 617.207800000017)",-1.001,RIGHT,841.0862,05:25.0,05:26.1,1,S2,ResponseInhibition
LEFT,1250.000003,FALSE,,"('Time_Max_Exceeded', 1250.4837999999836)",0,LEFT,569.0632,05:27.4,05:28.2,2,S2,ResponseInhibition
LEFT,650.0000013,FALSE,,"('Time_Max_Exceeded', 650.4893000000038)",0,LEFT,629.4813,05:28.8,05:29.7,3,S2,ResponseInhibition
RIGHT,983.3333353,TRUE,216.6666671,"('Time_Max_Exceeded', 983.8902999999846)",0,Time_Max_Exceeded,1500.203767,05:30.7,05:32.2,4,S2,ResponseInhibition
LEFT,1333.333336,FALSE,,"('Time_Max_Exceeded', 1333.5341999999741)",0,LEFT,608.0193,05:33.5,05:34.4,5,S2,ResponseInhibition
LEFT,800.0000016,FALSE,,"('Time_Max_Exceeded', 802.7318000000037)",0,LEFT,603.8087,05:35.2,05:36.0,6,S2,ResponseInhibition
LEFT,666.666668,FALSE,,"('Time_Max_Exceeded', 667.1590000000265)",0,LEFT,614.4684,05:36.7,05:37.5,7,S2,ResponseInhibition
RIGHT,566.6666678,FALSE,,"('Time_Max_Exceeded', 567.7729999999883)",0,RIGHT,701.9056,05:38.1,05:39.1,8,S2,ResponseInhibition
RIGHT,1016.666669,FALSE,,"('Time_Max_Exceeded', 1017.2640000000115)",0,RIGHT,594.2366,05:40.1,05:40.9,9,S2,ResponseInhibition
LEFT,1133.333336,FALSE,,"('Time_Max_Exceeded', 1133.8413999999943)",0,LEFT,377.354,05:42.1,05:42.7,10,S2,ResponseInhibition
RIGHT,583.3333345,TRUE,50.0000001,"('Time_Max_Exceeded', 583.9670999999953)",0,Time_Max_Exceeded,1500.219,05:43.3,05:44.8,11,S2,ResponseInhibition
