Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
LEFT,1500.000003,False,,,,LEFT,483.77390000001697,2019-10-31 16:19:48.092443,2019-10-31 16:19:48.783831,1,6.704649966666667,s3,ResponseInhibition
RIGHT,600.0000012,False,,,,RIGHT,315.1083999999855,2019-10-31 16:19:49.401181,2019-10-31 16:19:49.925006,2,6.704649966666667,s3,ResponseInhibition
RIGHT,1500.000003,False,,,,RIGHT,404.4216000000347,2019-10-31 16:19:51.443946,2019-10-31 16:19:52.057116,3,6.704649966666667,s3,ResponseInhibition
LEFT,1133.3333356,False,,,,LEFT,314.6911999999702,2019-10-31 16:19:53.207953,2019-10-31 16:19:53.734163,4,6.704649966666667,s3,ResponseInhibition
LEFT,1316.6666693,False,,,,LEFT,369.3660000000136,2019-10-31 16:19:55.060134,2019-10-31 16:19:55.637614,5,6.704649966666667,s3,ResponseInhibition
LEFT,1383.3333361,False,,,,LEFT,370.432400000027,2019-10-31 16:19:57.029996,2019-10-31 16:19:57.610973,6,6.704649966666667,s3,ResponseInhibition
LEFT,750.0000015,False,,,,LEFT,324.384699999996,2019-10-31 16:19:58.370436,2019-10-31 16:19:58.904482,7,6.704649966666667,s3,ResponseInhibition
RIGHT,533.3333344,False,,,,RIGHT,399.4642999999769,2019-10-31 16:19:59.455738,2019-10-31 16:20:00.063124,8,6.704649966666667,s3,ResponseInhibition
LEFT,1333.3333360000001,False,,,,LEFT,760.2605000000153,2019-10-31 16:20:01.404545,2019-10-31 16:20:02.374061,9,6.704649966666667,s3,ResponseInhibition
LEFT,1300.0000026,False,,,,LEFT,369.77080000002616,2019-10-31 16:20:03.690428,2019-10-31 16:20:04.267802,10,6.704649966666667,s3,ResponseInhibition
RIGHT,700.0000014,False,,,,RIGHT,296.6562999999951,2019-10-31 16:20:04.983465,2019-10-31 16:20:05.489057,11,6.704649966666667,s3,ResponseInhibition
LEFT,1466.6666696,False,,,,LEFT,336.8205999999532,2019-10-31 16:20:06.973217,2019-10-31 16:20:07.517510,12,6.704649966666667,s3,ResponseInhibition
LEFT,950.0000019,True,116.6666669,,,LEFT,344.8867669000441,2019-10-31 16:20:08.476003,2019-10-31 16:20:09.033311,13,6.704649966666667,s3,ResponseInhibition
RIGHT,650.0000013,False,,,,RIGHT,397.3095999999714,2019-10-31 16:20:09.702095,2019-10-31 16:20:10.308065,14,6.704649966666667,s3,ResponseInhibition
LEFT,866.6666684,True,133.3333336,,,Time_Max_Exceeded,1500.0637335999945,2019-10-31 16:20:11.192509,2019-10-31 16:20:12.696044,15,6.704649966666667,s3,ResponseInhibition
LEFT,850.0000017,False,,,,LEFT,458.16189999999324,2019-10-31 16:20:13.573802,2019-10-31 16:20:14.241027,16,6.704649966666667,s3,ResponseInhibition
RIGHT,683.3333347,False,,,,RIGHT,383.931299999972,2019-10-31 16:20:14.941495,2019-10-31 16:20:15.533842,17,6.704649966666667,s3,ResponseInhibition
LEFT,966.6666686,False,,,,LEFT,641.9001000000435,2019-10-31 16:20:16.518523,2019-10-31 16:20:17.367973,18,6.704649966666667,s3,ResponseInhibition
RIGHT,1100.0000022,False,,,,RIGHT,292.8751000000034,2019-10-31 16:20:18.484669,2019-10-31 16:20:18.986431,19,6.704649966666667,s3,ResponseInhibition
LEFT,683.3333347,False,,,,LEFT,289.0360999999757,2019-10-31 16:20:19.687570,2019-10-31 16:20:20.184794,20,6.704649966666667,s3,ResponseInhibition
LEFT,1066.6666688,False,,,,LEFT,378.41869999999744,2019-10-31 16:20:21.268559,2019-10-31 16:20:21.855001,21,6.704649966666667,s3,ResponseInhibition
RIGHT,1283.3333359,False,,,,RIGHT,598.1292000000167,2019-10-31 16:20:23.148274,2019-10-31 16:20:23.955459,22,6.704649966666667,s3,ResponseInhibition
RIGHT,766.6666682,False,,,,RIGHT,428.4195999999838,2019-10-31 16:20:24.738972,2019-10-31 16:20:25.374850,23,6.704649966666667,s3,ResponseInhibition
RIGHT,850.0000017,False,,,,RIGHT,384.4895999999949,2019-10-31 16:20:26.242720,2019-10-31 16:20:26.834067,24,6.704649966666667,s3,ResponseInhibition
LEFT,1233.3333358,False,,,,LEFT,336.67650000001004,2019-10-31 16:20:28.086034,2019-10-31 16:20:28.630565,25,6.704649966666667,s3,ResponseInhibition
LEFT,1050.0000021,False,,,,LEFT,404.13309999996727,2019-10-31 16:20:29.697847,2019-10-31 16:20:30.310861,26,6.704649966666667,s3,ResponseInhibition
LEFT,1166.666669,False,,,,LEFT,510.5835999999613,2019-10-31 16:20:31.486748,2019-10-31 16:20:32.205213,27,6.704649966666667,s3,ResponseInhibition
RIGHT,900.0000018000001,True,33.3333334,,,RIGHT,351.5983333999967,2019-10-31 16:20:33.121821,2019-10-31 16:20:33.686175,28,6.704649966666667,s3,ResponseInhibition
RIGHT,666.6666680000001,True,83.33333350000001,,,Time_Max_Exceeded,1500.0689335000382,2019-10-31 16:20:34.373016,2019-10-31 16:20:35.876378,29,6.704649966666667,s3,ResponseInhibition
RIGHT,866.6666684,False,,,,RIGHT,412.64330000001337,2019-10-31 16:20:36.753119,2019-10-31 16:20:37.374323,30,6.704649966666667,s3,ResponseInhibition
RIGHT,1016.6666687000001,False,,,,RIGHT,547.8175000000078,2019-10-31 16:20:38.407671,2019-10-31 16:20:39.162707,31,6.704649966666667,s3,ResponseInhibition
RIGHT,1216.6666691,False,,,,RIGHT,576.9750000000045,2019-10-31 16:20:40.396385,2019-10-31 16:20:41.181409,32,6.704649966666667,s3,ResponseInhibition
LEFT,1033.3333354000001,True,100.0000002,,,Time_Max_Exceeded,1500.0663001999917,2019-10-31 16:20:42.232348,2019-10-31 16:20:43.736260,33,6.704649966666667,s3,ResponseInhibition
LEFT,650.0000013,False,,,,LEFT,425.86519999997563,2019-10-31 16:20:44.396327,2019-10-31 16:20:45.030368,34,6.704649966666667,s3,ResponseInhibition
LEFT,716.6666681,False,,,,LEFT,365.83229999996547,2019-10-31 16:20:45.756213,2019-10-31 16:20:46.329196,35,6.704649966666667,s3,ResponseInhibition
RIGHT,583.3333345,True,166.66666700000002,,,Time_Max_Exceeded,1500.062966999947,2019-10-31 16:20:46.920915,2019-10-31 16:20:48.424803,36,6.704649966666667,s3,ResponseInhibition
LEFT,1250.0000025,False,,,,LEFT,338.4708000000387,2019-10-31 16:20:49.685768,2019-10-31 16:20:50.231896,37,6.704649966666667,s3,ResponseInhibition
LEFT,833.333335,False,,,,LEFT,323.94239999996444,2019-10-31 16:20:51.081741,2019-10-31 16:20:51.615433,38,6.704649966666667,s3,ResponseInhibition
LEFT,1433.3333362,True,266.6666672,,,Time_Max_Exceeded,1500.0658672000081,2019-10-31 16:20:53.064983,2019-10-31 16:20:54.568900,39,6.704649966666667,s3,ResponseInhibition
RIGHT,1233.3333358,True,250.0000005,,,RIGHT,314.2942005000062,2019-10-31 16:20:55.813259,2019-10-31 16:20:56.339261,40,6.704649966666667,s3,ResponseInhibition
RIGHT,1416.6666695000001,False,,,,RIGHT,478.3568999999943,2019-10-31 16:20:57.777189,2019-10-31 16:20:58.464023,41,6.704649966666667,s3,ResponseInhibition
LEFT,1200.0000024,True,100.0000002,,,Time_Max_Exceeded,1500.0639001999637,2019-10-31 16:20:59.682535,2019-10-31 16:21:01.185536,42,6.704649966666667,s3,ResponseInhibition
RIGHT,783.3333349000001,False,,,,RIGHT,556.2203000000068,2019-10-31 16:21:01.979993,2019-10-31 16:21:02.744243,43,6.704649966666667,s3,ResponseInhibition
LEFT,616.6666679,True,16.6666667,,,Time_Max_Exceeded,1500.0571667000413,2019-10-31 16:21:03.378311,2019-10-31 16:21:04.880992,44,6.704649966666667,s3,ResponseInhibition
RIGHT,1133.3333356,False,,,,RIGHT,570.9933000000547,2019-10-31 16:21:06.024740,2019-10-31 16:21:06.803769,45,6.704649966666667,s3,ResponseInhibition
LEFT,900.0000018000001,False,,,,LEFT,369.2111999999952,2019-10-31 16:21:07.722531,2019-10-31 16:21:08.300188,46,6.704649966666667,s3,ResponseInhibition
RIGHT,1400.0000028,True,150.0000003,,,Time_Max_Exceeded,1500.0681002999872,2019-10-31 16:21:09.716802,2019-10-31 16:21:11.220700,47,6.704649966666667,s3,ResponseInhibition
LEFT,583.3333345,False,,,,LEFT,395.819500000016,2019-10-31 16:21:11.816350,2019-10-31 16:21:12.420072,48,6.704649966666667,s3,ResponseInhibition
LEFT,600.0000012,False,,,,LEFT,575.180400000022,2019-10-31 16:21:13.039315,2019-10-31 16:21:13.821665,49,6.704649966666667,s3,ResponseInhibition
LEFT,516.6666677000001,False,,,,LEFT,447.9840000000195,2019-10-31 16:21:14.355243,2019-10-31 16:21:15.010761,50,6.704649966666667,s3,ResponseInhibition
RIGHT,1116.6666689,False,,,,RIGHT,408.7360999999987,2019-10-31 16:21:16.144114,2019-10-31 16:21:16.760709,51,6.704649966666667,s3,ResponseInhibition
LEFT,766.6666682,False,,,,LEFT,401.5160000000151,2019-10-31 16:21:17.544974,2019-10-31 16:21:18.155390,52,6.704649966666667,s3,ResponseInhibition
RIGHT,516.6666677000001,True,50.0000001,,,Time_Max_Exceeded,1500.063500099999,2019-10-31 16:21:18.690051,2019-10-31 16:21:20.194309,53,6.704649966666667,s3,ResponseInhibition
LEFT,1216.6666691,False,,,,LEFT,376.59890000003315,2019-10-31 16:21:21.421190,2019-10-31 16:21:22.005651,54,6.704649966666667,s3,ResponseInhibition
LEFT,1483.3333363,False,,,,LEFT,540.0430000000256,2019-10-31 16:21:23.507816,2019-10-31 16:21:24.256108,55,6.704649966666667,s3,ResponseInhibition
LEFT,883.3333351,False,,,,LEFT,407.3921000000382,2019-10-31 16:21:25.149197,2019-10-31 16:21:25.764707,56,6.704649966666667,s3,ResponseInhibition
LEFT,1416.6666695000001,False,,,,LEFT,317.8621999999791,2019-10-31 16:21:27.198126,2019-10-31 16:21:27.724263,57,6.704649966666667,s3,ResponseInhibition
