Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,1016.6666687000001,,,RIGHT,386.69430000001626,2019-10-31 16:16:43.909586,2019-10-31 16:16:44.505245,1,3.177617666666667,s3,ResponseSelection
LEFT,1500.000003,,,LEFT,324.1371000000015,2019-10-31 16:16:46.013928,2019-10-31 16:16:46.545681,2,3.177617666666667,s3,ResponseSelection
RIGHT,1283.3333359,,,RIGHT,269.94139999999334,2019-10-31 16:16:47.846384,2019-10-31 16:16:48.324178,3,3.177617666666667,s3,ResponseSelection
RIGHT,1033.3333354000001,,,RIGHT,372.2940000000108,2019-10-31 16:16:49.374229,2019-10-31 16:16:49.954675,4,3.177617666666667,s3,ResponseSelection
LEFT,800.0000016,,,LEFT,334.4130999999777,2019-10-31 16:16:50.770161,2019-10-31 16:16:51.313145,5,3.177617666666667,s3,ResponseSelection
LEFT,1300.0000026,,,LEFT,402.0964000000049,2019-10-31 16:16:52.631322,2019-10-31 16:16:53.242209,6,3.177617666666667,s3,ResponseSelection
LEFT,1033.3333354000001,,,LEFT,353.65300000000843,2019-10-31 16:16:54.292199,2019-10-31 16:16:54.854285,7,3.177617666666667,s3,ResponseSelection
LEFT,1016.6666687000001,,,LEFT,384.9170000000015,2019-10-31 16:16:55.887508,2019-10-31 16:16:56.479648,8,3.177617666666667,s3,ResponseSelection
LEFT,750.0000015,,,LEFT,359.827800000005,2019-10-31 16:16:57.248263,2019-10-31 16:16:57.816840,9,3.177617666666667,s3,ResponseSelection
RIGHT,1416.6666695000001,,,RIGHT,278.46759999999904,2019-10-31 16:16:59.251493,2019-10-31 16:16:59.738082,10,3.177617666666667,s3,ResponseSelection
LEFT,1166.666669,,,LEFT,279.4580999999994,2019-10-31 16:17:00.921643,2019-10-31 16:17:01.410467,11,3.177617666666667,s3,ResponseSelection
LEFT,1050.0000021,,,LEFT,369.4558999999913,2019-10-31 16:17:02.477740,2019-10-31 16:17:03.054764,12,3.177617666666667,s3,ResponseSelection
RIGHT,1300.0000026,,,RIGHT,292.29570000001104,2019-10-31 16:17:04.373691,2019-10-31 16:17:04.874131,13,3.177617666666667,s3,ResponseSelection
RIGHT,1066.6666688,,,RIGHT,407.2186000000215,2019-10-31 16:17:05.957357,2019-10-31 16:17:06.572634,14,3.177617666666667,s3,ResponseSelection
RIGHT,766.6666682,,,RIGHT,386.77229999998985,2019-10-31 16:17:07.357888,2019-10-31 16:17:07.951935,15,3.177617666666667,s3,ResponseSelection
LEFT,1133.3333356,,,LEFT,368.4765999999797,2019-10-31 16:17:09.102901,2019-10-31 16:17:09.680187,16,3.177617666666667,s3,ResponseSelection
LEFT,1283.3333359,,,LEFT,339.1059999999868,2019-10-31 16:17:10.980977,2019-10-31 16:17:11.528030,17,3.177617666666667,s3,ResponseSelection
RIGHT,1150.0000023,,,RIGHT,287.4180000000024,2019-10-31 16:17:12.693638,2019-10-31 16:17:13.189627,18,3.177617666666667,s3,ResponseSelection
RIGHT,1050.0000021,,,RIGHT,280.9039999999925,2019-10-31 16:17:14.256118,2019-10-31 16:17:14.743895,19,3.177617666666667,s3,ResponseSelection
LEFT,1200.0000024,,,LEFT,321.5987000000098,2019-10-31 16:17:15.961431,2019-10-31 16:17:16.492752,20,3.177617666666667,s3,ResponseSelection
LEFT,700.0000014,,,LEFT,337.80109999997876,2019-10-31 16:17:17.209473,2019-10-31 16:17:17.755228,21,3.177617666666667,s3,ResponseSelection
LEFT,1383.3333361,,,LEFT,419.63040000001683,2019-10-31 16:17:19.156951,2019-10-31 16:17:19.785314,22,3.177617666666667,s3,ResponseSelection
LEFT,1150.0000023,,,LEFT,285.36969999998973,2019-10-31 16:17:20.950434,2019-10-31 16:17:21.443601,23,3.177617666666667,s3,ResponseSelection
RIGHT,800.0000016,,,RIGHT,374.0835000000118,2019-10-31 16:17:22.262172,2019-10-31 16:17:22.844187,24,3.177617666666667,s3,ResponseSelection
RIGHT,833.333335,,,RIGHT,346.61479999999756,2019-10-31 16:17:23.694850,2019-10-31 16:17:24.249373,25,3.177617666666667,s3,ResponseSelection
RIGHT,566.6666678,,,RIGHT,322.3630999999898,2019-10-31 16:17:24.833273,2019-10-31 16:17:25.363144,26,3.177617666666667,s3,ResponseSelection
LEFT,516.6666677000001,,,LEFT,354.2709999999829,2019-10-31 16:17:25.896092,2019-10-31 16:17:26.458515,27,3.177617666666667,s3,ResponseSelection
RIGHT,1133.3333356,,,RIGHT,382.79529999999795,2019-10-31 16:17:27.608293,2019-10-31 16:17:28.199201,28,3.177617666666667,s3,ResponseSelection
RIGHT,1500.000003,,,RIGHT,349.6853000000044,2019-10-31 16:17:29.709042,2019-10-31 16:17:30.266666,29,3.177617666666667,s3,ResponseSelection
RIGHT,1483.3333363,,,RIGHT,379.4730000000186,2019-10-31 16:17:31.765412,2019-10-31 16:17:32.354438,30,3.177617666666667,s3,ResponseSelection
LEFT,950.0000019,,,RIGHT,254.34989999999402,2019-10-31 16:17:33.318811,2019-10-31 16:17:33.780826,31,3.177617666666667,s3,ResponseSelection
RIGHT,966.6666686,,,RIGHT,463.3474999999976,2019-10-31 16:17:34.766733,2019-10-31 16:17:35.438314,32,3.177617666666667,s3,ResponseSelection
RIGHT,700.0000014,,,RIGHT,358.47680000000537,2019-10-31 16:17:36.155001,2019-10-31 16:17:36.722059,33,3.177617666666667,s3,ResponseSelection
LEFT,650.0000013,,,LEFT,331.9439999999929,2019-10-31 16:17:37.389283,2019-10-31 16:17:37.928569,34,3.177617666666667,s3,ResponseSelection
RIGHT,850.0000017,,,RIGHT,365.6827000000078,2019-10-31 16:17:38.795230,2019-10-31 16:17:39.368638,35,3.177617666666667,s3,ResponseSelection
LEFT,1466.6666696,,,LEFT,278.9684999999906,2019-10-31 16:17:40.850972,2019-10-31 16:17:41.337789,36,3.177617666666667,s3,ResponseSelection
RIGHT,666.6666680000001,,,RIGHT,337.5579000000073,2019-10-31 16:17:42.021048,2019-10-31 16:17:42.567202,37,3.177617666666667,s3,ResponseSelection
RIGHT,1316.6666693,,,RIGHT,385.5028000000118,2019-10-31 16:17:43.900352,2019-10-31 16:17:44.494113,38,3.177617666666667,s3,ResponseSelection
RIGHT,933.3333352,,,RIGHT,423.9505999999835,2019-10-31 16:17:45.443439,2019-10-31 16:17:46.075833,39,3.177617666666667,s3,ResponseSelection
RIGHT,1333.3333360000001,,,RIGHT,349.9535999999921,2019-10-31 16:17:47.425063,2019-10-31 16:17:47.983331,40,3.177617666666667,s3,ResponseSelection
RIGHT,650.0000013,,,RIGHT,301.35210000000257,2019-10-31 16:17:48.651556,2019-10-31 16:17:49.161034,41,3.177617666666667,s3,ResponseSelection
RIGHT,1216.6666691,,,RIGHT,322.31989999999655,2019-10-31 16:17:50.394092,2019-10-31 16:17:50.925165,42,3.177617666666667,s3,ResponseSelection
RIGHT,1350.0000027,,,RIGHT,311.5501999999992,2019-10-31 16:17:52.292267,2019-10-31 16:17:52.811935,43,3.177617666666667,s3,ResponseSelection
LEFT,716.6666681,,,LEFT,406.82630000000586,2019-10-31 16:17:53.536901,2019-10-31 16:17:54.152270,44,3.177617666666667,s3,ResponseSelection
RIGHT,516.6666677000001,,,RIGHT,341.2656999999797,2019-10-31 16:17:54.687365,2019-10-31 16:17:55.236919,45,3.177617666666667,s3,ResponseSelection
RIGHT,1400.0000028,,,RIGHT,294.22450000001277,2019-10-31 16:17:56.654052,2019-10-31 16:17:57.156051,46,3.177617666666667,s3,ResponseSelection
RIGHT,900.0000018000001,,,RIGHT,280.47379999998157,2019-10-31 16:17:58.073901,2019-10-31 16:17:58.561832,47,3.177617666666667,s3,ResponseSelection
RIGHT,533.3333344,,,RIGHT,289.85469999997804,2019-10-31 16:17:59.112590,2019-10-31 16:17:59.610439,48,3.177617666666667,s3,ResponseSelection
RIGHT,750.0000015,,,RIGHT,292.9219000000103,2019-10-31 16:18:00.377066,2019-10-31 16:18:00.878573,49,3.177617666666667,s3,ResponseSelection
LEFT,866.6666684,,,RIGHT,314.51629999997976,2019-10-31 16:18:01.763507,2019-10-31 16:18:02.285633,50,3.177617666666667,s3,ResponseSelection
RIGHT,1116.6666689,LEFT,-975.58,RIGHT,402.1215000000211,2019-10-31 16:18:03.420867,2019-10-31 16:18:04.031493,51,3.177617666666667,s3,ResponseSelection
RIGHT,1250.0000025,,,RIGHT,338.8166999999953,2019-10-31 16:18:05.298413,2019-10-31 16:18:05.846249,52,3.177617666666667,s3,ResponseSelection
RIGHT,1166.666669,,,RIGHT,333.22180000004664,2019-10-31 16:18:07.028998,2019-10-31 16:18:07.571310,53,3.177617666666667,s3,ResponseSelection
LEFT,566.6666678,,,LEFT,340.1752999999985,2019-10-31 16:18:08.155761,2019-10-31 16:18:08.702883,54,3.177617666666667,s3,ResponseSelection
LEFT,933.3333352,,,LEFT,500.5856999999878,2019-10-31 16:18:09.653055,2019-10-31 16:18:10.361683,55,3.177617666666667,s3,ResponseSelection
LEFT,1350.0000027,,,LEFT,319.94059999999536,2019-10-31 16:18:11.728671,2019-10-31 16:18:12.256917,56,3.177617666666667,s3,ResponseSelection
LEFT,683.3333347,,,LEFT,299.3730999999684,2019-10-31 16:18:12.957653,2019-10-31 16:18:13.464837,57,3.177617666666667,s3,ResponseSelection
LEFT,600.0000012,,,LEFT,437.92849999999817,2019-10-31 16:18:14.082825,2019-10-31 16:18:14.728965,58,3.177617666666667,s3,ResponseSelection
LEFT,1100.0000022,,,LEFT,297.4813000000154,2019-10-31 16:18:15.845544,2019-10-31 16:18:16.351161,59,3.177617666666667,s3,ResponseSelection
RIGHT,866.6666684,,,LEFT,265.16609999998764,2019-10-31 16:18:17.234031,2019-10-31 16:18:17.706906,60,3.177617666666667,s3,ResponseSelection
LEFT,766.6666682,,,LEFT,477.54370000001245,2019-10-31 16:18:18.482965,2019-10-31 16:18:19.167751,61,3.177617666666667,s3,ResponseSelection
LEFT,1116.6666689,,,LEFT,330.0980999999865,2019-10-31 16:18:20.302910,2019-10-31 16:18:20.840560,62,3.177617666666667,s3,ResponseSelection
RIGHT,983.3333353,,,RIGHT,289.42409999996244,2019-10-31 16:18:21.832724,2019-10-31 16:18:22.331121,63,3.177617666666667,s3,ResponseSelection
RIGHT,683.3333347,,,RIGHT,337.528299999974,2019-10-31 16:18:23.031924,2019-10-31 16:18:23.577430,64,3.177617666666667,s3,ResponseSelection
RIGHT,1200.0000024,,,RIGHT,371.98079999996025,2019-10-31 16:18:24.793558,2019-10-31 16:18:25.373657,65,3.177617666666667,s3,ResponseSelection
LEFT,783.3333349000001,,,LEFT,302.9877999999826,2019-10-31 16:18:26.175517,2019-10-31 16:18:26.687084,66,3.177617666666667,s3,ResponseSelection
LEFT,1233.3333358,,,LEFT,284.5470999999975,2019-10-31 16:18:27.937450,2019-10-31 16:18:28.430328,67,3.177617666666667,s3,ResponseSelection
RIGHT,1233.3333358,,,RIGHT,317.90789999996605,2019-10-31 16:18:29.679445,2019-10-31 16:18:30.205319,68,3.177617666666667,s3,ResponseSelection
LEFT,1400.0000028,,,LEFT,377.74960000001556,2019-10-31 16:18:31.623513,2019-10-31 16:18:32.209121,69,3.177617666666667,s3,ResponseSelection
RIGHT,600.0000012,,,RIGHT,344.98680000001514,2019-10-31 16:18:32.826250,2019-10-31 16:18:33.378641,70,3.177617666666667,s3,ResponseSelection
LEFT,1250.0000025,,,LEFT,319.9130999999511,2019-10-31 16:18:34.644023,2019-10-31 16:18:35.171268,71,3.177617666666667,s3,ResponseSelection
LEFT,533.3333344,,,LEFT,398.9346999999839,2019-10-31 16:18:35.721848,2019-10-31 16:18:36.329421,72,3.177617666666667,s3,ResponseSelection
RIGHT,1383.3333361,,,RIGHT,292.6300999999967,2019-10-31 16:18:37.731083,2019-10-31 16:18:38.231953,73,3.177617666666667,s3,ResponseSelection
RIGHT,1466.6666696,,,RIGHT,292.37440000002834,2019-10-31 16:18:39.711104,2019-10-31 16:18:40.212289,74,3.177617666666667,s3,ResponseSelection
