Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
RIGHT,666.666668,"('Time_Max_Exceeded', 666.7206999999848)",0,RIGHT,493.9669,41:29.1,41:29.8,1,s4,ResponseSelection
RIGHT,1200.000002,"('Time_Max_Exceeded', 0.6212000000118678)",0,RIGHT,352.2354,41:31.0,41:31.6,2,s4,ResponseSelection
RIGHT,583.3333345,"('Time_Max_Exceeded', 583.5870000000227)",0,RIGHT,343.4701,41:32.2,41:32.7,3,s4,ResponseSelection
LEFT,1300.000003,"('Time_Max_Exceeded', 0.16089999999735483)",0,LEFT,328.0438,41:34.0,41:34.6,4,s4,ResponseSelection
RIGHT,1116.666669,"('Time_Max_Exceeded', 1117.124700000005)",0,RIGHT,530.8588,41:35.7,41:36.4,5,s4,ResponseSelection
LEFT,1283.333336,"('Time_Max_Exceeded', 1283.6271999999838)",0,LEFT,321.2537,41:37.7,41:38.2,6,s4,ResponseSelection
LEFT,1400.000003,"('Time_Max_Exceeded', 1401.7531000000076)",0,LEFT,367.6341,41:39.7,41:40.2,7,s4,ResponseSelection
LEFT,1116.666669,"('Time_Max_Exceeded', 1116.8392000000154)",0,LEFT,374.4302,41:41.4,41:41.9,8,s4,ResponseSelection
RIGHT,1283.333336,"('Time_Max_Exceeded', 1283.6677999999893)",0,RIGHT,281.317,41:43.2,41:43.7,9,s4,ResponseSelection
LEFT,600.0000012,"('Time_Max_Exceeded', 600.3021999999874)",0,LEFT,368.8804,41:44.3,41:44.9,10,s4,ResponseSelection
LEFT,1383.333336,"('Time_Max_Exceeded', 1383.7684000000081)",0,LEFT,332.6054,41:46.3,41:46.9,11,s4,ResponseSelection
LEFT,1200.000002,"('Time_Max_Exceeded', 1200.260500000013)",0,LEFT,379.9389,41:48.1,41:48.7,12,s4,ResponseSelection
LEFT,1483.333336,"('Time_Max_Exceeded', 1483.6601000000087)",0,LEFT,357.4686,41:50.2,41:50.7,13,s4,ResponseSelection
RIGHT,533.3333344,"('Time_Max_Exceeded', 0.682100000005903)",0,RIGHT,392.7875,41:51.3,41:51.9,14,s4,ResponseSelection
RIGHT,833.333335,"('Time_Max_Exceeded', 833.656000000019)",0,RIGHT,344.447,41:52.7,41:53.3,15,s4,ResponseSelection
